config_id,category,score_floor,exhaustion_cliff,freshness_lambda,rs_weight,veto_wick,veto_ext,trigger_30m,n_trades,total_r,er,wr,pf,max_dd,loo1_er,winsorized_er,avoided_loss_r,opp_cost_r,net_veto_r,traps_avoided,net_30m_r
DB_TOURN_SWEEP_VETO_WICK_275,SWEEP_VETO_WICK,60.0,22.0,0.099,10.0,0.275,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2906.24,6095.97,-3189.73,105,-190.41
DB_TOURN_SWEEP_VETO_WICK_300,SWEEP_VETO_WICK,60.0,22.0,0.099,10.0,0.3,2.5,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2882.47,6045.96,-3163.49,105,-190.41
DB_TOURN_SWEEP_VETO_EXT_225,SWEEP_VETO_EXT,60.0,22.0,0.099,10.0,0.25,2.25,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,3017.89,6454.99,-3437.10,105,-190.41
DB_TOURN_SWEEP_VETO_EXT_275,SWEEP_VETO_EXT,60.0,22.0,0.099,10.0,0.25,2.75,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2883.63,6059.07,-3175.44,105,-190.41
DB_TOURN_SWEEP_VETO_EXT_300,SWEEP_VETO_EXT,60.0,22.0,0.099,10.0,0.25,3.0,True,1820,2251.51,1.237,84.9,11.92,3.00,1.236,1.235,2821.67,5910.17,-3088.50,105,-190.41
DB_TOURN_ABLATION_NO_30M,ABLATION_30M,60.0,22.0,0.099,10.0,0.25,2.5,False,1998,2350.59,1.176,81.0,9.27,3.70,1.175,1.174,2953.27,6249.93,-3296.66,0,-79.92
DB_TOURN_INTER_61_EX20_F7D,INTERACTION_GRID,61.0,20.0,0.099,10.0,0.25,2.5,True,1799,2236.40,1.243,85.2,12.19,3.00,1.242,1.241,2953.27,6249.93,-3296.66,105,-188.73
DB_TOURN_INTER_61_EX22_F9D,INTERACTION_GRID,61.0,22.0,0.077,10.0,0.25,2.5,True,1804,2241.01,1.242,85.1,12.14,3.00,1.241,1.240,2953.27,6249.93,-3296.66,104,-189.67
DB_TOURN_INTER_61_EX22_F7D_RS15,INTERACTION_GRID,61.0,22.0,0.099,15.0,0.25,2.5,True,1845,2244.82,1.217,84.4,11.34,3.13,1.216,1.214,2953.27,6249.93,-3296.66,101,-193.92
DB_TOURN_INTER_62_EX20_F7D_RS15,INTERACTION_GRID,62.0,20.0,0.099,15.0,0.25,2.5,True,1827,2230.82,1.221,84.6,11.48,3.13,1.220,1.219,2953.27,6249.93,-3296.66,99,-194.18
DB_TOURN_INTER_61_EX20_W225,INTERACTION_GRID,61.0,20.0,0.099,10.0,0.225,2.5,True,1799,2236.40,1.243,85.2,12.19,3.00,1.242,1.241,2996.97,6386.64,-3389.67,105,-188.73
DB_TOURN_INTER_61_EX22_W275,INTERACTION_GRID,61.0,22.0,0.099,10.0,0.275,2.5,True,1799,2236.40,1.243,85.2,12.19,3.00,1.242,1.241,2906.24,6095.97,-3189.73,105,-188.73
DB_TOURN_INTER_60_EX20_RS15,INTERACTION_GRID,60.0,20.0,0.099,15.0,0.25,2.5,True,1859,2255.22,1.213,84.3,11.20,3.13,1.212,1.211,2953.27,6249.93,-3296.66,107,-192.90
DB_TOURN_INTER_62_EX22_F7D,INTERACTION_GRID,62.0,22.0,0.099,10.0,0.25,2.5,True,1784,2218.79,1.244,85.1,12.16,3.00,1.243,1.241,2953.27,6249.93,-3296.66,104,-188.24
