trade_id,symbol,date,regime_group,sample_type,entry_price,current_sl,adaptive_sl,current_r,adaptive_r,delta_r,current_exit_reason,adaptive_exit_reason,current_mfe,adaptive_mfe,current_mae,adaptive_mae
19,ACC,2025-07-24,BEAR,IS,2127.5528607065316,2021.18,2053.09,0.0987,0.141,0.0423,TIMEOUT,TIMEOUT,0.51,0.73,0.18,0.25
20,ACC,2025-12-12,SIDEWAYS,IS,3168.1430460839815,3009.74,3057.26,-0.1423,0.4408,0.5831,TIMEOUT,BE_EXIT,0.75,1.07,0.28,0.12
21,ACC,2026-04-24,BULL,IS,4058.7844163269506,3855.85,3916.73,-1.1865,-1.1731,0.0134,SL_HIT,SL_HIT,0.14,0.21,1.26,1.23
22,ACE,2026-08-03,OOS,OOS,1105.4000244140625,1050.13,1029.36,1.0307,0.8857,-0.145,TIMEOUT,TIMEOUT,1.64,1.19,0.78,0.57
23,ACE,2026-08-18,OOS,OOS,1184.800048828125,1125.56,1112.13,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.19,0.15,1.46,1.19
24,ACMESOLAR,2026-06-29,BULL,IS,379.25,360.29,352.89,0.5,-0.0645,-0.5645,BE_EXIT,TIMEOUT,1.02,0.74,0.94,0.67
25,ACMESOLAR,2026-08-19,OOS,OOS,380.3999938964844,361.38,360.15,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.64,1.54,0.22,0.2
26,ACMESOLAR,2026-08-20,OOS,OOS,397.3999938964844,377.53,374.87,-1.0,0.4756,1.4756,SL_HIT,BE_EXIT,0.71,1.47,1.06,0.94
27,ACUTAAS,2025-09-26,BEAR,IS,2560.7227022544093,2432.69,2471.1,0.3002,0.4289,0.1287,TIMEOUT,TIMEOUT,0.67,0.95,0.32,0.45
28,ACUTAAS,2025-10-01,BEAR,IS,2582.063308274908,2452.96,2491.69,-0.0069,-0.0099,-0.003,TIMEOUT,TIMEOUT,0.49,0.71,0.15,0.22
29,ACUTAAS,2025-10-02,BEAR,IS,2604.6410608282476,2474.41,2513.48,-0.1493,-0.2132,-0.0639,TIMEOUT,TIMEOUT,0.32,0.45,0.33,0.46
30,ACUTAAS,2026-09-10,OOS,OOS,3451.39990234375,3278.83,3175.29,-0.3923,-0.2452,0.1471,TIMEOUT,TIMEOUT,0.21,0.13,0.59,0.37
31,ADANIENSOL,2026-04-08,BULL,IS,1073.300048828125,1019.64,987.44,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,2.91,2.54,0.38,0.24
32,ADANIENSOL,2026-04-10,BULL,IS,1157.9000244140625,1100.01,1065.27,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,3.9,2.88,0.75,0.47
33,ADANIENSOL,2026-04-13,BULL,IS,1175.300048828125,1116.54,1081.28,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,3.54,2.66,0.17,0.11
34,ADANIENSOL,2026-04-16,BULL,IS,1222.5999755859375,1161.47,1124.79,1.75,1.3409,-0.4091,FULL_TARGET,TIMEOUT,2.63,2.46,0.02,0.01
35,ADANIENSOL,2026-04-17,BULL,IS,1259.800048828125,1196.81,1159.02,1.75,0.9654,-0.7846,FULL_TARGET,TIMEOUT,2.62,2.02,0.26,0.16
36,ADANIENSOL,2026-04-22,BULL,IS,1368.0999755859375,1299.69,1258.65,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.83,0.87,1.25,1.0
37,ADANIENSOL,2026-04-24,BULL,IS,1411.949951171875,1341.35,1298.99,-1.0758,-1.0,0.0758,SL_HIT,SL_HIT,0.73,0.46,1.47,1.0
38,ADANIENSOL,2026-04-27,BULL,IS,1435.800048828125,1364.01,1320.94,-1.3902,-1.0,0.3902,SL_HIT,SL_HIT,0.39,0.24,1.78,1.11
39,ADANIENSOL,2026-05-13,BULL,IS,1318.199951171875,1252.29,1212.74,-1.0,1.3292,2.3292,SL_HIT,TIMEOUT,0.71,2.47,1.06,0.66
40,ADANIENSOL,2026-05-26,BULL,IS,1463.300048828125,1390.14,1346.24,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.57,1.29,0.25,0.16
41,ADANIENSOL,2026-05-27,BULL,IS,1540.0999755859375,1463.09,1416.89,-1.0,-0.3985,0.6015,SL_HIT,TIMEOUT,0.5,0.61,1.23,0.77
42,ADANIENSOL,2026-06-05,BULL,IS,1579.0,1500.05,1472.09,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.45,0.33,1.5,1.11
43,ADANIENSOL,2026-07-06,BULL,IS,1622.800048828125,1541.66,1535.45,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.1,1.02,0.16,0.15
44,ADANIENSOL,2026-07-07,BULL,IS,1651.0,1568.45,1560.87,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.67,1.53,0.5,0.45
45,ADANIENT,2026-06-05,BULL,IS,3046.837646484375,2894.5,2897.39,-1.0046,-1.024,-0.0194,SL_HIT,SL_HIT,0.0,0.0,1.0,1.02
46,ADANIENT,2026-06-19,BULL,IS,3038.39990234375,2886.48,2897.09,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.36,1.46,0.62,0.67
47,ADANIENT,2026-06-24,BULL,IS,3069.699951171875,2916.21,2919.07,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.14,1.16,0.75,0.76
48,ADANIENT,2026-07-03,BULL,IS,3212.10009765625,3051.5,3060.89,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.2,0.22,1.15,1.22
49,ADANIGREEN,2026-06-05,BULL,IS,1525.699951171875,1449.41,1433.49,0.0052,0.0043,-0.0009,TIMEOUT,TIMEOUT,0.41,0.34,0.99,0.82
50,ADANIGREEN,2026-07-14,BULL,IS,1604.5,1524.28,1513.77,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.07,0.06,1.21,1.07
51,ADANIPORTS,2026-06-16,BULL,IS,1822.0,1730.9,1758.23,0.1306,0.5933,0.4627,TIMEOUT,TIMEOUT,0.76,1.08,0.57,0.81
52,ADANIPORTS,2026-06-17,BULL,IS,1828.5999755859375,1737.17,1764.6,-0.4036,-0.5766,-0.173,TIMEOUT,TIMEOUT,0.68,0.98,0.64,0.91
53,ADANIPORTS,2026-07-02,BULL,IS,1883.199951171875,1789.04,1817.29,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.08,0.12,1.06,1.52
54,ADANIPOWER,2025-03-24,BULL,IS,1814.9260539180805,1724.18,1751.4,-0.0092,0.348,0.3572,TIMEOUT,BE_EXIT,0.81,1.15,0.27,0.39
55,ADANIPOWER,2026-05-07,BULL,IS,2618.243841789197,2487.33,2526.61,1.0885,1.3408,0.2523,TIMEOUT,TIMEOUT,1.24,1.77,0.1,0.14
56,AEGISLOG,2025-06-17,BULL,IS,1036.806562111447,984.97,1000.52,0.381,0.7722,0.3912,TIMEOUT,TIMEOUT,0.92,1.32,0.09,0.13
57,AEGISVOPAK,2025-06-17,BULL,IS,1098.7579751764347,1043.82,1060.3,0.9775,-1.0191,-1.9966,TIMEOUT,SL_HIT,1.15,0.0,0.82,1.17
58,AEGISVOPAK,2025-07-24,BEAR,IS,1154.230235349025,1096.52,1113.83,-1.2428,-1.2313,0.0115,SL_HIT,SL_HIT,0.24,0.34,1.28,1.39
59,AEROFLEX,2026-03-16,BEAR,IS,246.67568969726562,234.34,226.94,0.3012,-1.0,-1.3012,BE_EXIT,SL_HIT,1.25,0.78,1.45,1.35
60,AEROFLEX,2026-04-22,BULL,IS,304.23101806640625,289.02,279.89,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.0,0.0,1.89,1.18
61,AEROFLEX,2026-04-27,BULL,IS,294.6201477050781,279.89,271.05,0.5,1.75,1.25,BE_EXIT,FULL_TARGET,1.3,5.03,0.33,0.21
62,AEROFLEX,2026-04-29,BULL,IS,304.890380859375,289.65,280.5,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,2.94,4.44,0.78,0.49
63,AEROFLEX,2026-09-08,OOS,OOS,573.5,544.82,527.62,-0.333,-0.2082,0.1248,TIMEOUT,TIMEOUT,0.0,0.0,0.99,0.62
64,AETHER,2026-03-12,BEAR,IS,1047.6500244140625,995.27,963.84,-1.0,0.7216,1.7216,SL_HIT,TIMEOUT,0.13,2.41,1.0,0.84
65,AETHER,2026-03-16,BEAR,IS,1025.050048828125,973.8,943.05,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,3.02,2.74,0.46,0.29
66,AETHER,2026-03-18,BEAR,IS,1068.550048828125,1015.12,983.07,1.75,0.5,-1.25,FULL_TARGET,BE_EXIT,3.4,2.12,0.51,0.32
67,AETHER,2026-03-20,BEAR,IS,1155.550048828125,1097.77,1063.11,-1.0,0.5,1.5,SL_HIT,BE_EXIT,0.35,1.02,1.35,0.85
68,AETHER,2026-05-04,BULL,IS,1252.0,1189.4,1170.07,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.35,0.26,1.07,1.26
69,AETHER,2026-07-09,BULL,IS,1485.800048828125,1411.51,1366.94,-1.0,0.0421,1.0421,SL_HIT,TIMEOUT,0.71,0.44,1.08,0.72
70,AETHER,2026-08-28,OOS,OOS,1696.800048828125,1611.96,1601.25,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.13,0.12,1.23,1.09
71,AFCONS,2025-07-21,BEAR,IS,649.1499584831183,616.69,626.43,1.4199,1.75,0.3301,TIMEOUT,FULL_TARGET,1.9,2.69,0.0,0.0
72,AFCONS,2026-04-17,BULL,IS,844.7964177379831,802.56,815.23,-1.0288,-1.0789,-0.0501,SL_HIT,SL_HIT,0.02,0.03,1.03,1.09
73,AGIIL,2026-03-05,BEAR,IS,311.3500061035156,295.78,286.44,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.3,0.18,1.62,1.01
74,AGIIL,2026-04-09,BULL,IS,361.70001220703125,343.62,332.76,0.4253,1.0848,0.6595,BE_EXIT,TIMEOUT,1.38,1.48,0.54,0.84
75,AGIIL,2026-04-29,BULL,IS,393.95001220703125,374.25,362.43,-1.0,0.5,1.5,SL_HIT,BE_EXIT,0.53,1.28,1.05,0.94
76,AGIIL,2026-04-30,BULL,IS,395.54998779296875,375.77,363.91,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.96,1.23,1.58,0.99
77,AIAENG,2025-12-15,SIDEWAYS,IS,3893.800048828125,3699.11,3675.24,0.9564,0.9065,-0.0499,TIMEOUT,TIMEOUT,1.4,1.24,0.89,0.8
78,AIAENG,2025-12-22,SIDEWAYS,IS,3919.89990234375,3723.9,3681.9,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.27,1.05,0.83,0.69
79,AIAENG,2025-12-31,SIDEWAYS,IS,4017.5,3816.62,3763.52,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.75,0.6,1.46,1.16
80,AIAENG,2026-06-29,BULL,IS,4951.39990234375,4703.83,4690.03,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.92,0.87,1.06,1.01
81,AIAENG,2026-06-30,BULL,IS,5081.39990234375,4827.33,4804.16,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.25,0.23,1.27,1.16
82,AIIL,2025-04-10,BULL,IS,1171.3489226243962,1112.78,1130.35,0.461,0.5,0.039,TIMEOUT,BE_EXIT,0.75,1.07,0.36,0.51
83,AIIL,2025-05-26,BULL,IS,1248.2293896844699,1185.82,1204.54,0.3932,0.3475,-0.0457,BE_EXIT,BE_EXIT,1.03,1.46,0.39,0.55
84,AIIL,2025-12-15,SIDEWAYS,IS,1476.924195148374,1403.08,1425.23,-1.1833,-1.1133,0.07,SL_HIT,SL_HIT,0.0,0.0,1.28,1.15
85,AJANTPHARM,2026-02-23,BEAR,IS,2978.39990234375,2829.48,2874.16,0.5,-1.4236,-1.9236,BE_EXIT,SL_HIT,1.68,0.73,1.0,1.42
86,AJANTPHARM,2026-02-25,BEAR,IS,3021.300048828125,2870.24,2915.55,-1.2664,-1.809,-0.5426,SL_HIT,SL_HIT,0.22,0.31,1.27,1.81
87,AJANTPHARM,2026-03-12,BEAR,IS,3119.5,2963.52,2956.69,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.7,0.67,1.21,1.16
88,AJANTPHARM,2026-07-21,BULL,IS,3575.300048828125,3396.54,3396.8,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.0,0.0,1.32,1.32
89,AJANTPHARM,2026-07-29,BULL,IS,3365.66748046875,3197.38,3187.63,1.75,1.433,-0.317,FULL_TARGET,TIMEOUT,2.56,2.42,0.27,0.26
90,AJANTPHARM,2026-07-31,BULL,IS,3433.743896484375,3262.06,3235.55,1.1001,1.0198,-0.0803,TIMEOUT,TIMEOUT,2.11,1.83,0.18,0.15
91,AKUMS,2026-04-30,BULL,IS,544.7242431640625,517.49,509.48,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.72,0.56,1.27,1.33
92,AKUMS,2026-05-04,BULL,IS,556.5184936523438,528.69,522.29,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.28,0.23,1.28,1.04
93,AKUMS,2026-06-10,BULL,IS,589.3134155273438,559.85,553.43,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.45,1.19,0.16,0.13
94,AKUMS,2026-07-07,BULL,IS,649.8499755859375,617.36,617.88,0.6893,0.6924,0.0031,TIMEOUT,TIMEOUT,2.0,2.03,0.31,0.32
95,AKUMS,2026-07-14,BULL,IS,686.9500122070312,652.6,645.73,-1.0,-0.4743,0.5257,SL_HIT,TIMEOUT,0.52,0.55,1.07,0.89
96,ALIVUS,2026-04-06,BULL,IS,1005.5999755859375,955.32,936.69,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.8,1.31,0.21,0.15
97,ALIVUS,2026-04-07,BULL,IS,1039.800048828125,987.81,968.56,0.5,-0.4815,-0.9815,BE_EXIT,TIMEOUT,1.08,0.79,0.56,0.64
98,ALIVUS,2026-04-21,BULL,IS,1073.1500244140625,1019.49,1004.54,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.43,0.33,1.35,1.06
99,ALIVUS,2026-08-04,OOS,OOS,1335.800048828125,1269.01,1243.86,0.5,0.0849,-0.4151,BE_EXIT,TIMEOUT,1.23,0.89,0.48,0.35
100,AMBER,2025-04-25,BULL,IS,995.9852290414256,946.19,961.13,0.0414,-1.0,-1.0414,TIMEOUT,SL_HIT,0.24,0.34,0.99,1.02
101,AMBER,2025-05-05,BULL,IS,1004.584372671147,954.36,969.42,-1.0671,-1.0748,-0.0077,SL_HIT,SL_HIT,0.0,0.0,1.08,1.21
102,AMBER,2025-09-01,BEAR,IS,1107.2251720820382,1051.86,1068.47,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.43,0.61,1.03,1.04
103,AMBER,2025-09-22,BEAR,IS,1064.0521896870562,1010.85,1026.81,-0.6015,-1.0,-0.3985,TIMEOUT,SL_HIT,0.42,0.6,0.71,1.02
104,ANANDRATHI,2024-12-02,SIDEWAYS,IS,1543.0371997344535,1465.89,1419.59,-1.0,-0.5621,0.4379,SL_HIT,TIMEOUT,0.0,0.0,1.03,0.83
105,ANANDRATHI,2026-02-18,BEAR,IS,1715.02433960613,1629.27,1655.0,1.0649,1.3071,0.2422,TIMEOUT,TIMEOUT,1.23,1.76,0.31,0.45
106,ANANDRATHI,2026-03-12,BEAR,IS,1840.7474501601537,1748.71,1776.32,-1.1501,-1.0,0.1501,SL_HIT,SL_HIT,0.02,0.03,1.17,1.08
107,ANANTRAJ,2025-07-25,BEAR,IS,727.6347425119156,691.25,702.17,-0.1714,-1.3449,-1.1735,TIMEOUT,SL_HIT,0.07,0.0,0.94,1.35
108,ANANTRAJ,2025-11-06,SIDEWAYS,IS,853.9207967159581,811.22,824.03,-0.0446,-0.0637,-0.0191,TIMEOUT,TIMEOUT,0.46,0.65,0.66,0.95
109,ANANTRAJ,2025-12-04,SIDEWAYS,IS,890.8372935652948,846.3,859.66,-1.0021,-1.0166,-0.0145,SL_HIT,SL_HIT,0.28,0.4,1.0,1.02
110,ANGELONE,2025-12-02,SIDEWAYS,IS,276.0904541015625,262.29,262.9,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.0,0.0,1.21,1.27
111,ANGELONE,2026-06-15,BULL,IS,351.21380615234375,333.65,328.16,-1.1238,-1.0,0.1238,SL_HIT,SL_HIT,0.46,0.35,1.43,1.09
112,ANGELONE,2026-07-02,BULL,IS,345.082763671875,327.83,327.49,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.61,0.6,1.07,1.05
113,ANGELONE,2026-07-03,BULL,IS,351.1639709472656,333.61,333.88,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.0,0.0,1.04,1.05
114,ANTHEM,2025-05-02,BULL,IS,729.5191911160694,693.04,703.99,-0.4163,-0.5948,-0.1785,TIMEOUT,TIMEOUT,0.17,0.25,0.66,0.94
115,APARINDS,2026-05-27,BULL,IS,13426.0,12754.7,12515.46,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.11,0.08,1.26,1.0
116,APARINDS,2026-06-02,BULL,IS,13270.0,12606.5,12208.4,0.5,1.75,1.25,BE_EXIT,FULL_TARGET,1.36,2.74,0.09,0.06
117,APARINDS,2026-06-04,BULL,IS,13709.0,13023.55,12612.28,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,3.6,2.52,0.73,0.46
118,APARINDS,2026-06-10,BULL,IS,14085.0,13380.75,12958.2,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,2.97,2.73,0.09,0.05
119,APARINDS,2026-06-12,BULL,IS,15221.0,14459.95,14003.32,1.75,0.5,-1.25,FULL_TARGET,BE_EXIT,2.54,1.59,0.0,0.59
120,APARINDS,2026-06-15,BULL,IS,15986.0,15186.7,14707.12,0.5,-1.0,-1.5,BE_EXIT,SL_HIT,1.47,0.92,0.47,1.16
121,APARINDS,2026-08-18,OOS,OOS,17214.0,16353.3,15836.88,0.5,0.1699,-0.3301,BE_EXIT,TIMEOUT,1.0,0.67,0.87,0.55
122,APARINDS,2026-08-27,OOS,OOS,17900.0,17005.0,16468.0,-1.0,-0.2793,0.7207,SL_HIT,TIMEOUT,0.16,0.16,1.56,0.98
123,APARINDS,2026-09-03,OOS,OOS,17704.0,16818.8,16496.97,-1.0,-0.169,0.831,SL_HIT,TIMEOUT,0.48,0.35,1.15,0.84
124,APCOTEXIND,2026-08-31,OOS,OOS,646.2999877929688,613.98,611.82,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.58,0.54,1.4,1.31
125,APCOTEXIND,2026-09-03,OOS,OOS,650.4000244140625,617.88,612.45,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.45,0.38,1.52,1.3
126,APOLLO,2026-06-02,BULL,IS,437.0,415.15,402.04,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.45,0.28,1.58,1.2
127,APOLLO,2026-06-29,BULL,IS,407.1499938964844,386.79,374.58,1.75,0.5,-1.25,FULL_TARGET,BE_EXIT,2.92,1.82,0.0,0.31
128,APOLLOTYRE,2025-03-27,BULL,IS,706.6402945385412,671.31,681.91,0.8993,1.0704,0.1711,TIMEOUT,TIMEOUT,1.26,1.8,0.0,0.0
129,APOLLOTYRE,2025-04-24,BULL,IS,746.1431359460073,708.84,720.03,1.1771,-1.0,-2.1771,TIMEOUT,SL_HIT,1.5,0.39,0.76,1.08
130,APOLLOTYRE,2025-07-09,BEAR,IS,892.3898572472087,847.77,861.16,0.9709,1.1728,0.2019,TIMEOUT,TIMEOUT,1.09,1.56,0.36,0.51
131,APOLLOTYRE,2025-07-29,BEAR,IS,906.5656695379839,861.24,874.84,0.7139,0.8055,0.0916,TIMEOUT,TIMEOUT,1.11,1.59,0.0,0.0
132,APOLLOTYRE,2025-07-31,BEAR,IS,949.6060866518089,902.13,916.37,-0.8252,-1.2553,-0.4301,TIMEOUT,SL_HIT,0.15,0.22,0.88,1.26
133,APOLLOTYRE,2025-08-05,BEAR,IS,952.4785496081169,904.85,919.14,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.09,0.13,1.08,1.02
134,APOLLOTYRE,2025-08-08,BEAR,IS,942.3911575007369,895.27,909.41,-0.3171,-1.0462,-0.7291,TIMEOUT,SL_HIT,0.31,0.44,0.87,1.05
135,APOLLOTYRE,2025-09-04,BEAR,IS,959.631575151542,911.65,926.04,-0.8901,-1.0,-0.1099,TIMEOUT,SL_HIT,0.33,0.47,0.98,1.04
136,APOLLOTYRE,2025-12-24,SIDEWAYS,IS,1112.6048340992086,1056.97,1073.66,-0.0277,-0.0396,-0.0119,TIMEOUT,TIMEOUT,0.32,0.46,0.59,0.84
137,APOLLOTYRE,2026-05-22,BULL,IS,1273.6402773515665,1209.96,1229.06,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.41,0.59,1.06,1.06
138,APTUS,2026-07-16,BULL,IS,299.95001220703125,284.95,283.67,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.6,0.56,1.13,1.04
139,APTUS,2026-07-17,BULL,IS,306.8500061035156,291.51,290.08,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.13,0.12,1.55,1.42
140,ARVIND,2025-11-13,SIDEWAYS,IS,344.20001220703125,326.99,322.18,0.5,-0.2861,-0.7861,BE_EXIT,TIMEOUT,1.09,0.85,0.73,0.57
141,ARVIND,2025-11-18,SIDEWAYS,IS,346.3500061035156,329.03,323.21,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.96,0.72,1.1,1.21
142,ARVIND,2025-11-19,SIDEWAYS,IS,356.95001220703125,339.1,333.26,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.33,0.25,1.02,1.25
143,ARVIND,2026-05-18,BULL,IS,472.6000061035156,448.97,434.79,0.5,0.7671,0.2671,BE_EXIT,TIMEOUT,1.2,1.12,0.28,0.17
144,ARVIND,2026-06-17,BULL,IS,498.0,473.1,458.16,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,2.55,2.56,0.06,0.04
145,ARVIND,2026-06-18,BULL,IS,510.6499938964844,485.12,475.02,1.75,1.75,0.0,FULL_TARGET,FULL_TARGET,3.5,2.51,0.21,0.15
146,ARVIND,2026-06-24,BULL,IS,556.0999755859375,528.29,521.28,0.5,0.5,0.0,BE_EXIT,BE_EXIT,1.58,1.26,0.57,0.46
147,ARVIND,2026-06-30,BULL,IS,587.0999755859375,557.74,547.71,-1.0,-1.0,0.0,SL_HIT,SL_HIT,0.0,0.0,1.06,1.03
148,ASHAPURMIN,2025-03-27,BULL,IS,2028.0912378973728,1926.69,1957.11,0.9395,1.1278,0.1883,TIMEOUT,TIMEOUT,1.52,2.18,0.3,0.42
149,ASHAPURMIN,2025-04-10,BULL,IS,2113.828178273919,2008.14,2039.84,-1.1661,-1.1096,0.0565,SL_HIT,SL_HIT,0.65,0.93,1.17,1.12
150,ASHAPURMIN,2025-09-16,BEAR,IS,2368.85118384293,2250.41,2285.94,0.4561,0.6516,0.1955,TIMEOUT,TIMEOUT,0.6,0.86,0.48,0.69
151,ASHAPURMIN,2025-10-29,BEAR,IS,2762.7466587056733,2624.61,2666.05,1.0283,-1.0,-2.0283,TIMEOUT,SL_HIT,1.14,0.0,0.76,1.09
152,ASHOKLEY,2025-10-20,BEAR,IS,968.0138964561029,919.61,934.13,0.9242,1.1601,0.2359,TIMEOUT,TIMEOUT,0.98,1.4,0.61,0.87
153,ASHOKLEY,2025-11-17,SIDEWAYS,IS,1035.0755559284432,983.32,998.85,1.1367,0.3446,-0.7921,TIMEOUT,BE_EXIT,1.3,1.4,0.23,0.32
154,ASHOKLEY,2025-12-04,SIDEWAYS,IS,1093.6121819521659,1038.93,1055.34,0.0248,0.0354,0.0106,TIMEOUT,TIMEOUT,0.5,0.72,0.36,0.52
155,ASHOKLEY,2025-12-08,SIDEWAYS,IS,1100.9766608023137,1045.93,1062.44,-0.047,-0.0672,-0.0202,TIMEOUT,TIMEOUT,0.36,0.52,0.29,0.42
156,ASHOKLEY,2025-12-11,SIDEWAYS,IS,1117.4139058107469,1061.54,1078.3,0.2043,0.2918,0.0875,TIMEOUT,TIMEOUT,0.36,0.51,0.58,0.83
157,ASHOKLEY,2025-12-30,SIDEWAYS,IS,1109.2355948379477,1053.77,1070.41,1.6645,1.75,0.0855,TIMEOUT,FULL_TARGET,2.48,2.65,0.0,0.0
