symbol,pattern,detector_source,signal_date,year,period,regime,score,entry,stop,target,risk_pct,clv,rvol,upper_wick_pct,pass_rvol_hard,pass_clv_hard,pass_wick_hard,pass_score_hard,pass_hardened,outcome,r_multiple,holding_bars,pnl_pct,mfe,mae,exit_date,exit_price,exit_reason
360ONE,WYCKOFF_SPRING_TYPE_2,TECHNICAL_SCANNER,2026-06-17,2026,OOS_2026,SIDEWAYS,88.0,930.5,883.35,1001.23,5.07,0.93,1.7,0.07,True,True,True,True,True,LOSS,-1.0,3,-5.07,0.03,1.0,2026-06-22,883.35,STOP_LOSS
360ONE,BULL_FLAG,EXTENDED_LIBRARY,2026-08-05,2026,OOS_2026,BULL,75.0,922.98,908.6,944.54,1.56,0.79,1.37,0.21,True,True,True,True,True,WIN,1.5,4,2.34,1.56,0.0,2026-08-11,944.5371464682507,TARGET_1
3MINDIA,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2025-04-11,2025,VAL_2025,BEAR,75.0,1310.38,1293.75,1335.32,1.27,0.9,1.82,0.1,True,True,True,True,True,WIN,1.5,6,1.9,2.35,0.4,2025-04-21,1335.3200939809226,TARGET_1
3MINDIA,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2025-06-05,2025,VAL_2025,SIDEWAYS,75.0,1245.09,1229.18,1268.96,1.28,0.85,1.61,0.15,True,True,True,True,True,WIN,1.5,6,1.92,1.64,0.64,2025-06-13,1268.9561461604112,TARGET_1
3MINDIA,WYCKOFF_SPRING_TYPE_2,TECHNICAL_SCANNER,2025-06-05,2025,VAL_2025,SIDEWAYS,90.0,1245.09,1191.58,1325.36,4.3,0.85,1.61,0.15,True,True,True,True,True,WIN,0.0,20,0.0,1.0,0.19,2025-07-03,1245.1405743488986,TIMEOUT_20D
3MINDIA,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-06-19,2025,VAL_2025,SIDEWAYS,75.0,1282.64,1268.0,1304.59,1.14,0.8,1.47,0.2,True,True,True,True,True,LOSS,-1.0,2,-1.14,0.0,1.91,2025-06-23,1268.0042493765573,STOP_LOSS
3MINDIA,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-07-31,2025,VAL_2025,SIDEWAYS,75.0,1282.16,1262.45,1311.74,1.54,0.78,1.77,0.22,True,True,True,True,True,WIN,1.5,6,2.31,1.65,0.52,2025-08-08,1311.735574667373,TARGET_1
3MINDIA,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-11-12,2025,VAL_2025,SIDEWAYS,75.0,1540.72,1518.73,1573.7,1.43,0.98,1.66,0.02,True,True,True,True,True,LOSS,-1.0,2,-1.43,0.0,1.58,2025-11-14,1518.7292822733377,STOP_LOSS
3MINDIA,CUP_HANDLE,TECHNICAL_SCANNER,2026-02-04,2026,OOS_2026,BULL,86.0,1721.08,1670.82,1796.47,2.92,0.83,1.55,0.17,True,True,True,True,True,WIN,1.5,18,4.38,1.88,0.54,2026-03-02,1796.47,TARGET_1
3MINDIA,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-05-14,2026,OOS_2026,SIDEWAYS,75.0,1863.06,1835.67,1904.13,1.47,0.83,1.36,0.17,True,True,True,True,True,LOSS,-1.0,2,-1.47,0.0,1.7,2026-05-18,1835.672261729617,STOP_LOSS
3MINDIA,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-08-18,2026,OOS_2026,BULL,75.0,2015.46,1986.29,2059.21,1.45,0.96,1.42,0.04,True,True,True,True,True,WIN,1.5,1,2.17,1134.31,0.0,2026-08-18,2059.2062822918315,TARGET_1
AADHARHFC,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2025-10-24,2025,VAL_2025,BULL,75.0,522.6,509.07,542.9,2.59,0.87,1.71,0.13,True,True,True,True,True,LOSS,-1.0,5,-2.59,0.24,1.0,2025-10-30,509.0661771791935,STOP_LOSS
AADHARHFC,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2025-10-24,2025,VAL_2025,BULL,75.0,522.6,509.07,542.9,2.59,0.87,1.71,0.13,True,True,True,True,True,LOSS,-1.0,5,-2.59,0.24,1.0,2025-10-30,509.0661771791935,STOP_LOSS
AADHARHFC,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2025-12-01,2025,VAL_2025,BEAR,75.0,484.8,474.66,500.01,2.09,0.77,1.67,0.23,True,True,True,True,True,LOSS,-1.0,12,-2.09,1.5,1.06,2025-12-16,474.6594226690248,STOP_LOSS
AADHARHFC,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2025-12-01,2025,VAL_2025,BEAR,86.0,484.8,477.1,496.35,1.59,0.77,1.67,0.23,True,True,True,True,True,WIN,1.5,10,2.38,1.84,0.71,2025-12-14,496.35,TARGET_1
AADHARHFC,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2025-12-01,2025,VAL_2025,BEAR,75.0,484.8,474.66,500.01,2.09,0.77,1.67,0.23,True,True,True,True,True,LOSS,-1.0,12,-2.09,1.5,1.06,2025-12-16,474.6594226690248,STOP_LOSS
AADHARHFC,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2026-01-21,2026,OOS_2026,BEAR,84.0,470.8,464.07,480.89,1.43,0.79,1.57,0.21,True,True,True,True,True,WIN,1.5,6,2.14,3.29,0.7,2026-01-29,480.89,TARGET_1
AADHARHFC,FALLING_WEDGE_REVERSAL,EXTENDED_LIBRARY,2026-01-30,2026,OOS_2026,SIDEWAYS,75.0,491.3,481.92,505.37,1.91,0.92,2.7,0.08,True,True,True,True,True,LOSS,-1.0,1,-1.91,0.0,2.15,2026-02-01,481.9217077665562,STOP_LOSS
AADHARHFC,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-01-30,2026,OOS_2026,SIDEWAYS,75.0,491.3,481.92,505.37,1.91,0.92,2.7,0.08,True,True,True,True,True,LOSS,-1.0,1,-1.91,0.0,2.15,2026-02-01,481.9217077665562,STOP_LOSS
AADHARHFC,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-03-04,2026,OOS_2026,BEAR,75.0,453.1,437.43,476.61,3.46,0.88,1.75,0.12,True,True,True,True,True,WIN,1.5,3,5.19,3.03,0.73,2026-03-08,476.6080852660183,TARGET_1
AADHARHFC,CUP_AND_HANDLE,EXTENDED_LIBRARY,2026-04-10,2026,OOS_2026,SIDEWAYS,75.0,478.6,460.23,506.16,3.84,0.78,1.67,0.22,True,True,True,True,True,WIN,1.5,6,5.76,1.53,0.64,2026-04-20,506.15601612256705,TARGET_1
AADHARHFC,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2026-04-10,2026,OOS_2026,SIDEWAYS,75.0,478.6,460.23,506.16,3.84,0.78,1.67,0.22,True,True,True,True,True,WIN,1.5,6,5.76,1.53,0.64,2026-04-20,506.15601612256705,TARGET_1
AADHARHFC,FALLING_WEDGE_REVERSAL,EXTENDED_LIBRARY,2026-04-15,2026,OOS_2026,SIDEWAYS,75.0,480.65,462.9,507.27,3.69,0.81,1.79,0.19,True,True,True,True,True,WIN,1.5,14,5.54,2.39,0.18,2026-05-04,507.27188715026585,TARGET_1
AADHARHFC,BULL_FLAG,EXTENDED_LIBRARY,2026-05-05,2026,OOS_2026,BULL,75.0,517.45,502.04,540.56,2.98,0.81,2.18,0.19,True,True,True,True,True,LOSS,-1.0,1,-2.98,0.17,1.45,2026-05-05,502.04151434967116,STOP_LOSS
AADHARHFC,BULL_FLAG,TECHNICAL_SCANNER,2026-05-05,2026,OOS_2026,BULL,88.0,517.45,486.4,564.03,6.0,0.81,2.18,0.19,True,True,True,True,True,LOSS,-1.0,5,-6.0,0.08,1.07,2026-05-11,486.4,STOP_LOSS
AADHARHFC,CUP_AND_HANDLE,EXTENDED_LIBRARY,2026-05-05,2026,OOS_2026,BULL,75.0,517.45,502.04,540.56,2.98,0.81,2.18,0.19,True,True,True,True,True,LOSS,-1.0,1,-2.98,0.17,1.45,2026-05-05,502.04151434967116,STOP_LOSS
AADHARHFC,MULTI_MONTH_BASE_BREAKOUT,EXTENDED_LIBRARY,2026-05-05,2026,OOS_2026,BULL,75.0,517.45,494.34,552.12,4.47,0.81,2.18,0.19,True,True,True,True,True,LOSS,-1.0,2,-4.47,0.11,1.05,2026-05-06,494.3372654209911,STOP_LOSS
AADHARHFC,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-06-02,2026,OOS_2026,SIDEWAYS,75.0,465.15,450.74,486.76,3.1,0.86,1.66,0.14,True,True,True,True,True,LOSS,-1.0,7,-3.1,0.75,1.07,2026-06-10,450.74235967732534,STOP_LOSS
AADHARHFC,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-06-02,2026,OOS_2026,SIDEWAYS,75.0,465.15,450.74,486.76,3.1,0.86,1.66,0.14,True,True,True,True,True,LOSS,-1.0,7,-3.1,0.75,1.07,2026-06-10,450.74235967732534,STOP_LOSS
AADHARHFC,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-06-12,2026,OOS_2026,SIDEWAYS,75.0,473.65,459.26,495.23,3.04,0.86,1.59,0.14,True,True,True,True,True,WIN,1.5,2,4.56,1.55,0.0,2026-06-15,495.23185752813845,TARGET_1
AADHARHFC,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2026-06-12,2026,OOS_2026,SIDEWAYS,89.0,473.65,447.55,512.8,5.51,0.86,1.59,0.14,True,True,True,True,True,WIN,1.5,5,8.27,1.95,0.0,2026-06-18,512.8,TARGET_1
AADHARHFC,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-06-12,2026,OOS_2026,SIDEWAYS,75.0,473.65,459.26,495.23,3.04,0.86,1.59,0.14,True,True,True,True,True,WIN,1.5,2,4.56,1.55,0.0,2026-06-15,495.23185752813845,TARGET_1
AADHARHFC,FALLING_WEDGE_REVERSAL,EXTENDED_LIBRARY,2026-06-15,2026,OOS_2026,SIDEWAYS,75.0,488.95,474.35,510.85,2.99,0.8,1.83,0.2,True,True,True,True,True,WIN,1.5,4,4.48,2.44,0.49,2026-06-18,510.8492433760867,TARGET_1
AADHARHFC,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2026-06-15,2026,OOS_2026,SIDEWAYS,75.0,488.95,474.35,510.85,2.99,0.8,1.83,0.2,True,True,True,True,True,WIN,1.5,4,4.48,2.44,0.49,2026-06-18,510.8492433760867,TARGET_1
AADHARHFC,VCP_CONTRACTION,EXTENDED_LIBRARY,2026-06-15,2026,OOS_2026,SIDEWAYS,75.0,488.95,474.35,510.85,2.99,0.8,1.83,0.2,True,True,True,True,True,WIN,1.5,4,4.48,2.44,0.49,2026-06-18,510.8492433760867,TARGET_1
AADHARHFC,FLAT_BASE_BREAKOUT,EXTENDED_LIBRARY,2026-06-19,2026,OOS_2026,SIDEWAYS,75.0,515.1,491.59,550.37,4.56,0.78,6.35,0.22,True,True,True,True,True,LOSS,-1.0,3,-4.56,0.16,1.11,2026-06-23,491.5870644662495,STOP_LOSS
AADHARHFC,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2026-06-19,2026,OOS_2026,SIDEWAYS,75.0,515.1,499.42,538.61,3.04,0.78,6.35,0.22,True,True,True,True,True,LOSS,-1.0,1,-3.04,0.24,1.41,2026-06-21,499.42470150614554,STOP_LOSS
AADHARHFC,V_REVERSAL,TECHNICAL_SCANNER,2026-06-19,2026,OOS_2026,SIDEWAYS,89.0,515.1,484.19,561.46,6.0,0.78,6.35,0.22,True,True,True,True,True,WIN,1.5,11,9.0,1.55,0.84,2026-07-05,561.46,TARGET_1
AADHARHFC,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-06-19,2026,OOS_2026,SIDEWAYS,75.0,515.1,499.42,538.61,3.04,0.78,6.35,0.22,True,True,True,True,True,LOSS,-1.0,1,-3.04,0.24,1.41,2026-06-21,499.42470150614554,STOP_LOSS
AADHARHFC,MULTI_MONTH_BASE_BREAKOUT,EXTENDED_LIBRARY,2026-07-03,2026,OOS_2026,BULL,75.0,555.6,530.26,593.61,4.56,0.87,2.06,0.13,True,True,True,True,True,LOSS,-1.0,3,-4.56,0.29,1.4,2026-07-07,530.2578423729351,STOP_LOSS
AARTIDRUGS,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2025-12-23,2025,VAL_2025,SIDEWAYS,75.0,410.15,397.04,429.81,3.2,0.8,2.98,0.2,True,True,True,True,True,LOSS,-1.0,9,-3.2,0.98,1.01,2026-01-05,397.04149218052396,STOP_LOSS
AARTIDRUGS,FALLING_WEDGE_REVERSAL,EXTENDED_LIBRARY,2025-12-23,2025,VAL_2025,SIDEWAYS,75.0,410.15,397.04,429.81,3.2,0.8,2.98,0.2,True,True,True,True,True,LOSS,-1.0,9,-3.2,0.98,1.01,2026-01-05,397.04149218052396,STOP_LOSS
AARTIDRUGS,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2025-12-23,2025,VAL_2025,SIDEWAYS,75.0,410.15,397.04,429.81,3.2,0.8,2.98,0.2,True,True,True,True,True,LOSS,-1.0,9,-3.2,0.98,1.01,2026-01-05,397.04149218052396,STOP_LOSS
AARTIDRUGS,VCP_CONTRACTION,EXTENDED_LIBRARY,2025-12-23,2025,VAL_2025,SIDEWAYS,75.0,410.15,397.04,429.81,3.2,0.8,2.98,0.2,True,True,True,True,True,LOSS,-1.0,9,-3.2,0.98,1.01,2026-01-05,397.04149218052396,STOP_LOSS
AARTIDRUGS,V_REVERSAL,TECHNICAL_SCANNER,2025-12-23,2025,VAL_2025,SIDEWAYS,89.0,410.15,385.54,447.06,6.0,0.8,2.98,0.2,True,True,True,True,True,LOSS,-1.0,12,-6.0,0.52,1.2,2026-01-08,385.54,STOP_LOSS
AARTIDRUGS,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-01-28,2026,OOS_2026,BEAR,75.0,382.65,371.39,399.54,2.94,0.86,1.6,0.14,True,True,True,True,True,LOSS,-1.0,2,-2.94,0.11,1.21,2026-01-29,371.38530691365577,STOP_LOSS
AARTIDRUGS,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2026-01-28,2026,OOS_2026,BEAR,87.0,382.65,359.69,417.08,6.0,0.86,1.6,0.14,True,True,True,True,True,WIN,1.5,4,9.0,1.62,0.59,2026-02-02,417.08,TARGET_1
AARTIDRUGS,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-01-28,2026,OOS_2026,BEAR,75.0,382.65,371.39,399.54,2.94,0.86,1.6,0.14,True,True,True,True,True,LOSS,-1.0,2,-2.94,0.11,1.21,2026-01-29,371.38530691365577,STOP_LOSS
AARTIDRUGS,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-02-04,2026,OOS_2026,BEAR,75.0,368.92,353.95,391.37,4.06,0.78,6.38,0.22,True,True,True,True,True,LOSS,-1.0,18,-4.06,1.24,1.26,2026-03-01,353.9510645543926,STOP_LOSS
AARTIDRUGS,CUP_HANDLE,TECHNICAL_SCANNER,2026-04-27,2026,OOS_2026,BULL,83.0,381.8,359.05,415.92,5.96,0.81,1.51,0.19,True,True,True,True,True,LOSS,-1.0,13,-5.96,0.91,1.02,2026-05-13,359.05,STOP_LOSS
AARTIDRUGS,INVERSE_HEAD_AND_SHOULDERS,EXTENDED_LIBRARY,2026-04-27,2026,OOS_2026,BULL,75.0,381.8,369.1,400.85,3.33,0.81,1.51,0.19,True,True,True,True,True,WIN,1.5,7,4.99,1.63,0.93,2026-05-05,400.85259626725576,TARGET_1
AARTIDRUGS,BULL_FLAG,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,383.67,414.12,3.08,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,5,-3.08,0.54,1.47,2026-05-10,383.6726998705075,STOP_LOSS
AARTIDRUGS,CUP_AND_HANDLE,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,383.67,414.12,3.08,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,5,-3.08,0.54,1.47,2026-05-10,383.6726998705075,STOP_LOSS
AARTIDRUGS,INVERSE_HEAD_AND_SHOULDERS,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,383.67,414.12,3.08,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,5,-3.08,0.54,1.47,2026-05-10,383.6726998705075,STOP_LOSS
AARTIDRUGS,MULTI_MONTH_BASE_BREAKOUT,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,377.58,423.25,4.61,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,6,-4.61,0.36,1.39,2026-05-11,377.58404675400345,STOP_LOSS
AARTIDRUGS,MULTI_MONTH_BASE_BREAKOUT,TECHNICAL_SCANNER,2026-05-04,2026,OOS_2026,BULL,95.0,395.85,373.74,429.02,5.59,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,6,-5.59,0.3,1.15,2026-05-11,373.74,STOP_LOSS
AARTIDRUGS,PENNANT_CONVERGENCE,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,383.67,414.12,3.08,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,5,-3.08,0.54,1.47,2026-05-10,383.6726998705075,STOP_LOSS
AARTIDRUGS,VCP_CONTRACTION,EXTENDED_LIBRARY,2026-05-04,2026,OOS_2026,BULL,75.0,395.85,383.67,414.12,3.08,0.85,3.09,0.15,True,True,True,True,True,LOSS,-1.0,5,-3.08,0.54,1.47,2026-05-10,383.6726998705075,STOP_LOSS
AARTIDRUGS,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2026-06-22,2026,OOS_2026,SIDEWAYS,75.0,376.4,365.48,392.78,2.9,0.76,2.11,0.24,True,True,True,True,True,WIN,1.5,9,4.35,1.69,0.72,2026-07-02,392.7777776621074,TARGET_1
AARTIDRUGS,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2026-06-22,2026,OOS_2026,SIDEWAYS,92.0,376.4,363.18,396.23,3.51,0.76,2.11,0.24,True,True,True,True,True,WIN,1.5,12,5.27,1.67,0.59,2026-07-07,396.23,TARGET_1
AARTIIND,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2025-11-28,2025,VAL_2025,BULL,100.0,2049.62,1926.65,2234.08,6.0,0.95,2.6,0.05,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,13.58,2025-11-30,1926.65,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-01-28,2026,OOS_2026,BULL,75.0,2129.02,486.0,4593.55,77.17,0.9,1.61,0.1,True,True,True,True,True,LOSS,-1.0,1,-77.17,0.0,1.08,2026-01-28,485.99506563833916,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,TECHNICAL_SCANNER,2026-01-28,2026,OOS_2026,BULL,95.0,2129.02,2001.28,2320.63,6.0,0.9,1.61,0.1,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,13.93,2026-01-28,2001.28,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-03-16,2026,OOS_2026,BULL,75.0,2156.49,454.93,4708.82,78.9,0.9,2.06,0.1,True,True,True,True,True,LOSS,-1.0,1,-78.9,0.0,1.02,2026-03-16,454.9338208100073,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,TECHNICAL_SCANNER,2026-03-16,2026,OOS_2026,BULL,99.0,2156.49,2027.1,2350.57,6.0,0.9,2.06,0.1,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,13.45,2026-03-16,2027.1,STOP_LOSS
AARTIIND,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-03-30,2026,OOS_2026,BULL,75.0,2043.67,443.57,4443.8,78.3,0.78,2.14,0.22,True,True,True,True,True,LOSS,-1.0,2,-78.3,0.03,1.02,2026-03-31,443.5732549769025,STOP_LOSS
AARTIIND,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-03-30,2026,OOS_2026,BULL,75.0,2043.67,443.57,4443.8,78.3,0.78,2.14,0.22,True,True,True,True,True,LOSS,-1.0,2,-78.3,0.03,1.02,2026-03-31,443.5732549769025,STOP_LOSS
AARTIIND,PENNANT_CONVERGENCE,EXTENDED_LIBRARY,2026-04-10,2026,OOS_2026,BULL,75.0,2138.72,557.53,4510.5,73.93,0.92,1.8,0.08,True,True,True,True,True,LOSS,-1.0,1,-73.93,0.0,1.09,2026-04-12,557.5326124969818,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,EXTENDED_LIBRARY,2026-04-10,2026,OOS_2026,BULL,75.0,2138.72,557.53,4510.5,73.93,0.92,1.8,0.08,True,True,True,True,True,LOSS,-1.0,1,-73.93,0.0,1.09,2026-04-12,557.5326124969818,STOP_LOSS
AARTIIND,WYCKOFF_SPRING_TYPE_2,TECHNICAL_SCANNER,2026-04-10,2026,OOS_2026,BULL,97.0,2138.72,2010.39,2331.21,6.0,0.92,1.8,0.08,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,13.47,2026-04-12,2010.39,STOP_LOSS
AARTIIND,DOUBLE_BOTTOM,TECHNICAL_SCANNER,2026-05-18,2026,OOS_2026,BULL,94.0,2119.31,2026.66,2258.29,4.37,0.91,1.47,0.09,True,True,True,True,True,LOSS,-1.0,1,-4.37,0.0,17.93,2026-05-18,2026.66,STOP_LOSS
AARTIIND,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-05-18,2026,OOS_2026,BULL,75.0,2119.31,493.84,4557.51,76.7,0.91,1.47,0.09,True,True,True,True,True,LOSS,-1.0,1,-76.7,0.0,1.02,2026-05-18,493.8443932926318,STOP_LOSS
AARTIIND,UNDERCUT_AND_RALLY,EXTENDED_LIBRARY,2026-05-18,2026,OOS_2026,BULL,75.0,2119.31,493.84,4557.51,76.7,0.91,1.47,0.09,True,True,True,True,True,LOSS,-1.0,1,-76.7,0.0,1.02,2026-05-18,493.8443932926318,STOP_LOSS
AARTIIND,INVERSE_HEAD_AND_SHOULDERS,EXTENDED_LIBRARY,2026-05-28,2026,OOS_2026,BULL,75.0,2148.64,487.5,4640.35,77.31,0.84,2.23,0.16,True,True,True,True,True,LOSS,-1.0,1,-77.31,0.0,1.01,2026-05-28,487.5031195705617,STOP_LOSS
AARTIIND,SHAKEOUT_RECLAIM,TECHNICAL_SCANNER,2026-05-28,2026,OOS_2026,BULL,96.0,2148.64,2019.72,2342.02,6.0,0.84,2.23,0.16,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,13.02,2026-05-28,2019.72,STOP_LOSS
AARTIIND,DOUBLE_BOTTOM_SHAKEOUT,EXTENDED_LIBRARY,2026-06-15,2026,OOS_2026,BEAR,75.0,498.15,-1245.9,3114.22,350.1,0.88,9.21,0.12,True,True,True,True,True,LOSS,-0.02,20,-8.22,1.01,0.02,2026-06-28,457.20001220703125,TIMEOUT_20D
AARTIIND,ASCENDING_TRIANGLE,EXTENDED_LIBRARY,2026-07-17,2026,OOS_2026,BULL,75.0,2117.79,509.35,4530.45,75.95,0.86,2.12,0.14,True,True,True,True,True,LOSS,-1.0,1,-75.95,0.0,1.01,2026-07-19,509.34629411568176,STOP_LOSS
AARTIIND,HIGHER_LOW_REVERSAL,TECHNICAL_SCANNER,2026-07-22,2026,OOS_2026,BULL,87.0,2134.38,2006.32,2326.48,6.0,0.82,1.58,0.18,True,True,True,True,True,LOSS,-1.0,1,-6.0,0.0,12.95,2026-07-22,2006.32,STOP_LOSS
AARTIPHARM,BULL_PENNANT,TECHNICAL_SCANNER,2025-12-22,2025,VAL_2025,SIDEWAYS,85.0,777.7,731.04,847.69,6.0,0.9,1.37,0.1,True,True,True,True,True,LOSS,-1.0,4,-6.0,0.1,1.14,2025-12-28,731.04,STOP_LOSS
AARTIPHARM,PULLBACK_EMA_BOUNCE,EXTENDED_LIBRARY,2026-01-21,2026,OOS_2026,BULL,75.0,792.22,765.45,832.37,3.38,0.81,2.09,0.19,True,True,True,True,True,LOSS,-1.0,1,-3.38,0.25,1.48,2026-01-21,765.4544149836847,STOP_LOSS
