scanner,ctype,combo,be,n,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v511_wr,v511_er,v58_wr,v58_er
ACCUMULATION_VCP,SINGLE,F4_VOL15,0.0,5052,40.87,-0.0339,0.933,375.69,0.0,1377,0.1077,1.264,0.11,-0.0549,-0.066,-0.0018,-0.1094,-0.1849,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL15,0.5,5052,40.87,0.0634,1.156,223.01,0.0,1377,0.2038,1.655,0.11,0.0424,0.0328,0.0941,-0.0121,-0.0876,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL15,0.8,5052,40.87,0.0514,1.123,230.74,0.0,1377,0.1898,1.584,0.11,0.0304,0.0205,0.0822,-0.0241,-0.0996,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL15,1.0,5052,40.87,0.0415,1.097,230.74,0.0,1377,0.1702,1.494,0.11,0.0205,0.0105,0.0725,-0.034,-0.1095,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL15,1.5,5052,40.87,0.02,1.044,256.41,0.0,1377,0.1443,1.389,0.11,-0.001,-0.0114,0.0514,-0.0555,-0.131,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL20,0.0,2596,41.41,-0.0223,0.955,162.48,0.0,706,0.1535,1.39,0.65,-0.0433,-0.0674,0.0228,-0.0978,-0.1733,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL20,0.5,2596,41.41,0.0745,1.185,137.03,0.0,706,0.2535,1.863,0.65,0.0535,0.0315,0.1176,-0.001,-0.0765,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL20,0.8,2596,41.41,0.0618,1.149,137.03,0.0,706,0.2464,1.819,0.65,0.0408,0.0184,0.1051,-0.0137,-0.0892,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL20,1.0,2596,41.41,0.0519,1.122,137.03,0.0,706,0.218,1.662,0.65,0.0309,0.0083,0.0955,-0.0236,-0.0991,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F4_VOL20,1.5,2596,41.41,0.0315,1.071,137.03,0.0,706,0.2003,1.577,0.65,0.0105,-0.0125,0.0755,-0.044,-0.1195,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F5_MTF,0.0,7257,41.34,-0.0254,0.949,431.95,0.0,2000,0.0724,1.174,0.58,-0.0464,-0.0522,0.0013,-0.1009,-0.1764,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F5_MTF,0.5,7257,41.34,0.0699,1.174,251.96,0.0,2000,0.1693,1.53,0.58,0.0489,0.0444,0.0954,-0.0056,-0.0811,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F5_MTF,0.8,7257,41.34,0.0584,1.141,285.4,0.0,2000,0.1585,1.48,0.58,0.0374,0.0328,0.0841,-0.0171,-0.0926,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F5_MTF,1.0,7257,41.34,0.0491,1.116,285.4,0.0,2000,0.1416,1.408,0.58,0.0281,0.0233,0.0749,-0.0264,-0.1019,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F5_MTF,1.5,7257,41.34,0.0281,1.063,293.52,0.0,2000,0.1161,1.312,0.58,0.0071,0.002,0.0542,-0.0474,-0.1229,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F6_BREADTH60,0.0,9594,43.57,0.0107,1.023,338.1,0.0,2762,0.0616,1.152,2.81,-0.0103,-0.0124,0.0337,-0.0648,-0.1403,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F6_BREADTH60,0.5,9594,43.57,0.0993,1.259,338.1,0.0,2762,0.158,1.51,2.81,0.0783,0.0772,0.1213,0.0238,-0.0517,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F6_BREADTH60,0.8,9594,43.57,0.0887,1.225,338.1,0.0,2762,0.1487,1.466,2.81,0.0677,0.0665,0.1108,0.0132,-0.0623,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F6_BREADTH60,1.0,9594,43.57,0.0825,1.206,338.1,0.0,2762,0.141,1.432,2.81,0.0615,0.0603,0.1047,0.007,-0.0685,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F6_BREADTH60,1.5,9594,43.57,0.061,1.145,338.1,0.0,2762,0.1193,1.342,2.81,0.04,0.0385,0.0835,-0.0145,-0.09,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F7_VOLCOMP,0.0,6656,40.61,-0.0398,0.921,525.95,0.0,1789,0.0889,1.216,-0.15,-0.0608,-0.0676,-0.012,-0.1153,-0.1908,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F7_VOLCOMP,0.5,6656,40.61,0.0551,1.135,343.98,0.0,1789,0.1889,1.606,-0.15,0.0341,0.0284,0.0817,-0.0204,-0.0959,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F7_VOLCOMP,0.8,6656,40.61,0.0435,1.104,358.51,0.0,1789,0.1764,1.544,-0.15,0.0225,0.0168,0.0703,-0.032,-0.1075,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F7_VOLCOMP,1.0,6656,40.61,0.0335,1.078,358.51,0.0,1789,0.1581,1.462,-0.15,0.0125,0.0066,0.0605,-0.042,-0.1175,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F7_VOLCOMP,1.5,6656,40.61,0.0129,1.029,383.48,0.0,1789,0.1301,1.351,-0.15,-0.0081,-0.0142,0.0401,-0.0626,-0.1381,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F8_CLEANGAP,0.0,4952,40.61,-0.0485,0.904,429.84,0.0,1359,0.04,1.096,-0.15,-0.0695,-0.0806,-0.0164,-0.124,-0.1995,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F8_CLEANGAP,0.5,4952,40.61,0.047,1.115,298.53,0.0,1359,0.135,1.417,-0.15,0.026,0.0163,0.0776,-0.0285,-0.104,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F8_CLEANGAP,0.8,4952,40.61,0.0362,1.086,314.71,0.0,1359,0.1247,1.374,-0.15,0.0152,0.0053,0.067,-0.0393,-0.1148,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F8_CLEANGAP,1.0,4952,40.61,0.0266,1.062,314.71,0.0,1359,0.1068,1.303,-0.15,0.0056,-0.0044,0.0576,-0.0489,-0.1244,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F8_CLEANGAP,1.5,4952,40.61,0.0053,1.012,314.71,0.0,1359,0.0835,1.223,-0.15,-0.0157,-0.0261,0.0366,-0.0702,-0.1457,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F9_EARLY,0.0,5458,41.04,-0.0401,0.92,416.72,0.0,1513,0.0661,1.158,0.28,-0.0611,-0.0706,-0.0096,-0.1156,-0.1911,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F9_EARLY,0.5,5458,41.04,0.0538,1.133,254.28,0.0,1513,0.1639,1.511,0.28,0.0328,0.0247,0.0829,-0.0217,-0.0972,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F9_EARLY,0.8,5458,41.04,0.0433,1.104,273.09,0.0,1513,0.1535,1.463,0.28,0.0223,0.014,0.0725,-0.0322,-0.1077,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F9_EARLY,1.0,5458,41.04,0.033,1.078,273.09,0.0,1513,0.1338,1.381,0.28,0.012,0.0036,0.0625,-0.0425,-0.118,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F9_EARLY,1.5,5458,41.04,0.0127,1.028,287.22,0.0,1513,0.1098,1.293,0.28,-0.0083,-0.0171,0.0424,-0.0628,-0.1383,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F10_BODY,0.0,2715,40.99,-0.0422,0.917,216.16,0.0,743,0.0974,1.245,0.23,-0.0632,-0.0855,0.0012,-0.1177,-0.1932,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F10_BODY,0.5,2715,40.99,0.0514,1.125,160.06,0.0,743,0.1926,1.637,0.23,0.0304,0.0099,0.0928,-0.0241,-0.0996,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F10_BODY,0.8,2715,40.99,0.0403,1.095,173.19,0.0,743,0.1838,1.591,0.23,0.0193,-0.0014,0.082,-0.0352,-0.1107,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F10_BODY,1.0,2715,40.99,0.0308,1.071,173.19,0.0,743,0.1628,1.49,0.23,0.0098,-0.0111,0.0727,-0.0447,-0.1202,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F10_BODY,1.5,2715,40.99,0.0097,1.021,173.19,0.0,743,0.1307,1.359,0.23,-0.0113,-0.0327,0.052,-0.0658,-0.1413,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F11_PATH,0.0,6103,41.65,-0.0254,0.949,374.73,0.0,1626,0.0744,1.18,0.89,-0.0464,-0.0544,0.0036,-0.1009,-0.1764,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F11_PATH,0.5,6103,41.65,0.0676,1.169,274.01,0.0,1626,0.1663,1.517,0.89,0.0466,0.0399,0.0953,-0.0079,-0.0834,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F11_PATH,0.8,6103,41.65,0.057,1.138,277.16,0.0,1626,0.1577,1.477,0.89,0.036,0.0291,0.0849,-0.0185,-0.094,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F11_PATH,1.0,6103,41.65,0.0475,1.113,277.16,0.0,1626,0.1429,1.414,0.89,0.0265,0.0195,0.0756,-0.028,-0.1035,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F11_PATH,1.5,6103,41.65,0.0274,1.062,277.16,0.0,1626,0.1206,1.328,0.89,0.0064,-0.0009,0.0557,-0.0481,-0.1236,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F12_MOM,0.0,2233,41.24,-0.0127,0.975,120.67,0.0,613,0.11,1.274,0.48,-0.0337,-0.0617,0.0363,-0.0882,-0.1637,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F12_MOM,0.5,2233,41.24,0.0811,1.199,98.85,0.0,613,0.2044,1.664,0.48,0.0601,0.0342,0.128,0.0056,-0.0699,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F12_MOM,0.8,2233,41.24,0.0695,1.166,104.97,0.0,613,0.1878,1.579,0.48,0.0485,0.0223,0.1167,-0.006,-0.0815,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F12_MOM,1.0,2233,41.24,0.0612,1.143,104.97,0.0,613,0.1711,1.502,0.48,0.0402,0.0138,0.1085,-0.0143,-0.0898,40.76,0.021,40.76,-0.053
ACCUMULATION_VCP,SINGLE,F12_MOM,1.5,2233,41.24,0.0385,1.086,104.97,0.0,613,0.1483,1.408,0.48,0.0175,-0.0095,0.0864,-0.037,-0.1125,40.76,0.021,40.76,-0.053
EOD_BREAKOUT,SINGLE,F1_CPOS75,0.0,1107,42.82,0.0096,1.019,75.56,0.0,284,0.2235,1.504,1.81,0.0046,-0.0627,0.082,-0.0634,-0.1364,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS75,0.5,1107,42.82,0.1096,1.267,50.61,0.0,284,0.3279,1.967,1.81,0.1046,0.0405,0.1786,0.0366,-0.0364,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS75,0.8,1107,42.82,0.0965,1.228,57.71,0.0,284,0.3143,1.891,1.81,0.0915,0.0269,0.166,0.0235,-0.0495,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS75,1.0,1107,42.82,0.0868,1.2,68.39,0.0,284,0.2978,1.807,1.81,0.0818,0.017,0.1567,0.0138,-0.0592,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS75,1.5,1107,42.82,0.0689,1.153,69.92,0.0,284,0.2732,1.694,1.81,0.0639,-0.0015,0.1394,-0.0041,-0.0771,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS80,0.0,711,41.77,-0.0145,0.971,64.94,0.0,185,0.1562,1.354,0.76,-0.0195,-0.1022,0.0732,-0.0875,-0.1605,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS80,0.5,711,41.77,0.085,1.211,45.04,0.0,185,0.2676,1.812,0.76,0.08,0.0015,0.1685,0.012,-0.061,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS80,0.8,711,41.77,0.0702,1.168,53.7,0.0,185,0.2487,1.714,0.76,0.0652,-0.014,0.1544,-0.0028,-0.0758,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS80,1.0,711,41.77,0.0634,1.149,57.59,0.0,185,0.2433,1.687,0.76,0.0584,-0.0211,0.1479,-0.0096,-0.0826,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F1_CPOS80,1.5,711,41.77,0.0429,1.096,64.27,0.0,185,0.2163,1.568,0.76,0.0379,-0.0425,0.1283,-0.0301,-0.1031,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS70,0.0,3325,41.08,-0.0449,0.916,356.12,0.0,773,0.1687,1.357,0.07,-0.0499,-0.086,-0.0038,-0.1179,-0.1909,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS70,0.5,3325,41.08,0.0564,1.131,315.8,0.0,773,0.2737,1.744,0.07,0.0514,0.0171,0.0956,-0.0166,-0.0896,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS70,0.8,3325,41.08,0.0419,1.094,324.74,0.0,773,0.2626,1.694,0.07,0.0369,0.0023,0.0815,-0.0311,-0.1041,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS70,1.0,3325,41.08,0.0326,1.072,329.74,0.0,773,0.247,1.627,0.07,0.0276,-0.0071,0.0724,-0.0404,-0.1134,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS70,1.5,3325,41.08,0.0124,1.026,332.89,0.0,773,0.225,1.54,0.07,0.0074,-0.0277,0.0525,-0.0606,-0.1336,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS80,0.0,1692,40.07,-0.0598,0.889,199.28,0.0,379,0.1591,1.338,-0.94,-0.0648,-0.1171,-0.0024,-0.1328,-0.2058,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS80,0.5,1692,40.07,0.0452,1.105,170.61,0.0,379,0.262,1.712,-0.94,0.0402,-0.0095,0.0999,-0.0278,-0.1008,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS80,0.8,1692,40.07,0.0318,1.071,185.18,0.0,379,0.2515,1.665,-0.94,0.0268,-0.0233,0.0868,-0.0412,-0.1142,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS80,1.0,1692,40.07,0.0212,1.046,185.18,0.0,379,0.2391,1.612,-0.94,0.0162,-0.0342,0.0766,-0.0518,-0.1248,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F2_RS80,1.5,1692,40.07,0.0001,1.0,194.56,0.0,379,0.2081,1.493,-0.94,-0.0049,-0.0558,0.056,-0.0729,-0.1459,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F3_SECTOR,0.0,5765,41.56,-0.0511,0.903,542.18,0.0,1306,0.1584,1.333,0.55,-0.0561,-0.0818,-0.0204,-0.1241,-0.1971,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F3_SECTOR,0.5,5765,41.56,0.0518,1.122,444.77,0.0,1306,0.2723,1.751,0.55,0.0468,0.0225,0.0811,-0.0212,-0.0942,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F3_SECTOR,0.8,5765,41.56,0.0376,1.085,467.25,0.0,1306,0.2597,1.692,0.55,0.0326,0.0081,0.0671,-0.0354,-0.1084,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F3_SECTOR,1.0,5765,41.56,0.0278,1.062,474.78,0.0,1306,0.2411,1.612,0.55,0.0228,-0.0019,0.0574,-0.0452,-0.1182,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F3_SECTOR,1.5,5765,41.56,0.0075,1.016,506.33,0.0,1306,0.2213,1.535,0.55,0.0025,-0.0224,0.0375,-0.0655,-0.1385,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL15,0.0,4343,40.2,-0.0744,0.862,465.48,0.0,992,0.0509,1.1,-0.81,-0.0794,-0.1097,-0.0391,-0.1474,-0.2204,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL15,0.5,4343,40.2,0.0291,1.067,372.05,0.0,992,0.1737,1.447,-0.81,0.0241,-0.0046,0.0629,-0.0439,-0.1169,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL15,0.8,4343,40.2,0.0145,1.032,389.69,0.0,992,0.1589,1.394,-0.81,0.0095,-0.0195,0.0485,-0.0585,-0.1315,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL15,1.0,4343,40.2,0.0051,1.011,394.39,0.0,992,0.1406,1.333,-0.81,0.0001,-0.029,0.0392,-0.0679,-0.1409,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL15,1.5,4343,40.2,-0.0156,0.968,404.63,0.0,992,0.12,1.271,-0.81,-0.0206,-0.0501,0.0188,-0.0886,-0.1616,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL20,0.0,2250,41.33,-0.0615,0.884,207.07,0.0,500,0.045,1.09,0.32,-0.0665,-0.1101,-0.0129,-0.1345,-0.2075,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL20,0.5,2250,41.33,0.0404,1.095,166.01,0.0,500,0.1717,1.461,0.32,0.0354,-0.006,0.0867,-0.0326,-0.1056,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL20,0.8,2250,41.33,0.0278,1.063,176.26,0.0,500,0.1584,1.411,0.32,0.0228,-0.0188,0.0745,-0.0452,-0.1182,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL20,1.0,2250,41.33,0.0186,1.042,178.5,0.0,500,0.142,1.353,0.32,0.0136,-0.0282,0.0655,-0.0544,-0.1274,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F4_VOL20,1.5,2250,41.33,-0.0024,0.995,186.11,0.0,500,0.112,1.259,0.32,-0.0074,-0.0497,0.045,-0.0754,-0.1484,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F5_MTF,0.0,6302,40.86,-0.0627,0.884,683.69,0.0,1453,0.1226,1.247,-0.15,-0.0677,-0.0922,-0.0331,-0.1357,-0.2087,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F5_MTF,0.5,6302,40.86,0.0414,1.095,539.63,0.0,1453,0.232,1.599,-0.15,0.0364,0.0132,0.0696,-0.0316,-0.1046,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F5_MTF,0.8,6302,40.86,0.0276,1.062,577.98,0.0,1453,0.2184,1.545,-0.15,0.0226,-0.0007,0.056,-0.0454,-0.1184,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F5_MTF,1.0,6302,40.86,0.0177,1.039,610.39,0.0,1453,0.1999,1.477,-0.15,0.0127,-0.0109,0.0462,-0.0553,-0.1283,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F5_MTF,1.5,6302,40.86,-0.0033,0.993,654.23,0.0,1453,0.1757,1.396,-0.15,-0.0083,-0.0321,0.0255,-0.0763,-0.1493,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F6_BREADTH60,0.0,7958,42.89,-0.0314,0.94,606.28,0.0,1886,0.1524,1.312,1.88,-0.0364,-0.0577,-0.0051,-0.1044,-0.1774,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F6_BREADTH60,0.5,7958,42.89,0.0679,1.16,523.5,0.0,1886,0.2583,1.675,1.88,0.0629,0.0427,0.093,-0.0051,-0.0781,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F6_BREADTH60,0.8,7958,42.89,0.0542,1.124,589.71,0.0,1886,0.2521,1.648,1.88,0.0492,0.0289,0.0796,-0.0188,-0.0918,41.01,0.005,41.01,-0.074
EOD_BREAKOUT,SINGLE,F6_BREADTH60,1.0,7958,42.89,0.0444,1.099,589.71,0.0,1886,0.2342,1.576,1.88,0.0394,0.019,0.0699,-0.0286,-0.1016,41.01,0.005,41.01,-0.074
