scanner,lever,description,delta_net_wr,delta_net_er,delta_net_pf,delta_dd_pct,decision
DAILY_BUILDER,RS_ALONE,Relative Strength Rating >= 75 alone,-0.22,-0.0068,-0.01,0.0,NEUTRAL_OR_NEGATIVE
DAILY_BUILDER,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1033,0.18,-8.3,POSITIVE
REVERSAL,CLV_ALONE,Close Location Value >= 0.75 alone,0.14,0.005,0.01,0.0,POSITIVE
REVERSAL,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,0.28,0.008,0.02,0.0,POSITIVE
REVERSAL,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,0.13,0.003,0.01,0.0,POSITIVE
REVERSAL,RS_ALONE,Relative Strength Rating >= 75 alone,0.13,0.003,0.01,0.0,POSITIVE
REVERSAL,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1009,0.22,0.0,POSITIVE
MULTITF_1H,CLV_ALONE,Close Location Value >= 0.75 alone,-1.47,-0.0814,-0.12,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_1H,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.76,-0.0556,-0.09,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_1H,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,-1.6,-0.0966,-0.14,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_1H,RS_ALONE,Relative Strength Rating >= 75 alone,-1.6,-0.0966,-0.14,0.0,NEUTRAL_OR_NEGATIVE
MULTITF_1H,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1089,0.18,-33.9,POSITIVE
SHORT_COVERING_EOD,CLV_ALONE,Close Location Value >= 0.75 alone,0.06,-0.0027,-0.01,-8.5,NEUTRAL_OR_NEGATIVE
SHORT_COVERING_EOD,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,0.43,0.0122,0.01,-8.5,POSITIVE
SHORT_COVERING_EOD,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,0.45,0.0123,0.01,-17.8,POSITIVE
SHORT_COVERING_EOD,RS_ALONE,Relative Strength Rating >= 75 alone,0.45,0.0123,0.01,-17.8,POSITIVE
SHORT_COVERING_EOD,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.1077,0.15,0.0,POSITIVE
MULTIBAGGER,CLV_ALONE,Close Location Value >= 0.75 alone,-0.66,-0.0222,-0.04,0.0,NEUTRAL_OR_NEGATIVE
MULTIBAGGER,WICK_ALONE,Upper Wick Exhaustion <= 0.20 alone,-0.34,-0.0113,-0.02,0.0,NEUTRAL_OR_NEGATIVE
MULTIBAGGER,ATR_SQUEEZE_ALONE,ATR5/ATR20 Volatility Squeeze <= 0.75 alone,0.15,0.0026,0.0,0.0,POSITIVE
MULTIBAGGER,RS_ALONE,Relative Strength Rating >= 75 alone,0.15,0.0026,0.0,0.0,POSITIVE
MULTIBAGGER,BREAKEVEN_ALONE,Breakeven Stop at +1.0R MFE alone,0.0,0.0967,0.26,0.0,POSITIVE
