event_id,session_date,symbol,regime,rvol_5m,clv_5m,oi_change_5m,max_mfe,s1_r,s2_r,s3_r,s4_r,s5_r
EVT_SC_000052,2022-01-05,DIXON,NEUTRAL,1.02,0.855,-1.81,1.75,0.0,0.0,0.0,0.0,0.0
EVT_SC_000053,2022-01-05,ONGC,NEUTRAL,2.85,0.761,0.88,0.52,0.0,0.0,0.0,0.0,0.0
EVT_SC_000054,2022-01-05,SUNPHARMA,NEUTRAL,5.15,0.442,-1.83,3.41,2.558,0.0,2.523,0.0,0.0
EVT_SC_000055,2022-01-05,TRENT,NEUTRAL,2.75,0.381,1.12,1.4,0.0,0.0,0.0,0.0,0.0
EVT_SC_000056,2022-01-05,BHARTIARTL,NEUTRAL,3.92,0.206,-1.79,0.61,-0.92,0.0,0.0,0.0,0.0
EVT_SC_000057,2022-01-05,LTIM,NEUTRAL,2.62,0.839,0.3,3.74,0.0,0.0,2.622,0.0,0.0
EVT_SC_000058,2022-01-05,SIEMENS,NEUTRAL,2.03,0.588,-0.49,1.43,0.0,0.0,0.0,0.0,0.0
EVT_SC_000059,2022-01-05,TATASTEEL,NEUTRAL,4.43,0.332,1.1,4.92,0.0,0.0,0.0,0.0,0.0
EVT_SC_000060,2022-01-05,ABB,NEUTRAL,0.8,0.81,-2.35,0.62,0.0,0.0,0.0,0.0,0.0
EVT_SC_000061,2022-01-05,VEDL,NEUTRAL,1.43,0.72,0.68,1.78,0.0,0.0,0.0,0.0,0.0
EVT_SC_000062,2022-01-05,POLYCAB,NEUTRAL,2.69,0.677,-1.72,2.93,2.198,0.0,0.0,0.0,0.0
EVT_SC_000063,2022-01-05,DRREDDY,NEUTRAL,3.27,0.737,1.14,2.76,0.0,1.104,0.0,1.85,0.0
EVT_SC_000064,2022-01-05,M&M,NEUTRAL,4.85,0.396,-1.6,0.98,-0.97,0.0,0.0,0.0,0.0
EVT_SC_000065,2022-01-06,DIXON,NEUTRAL,2.33,0.67,0.32,3.58,0.0,0.0,0.0,0.0,0.0
EVT_SC_000066,2022-01-06,JSWSTEEL,NEUTRAL,0.97,0.519,0.68,1.37,0.0,0.0,0.0,0.0,0.0
EVT_SC_000067,2022-01-06,VBL,NEUTRAL,2.47,0.417,0.69,0.44,0.0,0.0,0.0,0.0,0.0
EVT_SC_000068,2022-01-06,HINDALCO,NEUTRAL,3.1,0.813,-1.92,4.47,3.2,3.346,0.0,1.85,0.0
EVT_SC_000069,2022-01-06,SBIN,NEUTRAL,0.92,0.288,-0.27,0.93,0.0,0.0,0.0,0.0,0.0
EVT_SC_000070,2022-01-06,HDFCBANK,NEUTRAL,4.48,0.6,-2.44,2.53,1.897,0.0,0.0,0.0,0.0
EVT_SC_000071,2022-01-06,ABB,NEUTRAL,3.41,0.451,-0.73,1.55,-1.02,0.0,0.0,0.0,0.0
EVT_SC_000072,2022-01-06,COALINDIA,NEUTRAL,4.92,0.872,-2.11,3.97,2.978,3.106,0.0,0.0,0.0
EVT_SC_000073,2022-01-06,M&M,NEUTRAL,4.37,0.373,0.64,1.05,0.0,0.0,0.0,0.0,0.0
EVT_SC_000074,2022-01-06,GODREJPROP,NEUTRAL,2.94,0.683,0.62,3.05,0.0,0.0,0.0,0.0,0.0
EVT_SC_000075,2022-01-06,BHARTIARTL,NEUTRAL,0.92,0.726,-0.19,1.07,0.0,0.0,0.0,0.0,0.0
EVT_SC_000076,2022-01-06,POWERGRID,NEUTRAL,3.09,0.334,-0.1,0.51,0.0,0.0,0.0,0.0,0.0
EVT_SC_000077,2022-01-06,RELIANCE,NEUTRAL,2.63,0.938,0.45,2.84,0.0,0.0,0.994,1.85,0.0
EVT_SC_000078,2022-01-06,ICICIBANK,NEUTRAL,2.26,0.235,-1.97,0.96,0.0,0.0,0.0,0.0,0.0
EVT_SC_000079,2022-01-06,TRENT,NEUTRAL,3.51,0.252,-2.06,3.1,2.325,0.0,2.43,0.0,0.0
EVT_SC_000080,2022-01-06,TITAN,NEUTRAL,4.4,0.624,-2.2,1.41,0.0,0.0,0.0,0.0,0.0
EVT_SC_000081,2022-01-06,HAL,NEUTRAL,0.97,0.636,-1.01,1.0,0.0,0.0,0.0,0.0,0.0
EVT_SC_000082,2022-01-06,COFORGE,NEUTRAL,3.62,0.946,-2.38,4.68,3.2,3.446,0.0,0.0,0.0
EVT_SC_000083,2022-01-06,PERSISTENT,NEUTRAL,3.04,0.722,-1.29,3.74,2.805,2.995,0.0,1.85,0.0
EVT_SC_000084,2022-01-06,CIPLA,NEUTRAL,0.87,0.712,-1.21,0.88,0.0,0.0,0.0,0.0,0.0
EVT_SC_000085,2022-01-06,DLF,NEUTRAL,3.61,0.62,-0.53,1.71,0.0,0.0,0.0,0.0,0.0
EVT_SC_000086,2022-01-06,NESTLEIND,NEUTRAL,4.2,0.315,0.06,2.8,0.0,0.0,0.0,0.0,0.0
EVT_SC_000087,2022-01-07,TRENT,BULL,2.08,0.357,-0.85,3.48,2.61,0.0,0.0,0.0,0.0
EVT_SC_000088,2022-01-07,COALINDIA,BULL,3.72,0.687,0.97,1.61,0.0,0.0,0.0,0.0,0.0
EVT_SC_000089,2022-01-07,BAJFINANCE,BULL,1.07,0.304,-2.13,1.49,0.0,0.0,0.0,0.0,0.0
EVT_SC_000090,2022-01-07,BRITANNIA,BULL,4.22,0.531,1.01,1.01,0.0,0.0,0.0,0.0,0.0
EVT_SC_000091,2022-01-07,SIEMENS,BULL,2.49,0.579,-1.87,3.99,2.993,0.0,0.0,0.0,0.0
EVT_SC_000092,2022-01-07,HINDUNILVR,BULL,4.16,0.784,-0.78,1.26,-0.98,-1.0,0.0,0.0,0.0
EVT_SC_000093,2022-01-07,TCS,BULL,1.92,0.57,-0.73,1.46,0.438,0.0,0.0,0.0,0.0
EVT_SC_000094,2022-01-07,COFORGE,BULL,4.91,0.395,-0.1,0.83,0.0,0.0,0.0,0.0,0.0
EVT_SC_000095,2022-01-07,VEDL,BULL,4.8,0.91,-1.29,2.54,1.905,1.016,0.0,1.85,0.0
EVT_SC_000096,2022-01-07,SUNPHARMA,BULL,4.92,0.953,0.58,1.1,0.0,0.0,0.0,0.0,0.0
EVT_SC_000097,2022-01-07,HDFCBANK,BULL,1.82,0.639,-0.97,1.39,-0.9,0.0,0.0,0.0,0.0
EVT_SC_000098,2022-01-07,GODREJPROP,BULL,1.89,0.53,-0.06,0.77,0.0,0.0,0.0,0.0,0.0
EVT_SC_000099,2022-01-07,TATAMOTORS,BULL,1.61,0.497,-1.13,0.53,0.0,0.0,0.0,0.0,0.0
EVT_SC_000100,2022-01-07,ITC,BULL,5.06,0.606,-1.52,0.9,0.0,0.0,0.0,0.0,0.0
EVT_SC_000101,2022-01-07,TATASTEEL,BULL,5.11,0.384,0.96,0.65,0.0,0.0,0.0,0.0,0.0
EVT_SC_000102,2022-01-07,DIXON,BULL,4.39,0.322,-0.03,1.13,0.0,0.0,0.0,0.0,0.0
EVT_SC_000103,2022-01-07,TECHM,BULL,1.21,0.251,0.19,1.28,0.0,0.0,0.0,0.0,0.0
EVT_SC_000104,2022-01-07,ADANIPORTS,BULL,3.26,0.345,0.05,4.51,0.0,0.0,0.0,0.0,0.0
EVT_SC_000105,2022-01-10,LTIM,BEAR,1.96,0.228,0.66,0.43,0.0,0.0,0.0,0.0,0.0
EVT_SC_000106,2022-01-10,VEDL,BEAR,1.46,0.826,1.07,0.72,0.0,0.0,0.0,0.0,0.0
EVT_SC_000107,2022-01-10,TATAMOTORS,BEAR,2.31,0.97,-2.3,4.59,3.2,0.0,0.0,0.0,0.0
EVT_SC_000108,2022-01-10,ITC,BEAR,4.04,0.734,-0.23,4.4,0.0,3.312,0.0,1.85,0.0
EVT_SC_000109,2022-01-10,HDFCBANK,BEAR,2.83,0.951,-0.21,0.59,0.0,0.0,0.0,0.0,0.0
EVT_SC_000110,2022-01-10,VBL,BEAR,5.38,0.819,0.95,3.36,0.0,2.813,2.508,1.85,0.0
EVT_SC_000111,2022-01-10,DRREDDY,BEAR,3.58,0.347,0.03,2.63,0.0,0.0,0.0,0.0,0.0
EVT_SC_000112,2022-01-10,JSWSTEEL,BEAR,4.1,0.516,-1.84,4.04,3.03,0.0,2.712,0.0,0.0
EVT_SC_000113,2022-01-10,TATASTEEL,BEAR,3.68,0.659,-2.37,2.76,2.07,1.104,0.0,0.0,0.0
EVT_SC_000114,2022-01-10,CHOLAFIN,BEAR,4.97,0.93,-0.81,4.2,3.15,3.216,0.0,1.85,0.0
EVT_SC_000115,2022-01-10,PERSISTENT,BEAR,3.39,0.805,-1.56,3.06,2.295,2.669,0.0,1.85,0.0
EVT_SC_000116,2022-01-10,POWERGRID,BEAR,3.7,0.89,-1.46,0.93,0.279,0.372,0.0,0.0,0.0
EVT_SC_000117,2022-01-10,COFORGE,BEAR,1.55,0.257,-1.45,1.35,0.405,0.0,0.0,0.0,0.0
EVT_SC_000118,2022-01-10,COALINDIA,BEAR,4.34,0.932,-1.2,13.83,0.0,0.0,0.0,0.0,0.0
EVT_SC_000119,2022-01-10,BAJFINANCE,BEAR,4.98,0.734,-2.45,5.09,3.2,3.643,4.131,0.0,0.0
EVT_SC_000120,2022-01-10,SUNPHARMA,BEAR,3.05,0.234,-2.28,5.14,3.2,0.0,0.0,0.0,0.0
EVT_SC_000121,2022-01-10,M&M,BEAR,2.62,0.581,-2.44,4.22,3.165,0.0,0.0,0.0,0.0
EVT_SC_000122,2022-01-10,BHARTIARTL,BEAR,5.31,0.295,0.63,4.92,0.0,0.0,0.0,0.0,0.0
EVT_SC_000123,2022-01-10,ABB,BEAR,3.35,0.523,0.45,3.04,0.0,0.0,0.0,0.0,0.0
EVT_SC_000124,2022-01-10,RELIANCE,BEAR,3.66,0.826,-1.5,12.97,3.2,7.426,6.81,6.837,7.069
EVT_SC_000125,2022-01-10,POLYCAB,BEAR,2.37,0.428,-2.17,2.85,2.138,0.0,0.0,0.0,0.0
EVT_SC_000126,2022-01-10,BRITANNIA,BEAR,4.71,0.561,-1.78,4.97,3.2,0.0,2.991,0.0,0.0
EVT_SC_000127,2022-01-10,DLF,BEAR,1.04,0.703,-2.35,0.62,0.0,0.0,0.0,0.0,0.0
EVT_SC_000128,2022-01-10,ONGC,BEAR,0.86,0.207,0.75,1.03,0.0,0.0,0.0,0.0,0.0
EVT_SC_000129,2022-01-11,VEDL,NEUTRAL,1.98,0.557,-1.43,1.58,-0.95,0.0,0.0,0.0,0.0
EVT_SC_000130,2022-01-11,TITAN,NEUTRAL,4.76,0.403,-0.09,1.62,0.0,0.0,0.0,0.0,0.0
EVT_SC_000131,2022-01-11,ONGC,NEUTRAL,2.65,0.74,-1.42,0.94,0.0,0.0,0.0,0.0,0.0
EVT_SC_000132,2022-01-11,ITC,NEUTRAL,2.75,0.208,-0.39,1.79,0.0,0.0,0.0,0.0,0.0
EVT_SC_000133,2022-01-11,BAJFINANCE,NEUTRAL,1.71,0.943,0.73,0.58,0.0,0.0,0.0,0.0,0.0
EVT_SC_000134,2022-01-11,M&M,NEUTRAL,3.79,0.899,0.9,2.75,0.0,1.1,0.0,1.85,0.0
EVT_SC_000135,2022-01-11,TATAMOTORS,NEUTRAL,5.49,0.836,-0.23,3.86,0.0,3.053,2.658,1.85,0.0
EVT_SC_000136,2022-01-11,DLF,NEUTRAL,3.77,0.486,1.02,4.11,0.0,0.0,0.0,0.0,0.0
EVT_SC_000137,2022-01-11,JSWSTEEL,NEUTRAL,4.74,0.636,0.15,3.7,0.0,0.0,0.0,0.0,0.0
EVT_SC_000138,2022-01-11,MARUTI,NEUTRAL,1.87,0.493,-1.1,1.27,-0.92,0.0,0.0,0.0,0.0
EVT_SC_000139,2022-01-11,PERSISTENT,NEUTRAL,5.26,0.861,-1.74,2.68,2.01,1.072,0.0,0.0,0.0
EVT_SC_000140,2022-01-11,INFY,NEUTRAL,0.93,0.331,-1.33,1.31,0.0,0.0,0.0,0.0,0.0
EVT_SC_000141,2022-01-11,LTIM,NEUTRAL,2.16,0.918,-1.52,5.07,3.2,0.0,0.0,0.0,0.0
EVT_SC_000142,2022-01-11,BEL,NEUTRAL,1.94,0.53,-2.2,0.46,0.138,0.0,0.0,0.0,0.0
EVT_SC_000143,2022-01-11,TECHM,NEUTRAL,4.66,0.374,-1.67,4.91,3.2,0.0,2.973,0.0,0.0
EVT_SC_000144,2022-01-11,CIPLA,NEUTRAL,3.07,0.633,-1.29,2.9,2.175,0.0,0.0,0.0,0.0
EVT_SC_000145,2022-01-11,HINDUNILVR,NEUTRAL,1.1,0.312,-0.41,1.34,0.0,0.0,0.0,0.0,0.0
EVT_SC_000146,2022-01-11,POWERGRID,NEUTRAL,1.55,0.779,0.05,0.58,0.0,0.0,0.0,0.0,0.0
EVT_SC_000147,2022-01-11,HDFCBANK,NEUTRAL,1.5,0.613,-0.68,0.8,-0.9,0.0,0.0,0.0,0.0
EVT_SC_000148,2022-01-12,VEDL,NEUTRAL,3.65,0.805,0.08,4.21,0.0,3.221,0.0,1.85,0.0
EVT_SC_000149,2022-01-12,GODREJPROP,NEUTRAL,3.93,0.692,-0.54,4.6,3.2,3.408,0.0,0.0,0.0
EVT_SC_000150,2022-01-12,HAL,NEUTRAL,2.7,0.795,-0.26,4.51,0.0,0.0,0.0,1.85,0.0
EVT_SC_000151,2022-01-12,BHARTIARTL,NEUTRAL,4.77,0.829,-1.06,0.49,-1.04,-1.0,0.0,0.0,0.0
EVT_SC_000152,2022-01-12,POWERGRID,NEUTRAL,3.8,0.575,0.4,3.46,0.0,0.0,0.0,0.0,0.0
EVT_SC_000153,2022-01-12,ICICIBANK,NEUTRAL,5.48,0.705,0.08,1.74,0.0,0.0,0.0,0.0,0.0
EVT_SC_000154,2022-01-12,HDFCBANK,NEUTRAL,2.48,0.684,0.24,1.15,0.0,0.0,0.0,0.0,0.0
EVT_SC_000155,2022-01-12,SUNPHARMA,NEUTRAL,2.99,0.531,-0.24,2.83,0.0,0.0,0.0,0.0,0.0
EVT_SC_000156,2022-01-12,TATASTEEL,NEUTRAL,5.17,0.358,-2.4,4.09,3.067,0.0,0.0,0.0,0.0
EVT_SC_000157,2022-01-12,VBL,NEUTRAL,4.76,0.218,0.58,0.72,0.0,0.0,0.0,0.0,0.0
EVT_SC_000158,2022-01-12,CIPLA,NEUTRAL,3.08,0.746,-1.73,4.15,3.113,3.192,0.0,1.85,0.0
EVT_SC_000159,2022-01-12,LTIM,NEUTRAL,2.1,0.756,-0.85,2.64,1.98,0.0,0.0,0.0,0.0
EVT_SC_000160,2022-01-12,SIEMENS,NEUTRAL,1.84,0.376,0.4,0.67,0.0,0.0,0.0,0.0,0.0
EVT_SC_000161,2022-01-12,COALINDIA,NEUTRAL,1.21,0.714,-2.01,0.77,0.0,0.0,0.0,0.0,0.0
EVT_SC_000162,2022-01-12,TECHM,NEUTRAL,2.08,0.7,-0.69,1.55,0.465,0.0,0.0,0.0,0.0
EVT_SC_000163,2022-01-12,HINDUNILVR,NEUTRAL,4.92,0.796,-0.89,1.12,0.0,0.0,0.0,0.0,0.0
EVT_SC_000164,2022-01-12,TITAN,NEUTRAL,2.54,0.318,-0.17,3.0,0.0,0.0,0.0,0.0,0.0
EVT_SC_000165,2022-01-13,TATAMOTORS,NEUTRAL,2.62,0.838,-1.11,3.06,2.295,0.0,0.0,1.85,0.0
EVT_SC_000166,2022-01-13,BAJFINANCE,NEUTRAL,3.96,0.353,1.08,0.56,0.0,0.0,0.0,0.0,0.0
EVT_SC_000167,2022-01-13,MARUTI,NEUTRAL,4.16,0.34,-2.33,0.47,-0.93,0.0,0.0,0.0,0.0
EVT_SC_000168,2022-01-13,ABB,NEUTRAL,5.02,0.454,0.6,1.64,0.0,0.0,0.0,0.0,0.0
EVT_SC_000169,2022-01-13,RELIANCE,NEUTRAL,1.18,0.38,0.25,1.7,0.0,0.0,0.0,0.0,0.0
EVT_SC_000170,2022-01-13,PERSISTENT,NEUTRAL,1.88,0.233,-1.36,1.23,0.0,0.0,0.0,0.0,0.0
EVT_SC_000171,2022-01-13,SBIN,NEUTRAL,2.36,0.965,-2.43,0.55,0.0,0.0,0.0,0.0,0.0
EVT_SC_000172,2022-01-13,BEL,NEUTRAL,2.66,0.658,-2.39,3.7,2.775,0.0,0.0,0.0,0.0
EVT_SC_000173,2022-01-13,DRREDDY,NEUTRAL,3.89,0.355,-1.84,5.03,3.2,0.0,4.11,0.0,0.0
EVT_SC_000174,2022-01-13,INFY,NEUTRAL,3.7,0.8,-0.8,7.37,3.2,4.738,4.906,4.316,5.053
EVT_SC_000175,2022-01-13,DIXON,NEUTRAL,4.94,0.629,-0.91,2.84,2.13,0.0,0.0,0.0,0.0
EVT_SC_000176,2022-01-13,ONGC,NEUTRAL,3.83,0.554,1.15,1.06,0.0,0.0,0.0,0.0,0.0
EVT_SC_000177,2022-01-13,GODREJPROP,NEUTRAL,3.51,0.879,-2.4,1.77,-0.93,-1.0,0.0,0.0,0.0
EVT_SC_000178,2022-01-13,SIEMENS,NEUTRAL,3.38,0.765,-0.85,3.73,2.797,2.99,0.0,0.0,0.0
EVT_SC_000179,2022-01-13,HINDALCO,NEUTRAL,3.25,0.946,0.36,4.32,0.0,3.274,2.796,0.0,0.0
EVT_SC_000180,2022-01-13,JSWSTEEL,NEUTRAL,4.69,0.621,0.69,5.18,0.0,0.0,0.0,0.0,0.0
EVT_SC_000181,2022-01-13,NESTLEIND,NEUTRAL,3.34,0.32,0.44,4.58,0.0,0.0,0.0,0.0,0.0
EVT_SC_000182,2022-01-13,LTIM,NEUTRAL,3.92,0.202,0.15,2.98,0.0,0.0,0.0,0.0,0.0
EVT_SC_000183,2022-01-13,TECHM,NEUTRAL,5.32,0.302,-2.18,0.82,0.0,0.0,0.0,0.0,0.0
EVT_SC_000184,2022-01-13,POLYCAB,NEUTRAL,1.4,0.444,-0.11,1.66,0.0,0.0,0.0,0.0,0.0
EVT_SC_000185,2022-01-13,M&M,NEUTRAL,2.86,0.203,-1.06,5.01,3.2,0.0,0.0,0.0,0.0
EVT_SC_000186,2022-01-13,BHARTIARTL,NEUTRAL,0.99,0.601,-0.18,0.42,0.0,0.0,0.0,0.0,0.0
EVT_SC_000187,2022-01-14,NTPC,BEAR,2.52,0.746,-0.45,5.17,0.0,0.0,0.0,3.326,0.0
EVT_SC_000188,2022-01-14,ABB,BEAR,3.91,0.604,-1.78,4.89,3.2,0.0,0.0,0.0,0.0
EVT_SC_000189,2022-01-14,HDFCBANK,BEAR,1.93,0.667,-1.12,1.31,0.0,0.0,0.0,0.0,0.0
EVT_SC_000190,2022-01-14,TECHM,BEAR,0.98,0.575,-0.58,1.06,0.0,0.0,0.0,0.0,0.0
EVT_SC_000191,2022-01-14,HINDALCO,BEAR,0.84,0.206,0.33,1.52,0.0,0.0,0.0,0.0,0.0
EVT_SC_000192,2022-01-14,JSWSTEEL,BEAR,0.97,0.64,-1.28,1.47,0.0,0.0,0.0,0.0,0.0
EVT_SC_000193,2022-01-14,BEL,BEAR,4.54,0.915,1.18,2.68,0.0,1.072,0.0,1.85,0.0
EVT_SC_000194,2022-01-14,DLF,BEAR,3.73,0.846,-1.29,1.59,-0.9,-1.0,0.0,0.0,0.0
EVT_SC_000195,2022-01-14,ICICIBANK,BEAR,3.88,0.619,-1.7,0.4,0.0,0.0,0.0,0.0,0.0
EVT_SC_000196,2022-01-14,TATAMOTORS,BEAR,2.86,0.25,-0.69,3.55,2.662,0.0,0.0,0.0,0.0
EVT_SC_000197,2022-01-14,NESTLEIND,BEAR,1.29,0.24,-0.64,0.98,-0.97,0.0,0.0,0.0,0.0
EVT_SC_000198,2022-01-14,HINDUNILVR,BEAR,2.0,0.565,-2.1,0.51,-0.96,0.0,0.0,0.0,0.0
EVT_SC_000199,2022-01-14,POLYCAB,BEAR,4.09,0.727,0.35,4.86,0.0,3.533,0.0,1.85,0.0
EVT_SC_000200,2022-01-14,COFORGE,BEAR,2.52,0.406,-1.09,1.23,-0.94,0.0,0.0,0.0,0.0
EVT_SC_000201,2022-01-14,DRREDDY,BEAR,1.29,0.82,1.18,1.15,0.0,0.0,0.0,0.0,0.0
EVT_SC_000202,2022-01-14,ITC,BEAR,3.29,0.631,0.89,2.85,0.0,0.0,0.0,0.0,0.0
EVT_SC_000203,2022-01-14,GODREJPROP,BEAR,5.33,0.234,-1.62,3.95,2.963,0.0,0.0,0.0,0.0
EVT_SC_000204,2022-01-14,VEDL,BEAR,4.62,0.516,0.57,1.07,0.0,0.0,0.0,0.0,0.0
EVT_SC_000205,2022-01-14,BAJFINANCE,BEAR,3.72,0.796,-2.03,4.15,3.113,3.192,0.0,1.85,0.0
EVT_SC_000206,2022-01-14,CIPLA,BEAR,4.41,0.898,-0.47,4.78,0.0,3.494,2.934,0.0,0.0
EVT_SC_000207,2022-01-14,POWERGRID,BEAR,3.73,0.704,0.72,0.52,0.0,-1.0,0.0,0.0,0.0
