event_id,slot_id,session_date,trigger_time,symbol,sector,regime,bear_days,rvol,clv,oi_delta_pct,entry_price_rs,sl_price_rs,risk_rs,target_1_rs,target_2_rs,target_3_rs,mfe_price_rs,mfe_r,realized_r,realized_pnl_per_share_rs,time_to_mfe_min
EVT_750_0003589,BULL_SLOT_1,2023-03-31,10:08:00,BHEL_222,NIFTY_MEDIA,BULL,3,5.24,0.914,-1.51,270.0,268.5,1.5,274.5,277.5,285.0,287.64,11.76,6.634,9.95,48
EVT_750_0003628,BULL_SLOT_1,2023-03-31,09:57:00,TECHM_646,NIFTY_ENERGY,BULL,5,4.5,0.805,-2.47,1560.0,1551.42,8.58,1585.74,1602.9,1645.8,1679.61,13.94,7.418,63.65,23
EVT_750_0003809,BULL_SLOT_1,2023-04-05,09:38:00,HINDALCO,NIFTY_AUTO,BULL,3,3.71,0.916,-1.81,665.0,661.34,3.66,675.98,683.3,701.6,703.39,10.49,6.176,22.6,53
EVT_750_0003816,BULL_SLOT_1,2023-04-05,09:45:00,SIEMENS_403,NIFTY_METAL,BULL,5,4.44,0.945,-1.27,6700.0,6663.15,36.85,6810.55,6884.25,7068.5,6810.18,2.99,1.196,44.07,101
EVT_750_0003851,BULL_SLOT_1,2023-04-06,09:46:00,AUBANK_561,NIFTY_REALTY,BULL,6,5.15,0.83,-1.98,620.0,616.59,3.41,630.23,637.05,654.1,657.71,11.06,6.382,21.76,21
EVT_750_0004020,BULL_SLOT_1,2023-04-11,09:56:00,BSE,NIFTY_BANK,BULL,6,4.87,0.9,-2.08,2650.0,2635.43,14.57,2693.71,2722.85,2795.7,2765.98,7.96,5.266,76.73,55
EVT_750_0004219,BULL_SLOT_1,2023-04-13,10:10:00,ANGELONE,NIFTY_IT,BULL,4,3.58,0.803,-2.2,2600.0,2585.7,14.3,2642.9,2671.5,2743.0,2794.77,13.62,7.303,104.43,32
EVT_750_0004281,BULL_SLOT_1,2023-04-17,09:24:00,OBEROIRLTY,NIFTY_METAL,BULL,4,3.67,0.876,-1.24,1780.0,1770.21,9.79,1809.37,1828.95,1877.9,1808.88,2.95,1.18,11.55,44
EVT_750_0004334,BULL_SLOT_1,2023-04-17,09:41:00,KALYANKJIL_173,NIFTY_IT,BULL,4,5.19,0.93,-1.41,680.0,676.26,3.74,691.22,698.7,717.4,696.27,4.35,3.54,13.24,83
EVT_750_0004446,BULL_SLOT_1,2023-04-19,10:05:00,LTIM_645,NIFTY_REALTY,BULL,4,3.96,0.841,-1.35,5850.0,5817.83,32.17,5946.51,6010.85,6171.7,5933.0,2.58,1.032,33.2,116
EVT_750_0004475,BULL_SLOT_1,2023-04-20,09:30:00,NESTLEIND_635,NIFTY_INFRA,BULL,3,4.02,0.918,-1.64,2450.0,2436.53,13.47,2490.41,2517.35,2584.7,2600.19,11.15,6.414,86.4,26
EVT_750_0004501,BULL_SLOT_1,2023-04-20,09:25:00,BRITANNIA_396,NIFTY_CONSUMPTION,BULL,6,5.43,0.878,-0.7,5800.0,5768.1,31.9,5895.7,5959.5,6119.0,6022.98,6.99,4.916,156.82,55
EVT_750_0004525,BULL_SLOT_1,2023-04-21,10:03:00,ZOMATO_530,NIFTY_BANK,BULL,6,4.12,0.924,-1.52,265.0,263.5,1.5,269.5,272.5,280.0,270.32,3.55,3.22,4.83,112
EVT_750_0004531,BULL_SLOT_1,2023-04-21,10:01:00,CHOLAFIN_378,NIFTY_MEDIA,BULL,4,4.44,0.884,-0.67,1480.0,1471.86,8.14,1504.42,1520.7,1561.4,1547.81,8.33,5.399,43.95,56
EVT_750_0004591,BULL_SLOT_1,2023-04-24,10:02:00,NESTLEIND_275,NIFTY_INFRA,BULL,3,4.76,0.941,-2.23,2450.0,2436.53,13.47,2490.41,2517.35,2584.7,2516.14,4.91,3.764,50.7,48
EVT_750_0004631,BULL_SLOT_1,2023-04-24,09:33:00,UNIONBANK_678,NIFTY_MEDIA,BULL,3,4.57,0.811,-1.78,125.0,123.5,1.5,129.5,132.5,140.0,130.29,3.53,3.212,4.82,85
EVT_750_0004714,BULL_SLOT_1,2023-04-26,09:48:00,BANKBARODA_557,NIFTY_IT,BULL,4,4.65,0.808,-0.97,245.0,243.5,1.5,249.5,252.5,260.0,265.85,13.9,7.404,11.11,22
EVT_750_0004749,BULL_SLOT_1,2023-04-27,09:51:00,BHARTIARTL_604,NIFTY_FMCG,BULL,4,4.5,0.935,-1.64,1560.0,1551.42,8.58,1585.74,1602.9,1645.8,1621.69,7.19,4.988,42.8,29
EVT_750_0004939,BULL_SLOT_1,2023-05-01,09:44:00,CIPLA_735,NIFTY_FIN_SERVICE,BULL,6,3.61,0.98,-1.89,1540.0,1531.53,8.47,1565.41,1582.35,1624.7,1578.37,4.53,3.612,30.59,36
EVT_750_0004951,BULL_SLOT_1,2023-05-01,09:48:00,MUTHOOTFIN_547,NIFTY_METAL,BULL,4,3.24,0.939,-1.98,1850.0,1839.83,10.17,1880.51,1900.85,1951.7,1934.11,8.27,5.377,54.68,63
EVT_750_0005066,BULL_SLOT_1,2023-05-03,09:50:00,WIPRO_647,NIFTY_INFRA,BULL,3,5.04,0.879,-0.97,520.0,517.14,2.86,528.58,534.3,548.6,554.21,11.96,6.706,19.18,45
EVT_750_0005091,BULL_SLOT_1,2023-05-03,09:43:00,LUPIN_299,NIFTY_INFRA,BULL,4,5.46,0.804,-0.67,2150.0,2138.18,11.82,2185.46,2209.1,2268.2,2291.49,11.97,6.709,79.3,44
EVT_750_0005139,BULL_SLOT_1,2023-05-04,09:23:00,TATAELXSI,NIFTY_REALTY,BULL,4,4.45,0.915,-1.56,7400.0,7359.3,40.7,7522.1,7603.5,7807.0,7591.29,4.7,3.68,149.78,90
EVT_750_0005162,BULL_SLOT_1,2023-05-04,10:10:00,WIPRO_647,NIFTY_INFRA,BULL,5,3.16,0.851,-0.57,520.0,517.14,2.86,528.58,534.3,548.6,530.35,3.62,3.248,9.29,120
EVT_750_0005179,BULL_SLOT_1,2023-05-05,09:53:00,HUDCO_433,NIFTY_AUTO,BULL,3,5.01,0.958,-1.02,220.0,218.5,1.5,224.5,227.5,235.0,234.84,9.89,5.96,8.94,30
EVT_750_0005207,BULL_SLOT_1,2023-05-08,09:51:00,BAJFINANCE_617,NIFTY_IT,BULL,5,4.77,0.911,-1.7,7150.0,7110.68,39.32,7267.96,7346.6,7543.2,7667.84,13.17,7.141,280.78,56
EVT_750_0005250,BULL_SLOT_1,2023-05-08,09:38:00,INOWIND_461,NIFTY_IT,BULL,5,3.4,0.909,-0.52,215.0,213.5,1.5,219.5,222.5,230.0,232.58,11.72,6.619,9.93,32
EVT_750_0005258,BULL_SLOT_1,2023-05-08,10:09:00,ICICIBANK_487,NIFTY_METAL,BULL,3,3.19,0.965,-1.91,1220.0,1213.29,6.71,1240.13,1253.55,1287.1,1292.74,10.84,6.302,42.29,60
EVT_750_0005276,BULL_SLOT_1,2023-05-09,09:46:00,TATAMOTORS_251,NIFTY_INFRA,BULL,6,4.78,0.829,-0.57,985.0,979.58,5.42,1001.26,1012.1,1039.2,1002.13,3.16,3.064,16.61,75
EVT_750_0005327,BULL_SLOT_1,2023-05-09,10:02:00,SBIN_488,NIFTY_PHARMA,BULL,3,5.17,0.898,-1.64,825.0,820.46,4.54,838.62,847.7,870.4,837.76,2.81,1.124,5.1,80
EVT_750_0005338,BULL_SLOT_1,2023-05-09,10:09:00,ADANIENT_499,NIFTY_METAL,BULL,6,4.07,0.854,-2.47,2920.0,2903.94,16.06,2968.18,3000.3,3080.6,2963.84,2.73,1.092,17.54,84
EVT_750_0005339,BULL_SLOT_1,2023-05-09,09:41:00,BANDHANBNK_682,NIFTY_ENERGY,BULL,4,3.24,0.895,-2.13,190.0,188.5,1.5,194.5,197.5,205.0,202.03,8.02,5.287,7.93,21
EVT_750_0005341,BULL_SLOT_1,2023-05-09,09:21:00,CESC_339,NIFTY_FIN_SERVICE,BULL,3,3.34,0.957,-0.71,185.0,183.5,1.5,189.5,192.5,200.0,205.48,13.65,7.314,10.97,23
EVT_750_0005554,BULL_SLOT_1,2023-05-16,09:36:00,POWERGRID_262,NIFTY_ENERGY,BULL,6,5.32,0.893,-1.81,315.0,313.27,1.73,320.19,323.65,332.3,321.26,3.62,3.248,5.62,49
EVT_750_0005579,BULL_SLOT_1,2023-05-16,09:30:00,HUDCO_673,NIFTY_AUTO,BULL,6,4.69,0.85,-0.93,220.0,218.5,1.5,224.5,227.5,235.0,227.26,4.84,3.736,5.6,29
EVT_750_0005686,BULL_SLOT_1,2023-05-18,09:37:00,HINDALCO_385,NIFTY_AUTO,BULL,6,3.14,0.962,-0.86,665.0,661.34,3.66,675.98,683.3,701.6,714.96,13.65,7.314,26.77,30
EVT_750_0005713,BULL_SLOT_1,2023-05-18,09:46:00,DRREDDY_376,NIFTY_FMCG,BULL,3,5.25,0.962,-0.9,6450.0,6414.52,35.48,6556.44,6627.4,6804.8,6809.77,10.14,6.05,214.65,29
EVT_750_0005781,BULL_SLOT_1,2023-05-19,09:29:00,POLYCAB_723,NIFTY_FIN_SERVICE,BULL,6,3.25,0.906,-1.34,6250.0,6215.62,34.38,6353.14,6421.9,6593.8,6530.54,8.16,5.338,183.52,38
EVT_750_0005883,BULL_SLOT_1,2023-05-23,09:23:00,PNB_196,NIFTY_FMCG,BULL,6,5.15,0.864,-0.91,102.0,100.5,1.5,106.5,109.5,117.0,120.13,12.09,6.752,10.13,54
EVT_750_0005909,BULL_SLOT_1,2023-05-24,10:06:00,ZOMATO_410,NIFTY_BANK,BULL,4,4.22,0.935,-1.24,265.0,263.5,1.5,269.5,272.5,280.0,275.54,7.03,4.931,7.4,26
EVT_750_0005926,BULL_SLOT_1,2023-05-24,09:31:00,KAYNES_233,NIFTY_IT,BULL,6,4.77,0.946,-1.18,5200.0,5171.4,28.6,5285.8,5343.0,5486.0,5587.82,13.56,7.282,208.27,31
EVT_750_0005974,BULL_SLOT_1,2023-05-25,09:20:00,ADANIPORTS,NIFTY_PHARMA,BULL,3,4.56,0.954,-1.34,1420.0,1412.19,7.81,1443.43,1459.05,1498.1,1486.93,8.57,5.485,42.84,32
EVT_750_0005990,BULL_SLOT_1,2023-05-25,10:03:00,JSWSTEEL_387,NIFTY_FIN_SERVICE,BULL,4,3.1,0.801,-1.54,960.0,954.72,5.28,975.84,986.4,1012.8,973.25,2.51,1.004,5.3,57
EVT_750_0006096,BULL_SLOT_1,2023-05-29,10:01:00,M&M_492,NIFTY_CONSUMPTION,BULL,3,5.36,0.873,-1.54,2820.0,2804.49,15.51,2866.53,2897.55,2975.1,2884.37,4.15,3.46,53.66,88
EVT_750_0006160,BULL_SLOT_1,2023-05-30,09:28:00,VBL_157,NIFTY_AUTO,BULL,3,3.14,0.924,-1.92,1520.0,1511.64,8.36,1545.08,1561.8,1603.6,1610.87,10.87,6.313,52.78,28
EVT_750_0006385,BULL_SLOT_1,2023-06-05,09:45:00,BANKBARODA_437,NIFTY_IT,BULL,5,3.11,0.862,-1.31,245.0,243.5,1.5,249.5,252.5,260.0,248.76,2.51,1.004,1.51,69
EVT_750_0006448,BULL_SLOT_1,2023-06-06,09:26:00,BHEL_342,NIFTY_MEDIA,BULL,6,4.03,0.891,-0.74,270.0,268.5,1.5,274.5,277.5,285.0,284.41,9.61,5.86,8.79,20
EVT_750_0006587,BULL_SLOT_1,2023-06-09,10:00:00,ADANIPORTS_380,NIFTY_PHARMA,BULL,4,4.84,0.801,-0.88,1420.0,1412.19,7.81,1443.43,1459.05,1498.1,1442.34,2.86,1.144,8.93,65
EVT_750_0006596,BULL_SLOT_1,2023-06-09,10:05:00,IREDA,NIFTY_CONSUMPTION,BULL,3,4.04,0.936,-2.32,195.0,193.5,1.5,199.5,202.5,210.0,200.8,3.87,3.348,5.02,71
EVT_750_0006640,BULL_SLOT_1,2023-06-12,10:06:00,MUTHOOTFIN_667,NIFTY_METAL,BULL,4,3.77,0.864,-0.64,1850.0,1839.83,10.17,1880.51,1900.85,1951.7,1899.22,4.84,3.736,38.0,50
EVT_750_0006840,BULL_SLOT_1,2023-06-15,09:45:00,BIOCON_543,NIFTY_FIN_SERVICE,BULL,5,4.42,0.962,-2.27,345.0,343.1,1.9,350.7,354.5,364.0,368.77,12.51,6.904,13.12,39
EVT_750_0006851,BULL_SLOT_1,2023-06-15,10:01:00,TATAELXSI_477,NIFTY_REALTY,BULL,5,4.91,0.865,-1.35,7400.0,7359.3,40.7,7522.1,7603.5,7807.0,7819.62,10.31,6.112,248.76,52
EVT_750_0006911,BULL_SLOT_1,2023-06-16,09:54:00,INDUSINDBK_323,NIFTY_INFRA,BULL,6,5.47,0.881,-1.43,1420.0,1412.19,7.81,1443.43,1459.05,1498.1,1442.49,2.88,1.152,9.0,99
EVT_750_0007084,BULL_SLOT_1,2023-06-21,10:03:00,RECLTD_191,NIFTY_INFRA,BULL,5,3.07,0.868,-1.26,480.0,477.36,2.64,487.92,493.2,506.4,491.64,4.41,3.564,9.41,38
EVT_750_0007100,BULL_SLOT_1,2023-06-21,10:03:00,VEDL_268,NIFTY_FMCG,BULL,4,4.0,0.902,-1.92,460.0,457.47,2.53,467.59,472.65,485.3,486.16,10.34,6.122,15.49,17
EVT_750_0007229,BULL_SLOT_2,2024-01-01,09:36:00,COFORGE,NIFTY_AUTO,BULL,5,3.62,0.882,-1.43,7200.0,7160.4,39.6,7318.8,7398.0,7596.0,7494.62,7.44,5.078,201.09,16
EVT_750_0007238,BULL_SLOT_2,2024-01-01,10:10:00,NHPC,NIFTY_AUTO,BULL,3,3.78,0.881,-1.1,88.0,86.5,1.5,92.5,95.5,103.0,101.95,9.3,5.748,8.62,36
EVT_750_0007286,BULL_SLOT_2,2024-01-01,09:23:00,IREDA_432,NIFTY_CONSUMPTION,BULL,4,5.41,0.912,-1.04,195.0,193.5,1.5,199.5,202.5,210.0,208.44,8.96,5.626,8.44,17
EVT_750_0007457,BULL_SLOT_2,2024-01-04,10:15:00,KEC_224,NIFTY_PHARMA,BULL,5,3.49,0.954,-0.79,920.0,914.94,5.06,935.18,945.3,970.6,971.71,10.22,6.079,30.76,63
EVT_750_0007469,BULL_SLOT_2,2024-01-04,09:46:00,HDFCBANK_726,NIFTY_MEDIA,BULL,5,3.37,0.909,-1.06,1650.0,1640.93,9.07,1677.21,1695.35,1740.7,1745.69,10.55,6.198,56.22,28
EVT_750_0007678,BULL_SLOT_2,2024-01-10,09:49:00,VBL,NIFTY_AUTO,BULL,4,5.46,0.893,-1.38,1520.0,1511.64,8.36,1545.08,1561.8,1603.6,1542.82,2.73,1.092,9.13,92
EVT_750_0007699,BULL_SLOT_2,2024-01-10,10:08:00,INOWIND_221,NIFTY_IT,BULL,4,3.77,0.861,-1.56,215.0,213.5,1.5,219.5,222.5,230.0,231.25,10.83,6.299,9.45,44
EVT_750_0007781,BULL_SLOT_2,2024-01-12,09:30:00,DLF,NIFTY_IT,BULL,4,4.96,0.809,-1.09,830.0,825.44,4.56,843.68,852.8,875.6,886.22,12.33,6.839,31.19,27
EVT_750_0007802,BULL_SLOT_2,2024-01-12,09:54:00,TRENT_601,NIFTY_AUTO,BULL,3,4.3,0.875,-2.16,6850.0,6812.33,37.67,6963.01,7038.35,7226.7,7351.76,13.32,7.195,271.04,16
EVT_750_0007806,BULL_SLOT_2,2024-01-12,09:32:00,CHOLAFIN_618,NIFTY_MEDIA,BULL,4,5.46,0.947,-1.03,1480.0,1471.86,8.14,1504.42,1520.7,1561.4,1516.39,4.47,3.588,29.21,108
EVT_750_0007891,BULL_SLOT_2,2024-01-15,09:37:00,DIXON_231,NIFTY_FIN_SERVICE,BULL,4,3.09,0.83,-2.1,12400.0,12331.8,68.2,12604.6,12741.0,13082.0,12899.22,7.32,5.035,343.39,49
EVT_750_0007906,BULL_SLOT_2,2024-01-16,10:14:00,KEC_464,NIFTY_PHARMA,BULL,4,4.28,0.865,-2.12,920.0,914.94,5.06,935.18,945.3,970.6,945.96,5.13,4.247,21.49,71
EVT_750_0008149,BULL_SLOT_2,2024-01-22,09:31:00,SIEMENS_283,NIFTY_METAL,BULL,3,3.73,0.838,-1.75,6700.0,6663.15,36.85,6810.55,6884.25,7068.5,7147.73,12.15,6.774,249.62,65
EVT_750_0008254,BULL_SLOT_2,2024-01-24,09:43:00,COFORGE_529,NIFTY_AUTO,BULL,4,3.99,0.832,-1.92,7200.0,7160.4,39.6,7318.8,7398.0,7596.0,7574.22,9.45,5.802,229.76,38
EVT_750_0008381,BULL_SLOT_2,2024-01-26,09:19:00,COFORGE_169,NIFTY_AUTO,BULL,3,5.36,0.881,-1.17,7200.0,7160.4,39.6,7318.8,7398.0,7596.0,7328.7,3.25,3.1,122.76,107
