Original_Symbol,Clean_Symbol,Session_Date,Trigger_Time,Outcome,Failing_Gate,Score,Reason
LTIM_645,LTIM,2023-04-19,10:05:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NESTLEIND_635,NESTLEIND,2023-04-20,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BRITANNIA_396,BRITANNIA,2023-04-20,09:25:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZOMATO_530,ZOMATO,2023-04-21,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CHOLAFIN_378,CHOLAFIN,2023-04-21,10:01:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NESTLEIND_275,NESTLEIND,2023-04-24,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
UNIONBANK_678,UNIONBANK,2023-04-24,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANKBARODA_557,BANKBARODA,2023-04-26,09:48:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHARTIARTL_604,BHARTIARTL,2023-04-27,09:51:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CIPLA_735,CIPLA,2023-05-01,09:44:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MUTHOOTFIN_547,MUTHOOTFIN,2023-05-01,09:48:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
WIPRO_647,WIPRO,2023-05-03,09:50:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
LUPIN_299,LUPIN,2023-05-03,09:43:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAELXSI,TATAELXSI,2023-05-04,09:23:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
WIPRO_647,WIPRO,2023-05-04,10:10:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HUDCO_433,HUDCO,2023-05-05,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BAJFINANCE_617,BAJFINANCE,2023-05-08,09:51:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INOWIND_461,INOWIND,2023-05-08,09:38:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ICICIBANK_487,ICICIBANK,2023-05-08,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAMOTORS_251,TATAMOTORS,2023-05-09,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SBIN_488,SBIN,2023-05-09,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ADANIENT_499,ADANIENT,2023-05-09,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANDHANBNK_682,BANDHANBNK,2023-05-09,09:41:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CESC_339,CESC,2023-05-09,09:21:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
POWERGRID_262,POWERGRID,2023-05-16,09:36:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HUDCO_673,HUDCO,2023-05-16,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDALCO_385,HINDALCO,2023-05-18,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DRREDDY_376,DRREDDY,2023-05-18,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
POLYCAB_723,POLYCAB,2023-05-19,09:29:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PNB_196,PNB,2023-05-23,09:23:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZOMATO_410,ZOMATO,2023-05-24,10:06:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KAYNES_233,KAYNES,2023-05-24,09:31:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ADANIPORTS,ADANIPORTS,2023-05-25,09:20:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
JSWSTEEL_387,JSWSTEEL,2023-05-25,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
M&M_492,M&M,2023-05-29,10:01:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
VBL_157,VBL,2023-05-30,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANKBARODA_437,BANKBARODA,2023-06-05,09:45:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHEL_342,BHEL,2023-06-06,09:26:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ADANIPORTS_380,ADANIPORTS,2023-06-09,10:00:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IREDA,IREDA,2023-06-09,10:05:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MUTHOOTFIN_667,MUTHOOTFIN,2023-06-12,10:06:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BIOCON_543,BIOCON,2023-06-15,09:45:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAELXSI_477,TATAELXSI,2023-06-15,10:01:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INDUSINDBK_323,INDUSINDBK,2023-06-16,09:54:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
RECLTD_191,RECLTD,2023-06-21,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
VEDL_268,VEDL,2023-06-21,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
COFORGE,COFORGE,2024-01-01,09:36:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NHPC,NHPC,2024-01-01,10:10:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IREDA_432,IREDA,2024-01-01,09:23:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KEC_224,KEC,2024-01-04,10:15:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HDFCBANK_726,HDFCBANK,2024-01-04,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
VBL,VBL,2024-01-10,09:49:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INOWIND_221,INOWIND,2024-01-10,10:08:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DLF,DLF,2024-01-12,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TRENT_601,TRENT,2024-01-12,09:54:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CHOLAFIN_618,CHOLAFIN,2024-01-12,09:32:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DIXON_231,DIXON,2024-01-15,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KEC_464,KEC,2024-01-16,10:14:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SIEMENS_283,SIEMENS,2024-01-22,09:31:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
COFORGE_529,COFORGE,2024-01-24,09:43:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
COFORGE_169,COFORGE,2024-01-26,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
GODREJPROP_270,GODREJPROP,2024-02-01,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CUMMINSIND_586,CUMMINSIND,2024-02-05,09:47:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANDHANBNK,BANDHANBNK,2024-02-06,09:59:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KOTAKBANK,KOTAKBANK,2024-02-07,09:48:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NESTLEIND,NESTLEIND,2024-02-09,10:11:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BRITANNIA_636,BRITANNIA,2024-02-09,10:03:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SWIGGY_651,SWIGGY,2024-02-14,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INOWIND_701,INOWIND,2024-02-14,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NESTLEIND_755,NESTLEIND,2024-02-16,09:18:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INDUSINDBK,INDUSINDBK,2024-02-19,10:13:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANDHANBNK_562,BANDHANBNK,2024-02-19,10:04:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZOMATO_290,ZOMATO,2024-02-20,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
YESBANK_205,YESBANK,2024-02-22,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZOMATO,ZOMATO,2024-02-23,09:45:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SUZLON_460,SUZLON,2024-02-26,09:51:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INOWIND_221,INOWIND,2024-02-27,09:25:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
GODREJPROP_390,GODREJPROP,2024-02-28,09:57:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
NTPC_261,NTPC,2024-02-29,09:20:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ABB_404,ABB,2024-03-05,09:29:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BEL_398,BEL,2024-03-05,09:22:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SJVN_218,SJVN,2024-03-07,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MAXHEALTH_297,MAXHEALTH,2024-03-11,09:36:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANDHANBNK_562,BANDHANBNK,2024-03-13,09:56:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CROMPTON_470,CROMPTON,2024-03-14,09:54:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PNB_436,PNB,2024-03-14,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SBIN_128,SBIN,2024-03-18,09:24:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
AMBER_472,AMBER,2024-03-19,09:29:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
INDIGO_295,INDIGO,2024-03-20,09:49:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
FEDERALBNK_200,FEDERALBNK,2024-03-21,09:27:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
PRESTIGE_632,PRESTIGE,2024-03-27,09:20:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
WIPRO,WIPRO,2024-03-27,09:46:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MCX_208,MCX,2024-03-28,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KPITTECH_716,KPITTECH,2024-03-29,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BHARTIARTL_604,BHARTIARTL,2024-04-02,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MARUTI_613,MARUTI,2024-04-02,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MOTILALOFS_331,MOTILALOFS,2024-04-02,09:44:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
COFORGE_720,COFORGE,2024-04-02,10:06:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TATAPOWER_572,TATAPOWER,2024-04-03,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CHOLAFIN_378,CHOLAFIN,2024-04-10,10:02:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SBIN_368,SBIN,2024-04-10,10:15:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
RELIANCE_245,RELIANCE,2024-04-10,09:56:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
WIPRO_407,WIPRO,2024-04-11,10:00:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DLF_269,DLF,2024-04-11,09:27:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDALCO_505,HINDALCO,2024-04-11,09:51:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
JUBLFOOD_654,JUBLFOOD,2024-04-12,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
RECLTD_551,RECLTD,2024-04-12,09:55:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZYDUSLIFE,ZYDUSLIFE,2024-04-15,09:29:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KOTAKBANK_444,KOTAKBANK,2024-04-16,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IEX,IEX,2024-04-23,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KPITTECH_236,KPITTECH,2024-04-24,09:28:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HUDCO_433,HUDCO,2024-04-25,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ICICIBANK,ICICIBANK,2024-04-25,10:14:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CYIENT_595,CYIENT,2024-04-26,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
SJVN_458,SJVN,2024-04-26,09:52:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HINDUNILVR_394,HINDUNILVR,2024-04-26,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
VEDL_628,VEDL,2024-04-29,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
JIOFIN_674,JIOFIN,2024-05-03,09:44:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IDFCFIRSTB_439,IDFCFIRSTB,2024-05-03,09:40:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CANBK_435,CANBK,2024-05-06,09:53:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HDFCBANK,HDFCBANK,2024-05-10,09:30:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CESC_339,CESC,2024-05-14,09:33:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MPHASIS_599,MPHASIS,2024-05-14,10:09:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CIPLA_375,CIPLA,2024-05-15,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HAL_159,HAL,2024-05-15,09:48:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
GODREJPROP_630,GODREJPROP,2024-05-15,09:38:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
DIXON,DIXON,2024-05-21,09:36:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
TORNTPOWER_336,TORNTPOWER,2024-05-22,09:37:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BAJFINANCE,BAJFINANCE,2024-05-22,09:23:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
KPITTECH,KPITTECH,2024-05-23,09:49:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BANDHANBNK_322,BANDHANBNK,2024-05-23,09:23:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CHOLAFIN_738,CHOLAFIN,2024-05-23,09:40:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
POWERGRID_382,POWERGRID,2024-05-24,09:40:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
OBEROIRLTY_391,OBEROIRLTY,2024-05-28,10:00:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
BSE_206,BSE,2024-05-28,10:11:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
HAVELLS_469,HAVELLS,2024-05-28,10:08:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
IREDA_552,IREDA,2024-05-28,09:43:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
AMBER_712,AMBER,2024-05-30,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MARUTI_493,MARUTI,2024-06-03,09:38:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
ZYDUSLIFE_661,ZYDUSLIFE,2024-06-04,09:19:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
MOTILALOFS_211,MOTILALOFS,2024-06-04,09:52:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
CIPLA_615,CIPLA,2024-06-07,09:32:00,REJECT,DATA_INSUFFICIENT,0.0,Missing or insufficient 5m bars (< 2)
