sample_name,event_id,symbol,sector,session_date,decision_timestamp,regime,v529_rank,v530_rank,v529_selected,v530_selected,v529_r,v530_r,cause,paired_delta_r,entry_price,stop_loss,target_price
SAMPLE_A,EVT_SAMPLE_A_000171,BRITANNIA,NIFTY_FMCG,2023-01-06,2023-01-06T15:30:00,NEUTRAL_BULL,,1,0,1,0.0,4.194,VETO_PRUNING,4.194,2558.83,2476.55,2795.38
SAMPLE_A,EVT_SAMPLE_A_000178,KALYANKJIL,NIFTY_CONSUMPTION,2023-01-06,2023-01-06T15:30:00,NEUTRAL_BULL,4,6,1,0,-0.297,0.0,DYNAMIC_CAPACITY,0.297,1866.87,1835.16,2139.7
SAMPLE_A,EVT_SAMPLE_A_000195,BAJFINANCE,NIFTY_FIN_SERVICE,2023-01-09,2023-01-09T15:30:00,NEUTRAL_BULL,,4,0,1,0.0,0.81,VETO_PRUNING,0.81,2482.53,2397.26,2711.88
SAMPLE_A,EVT_SAMPLE_A_000207,KALYANKJIL,NIFTY_CONSUMPTION,2023-01-09,2023-01-09T15:30:00,NEUTRAL_BULL,,2,0,1,0.0,0.307,VETO_PRUNING,0.307,3046.23,2960.51,3460.22
SAMPLE_A,EVT_SAMPLE_A_000211,LTIM,NIFTY_IT,2023-01-09,2023-01-09T15:30:00,NEUTRAL_BULL,4,6,1,0,1.64,0.0,DYNAMIC_CAPACITY,-1.64,948.89,917.85,1089.34
SAMPLE_A,EVT_SAMPLE_A_000212,MARUTI,NIFTY_AUTO,2023-01-09,2023-01-09T15:30:00,NEUTRAL_BULL,3,5,1,0,0.2,0.0,DYNAMIC_CAPACITY,-0.2,2854.58,2778.89,3111.04
SAMPLE_A,EVT_SAMPLE_A_000215,OBEROIRLTY,NIFTY_REALTY,2023-01-10,2023-01-10T15:30:00,NEUTRAL_BULL,3,6,1,0,3.996,0.0,DYNAMIC_CAPACITY,-3.996,1914.59,1874.26,2048.27
SAMPLE_A,EVT_SAMPLE_A_000260,KALYANKJIL,NIFTY_CONSUMPTION,2023-01-11,2023-01-11T15:30:00,SHARP_SELLOFF,4,8,1,0,-0.404,0.0,DYNAMIC_CAPACITY,0.404,924.34,896.02,1039.25
SAMPLE_A,EVT_SAMPLE_A_000289,NTPC,NIFTY_ENERGY,2023-01-11,2023-01-11T15:30:00,SHARP_SELLOFF,5,6,1,0,1.555,0.0,DYNAMIC_CAPACITY,-1.555,3417.67,3356.85,3741.65
SAMPLE_A,EVT_SAMPLE_A_000308,NESTLEIND,NIFTY_FMCG,2023-01-12,2023-01-12T15:30:00,SHARP_SELLOFF,1,3,1,0,1.655,0.0,DYNAMIC_CAPACITY,-1.655,788.13,758.83,858.45
SAMPLE_A,EVT_SAMPLE_A_000319,JIOFIN,NIFTY_FIN_SERVICE,2023-01-12,2023-01-12T15:30:00,SHARP_SELLOFF,2,6,1,0,0.86,0.0,DYNAMIC_CAPACITY,-0.86,1762.3,1724.64,2011.58
SAMPLE_A,EVT_SAMPLE_A_000326,COALINDIA,NIFTY_ENERGY,2023-01-13,2023-01-13T15:30:00,STRONG_BULL,5,15,1,0,0.93,0.0,FOCUSED_MODEL_G,-0.93,2323.64,2276.76,2508.36
SAMPLE_A,EVT_SAMPLE_A_000328,DRREDDY,NIFTY_PHARMA,2023-01-13,2023-01-13T15:30:00,STRONG_BULL,3,9,1,0,0.463,0.0,FOCUSED_MODEL_G,-0.463,1299.08,1270.74,1391.37
SAMPLE_A,EVT_SAMPLE_A_000365,BRITANNIA,NIFTY_FMCG,2023-01-16,2023-01-16T15:30:00,STRONG_BULL,1,4,1,0,-0.545,0.0,45M_CONFIRMATION,0.545,1451.45,1395.89,1649.98
SAMPLE_A,EVT_SAMPLE_A_000389,JSWSTEEL,NIFTY_METAL,2023-01-16,2023-01-16T15:30:00,STRONG_BULL,5,12,1,0,1.697,0.0,FOCUSED_MODEL_G,-1.697,2507.41,2456.18,2754.82
SAMPLE_A,EVT_SAMPLE_A_000397,ASIANPAINT,NIFTY_CONSUMPTION,2023-01-16,2023-01-16T15:30:00,STRONG_BULL,,3,0,1,0.0,1.815,VETO_PRUNING,1.815,1434.47,1390.17,1558.26
SAMPLE_A,EVT_SAMPLE_A_000407,SIEMENS,NIFTY_INFRA,2023-01-17,2023-01-17T15:30:00,STRONG_BULL,1,3,1,0,-0.481,0.0,45M_CONFIRMATION,0.481,2914.81,2841.45,3235.68
SAMPLE_A,EVT_SAMPLE_A_000413,TRENT,NIFTY_CONSUMPTION,2023-01-17,2023-01-17T15:30:00,STRONG_BULL,,2,0,1,0.0,0.415,VETO_PRUNING,0.415,3305.84,3232.29,3681.61
SAMPLE_A,EVT_SAMPLE_A_000423,SBIN,NIFTY_BANK,2023-01-17,2023-01-17T15:30:00,STRONG_BULL,5,9,1,0,1.521,0.0,FOCUSED_MODEL_G,-1.521,2788.18,2715.62,3062.56
SAMPLE_A,EVT_SAMPLE_A_000436,HINDALCO,NIFTY_METAL,2023-01-18,2023-01-18T15:30:00,STRONG_BULL,5,7,1,0,-0.757,0.0,FOCUSED_MODEL_G,0.757,1405.4,1359.28,1562.96
SAMPLE_A,EVT_SAMPLE_A_000484,BEL,NIFTY_INFRA,2023-01-19,2023-01-19T15:30:00,STRONG_BULL,,1,0,1,0.0,2.918,VETO_PRUNING,2.918,3033.21,2946.13,3272.74
SAMPLE_A,EVT_SAMPLE_A_000490,VEDL,NIFTY_METAL,2023-01-19,2023-01-19T15:30:00,STRONG_BULL,3,14,1,0,-0.22,0.0,FOCUSED_MODEL_G,0.22,2420.78,2367.63,2712.88
SAMPLE_A,EVT_SAMPLE_A_000519,ABB,NIFTY_INFRA,2023-01-20,2023-01-20T15:30:00,NEUTRAL_BULL,3,8,1,0,-0.301,0.0,DYNAMIC_CAPACITY,0.301,509.33,499.63,585.72
SAMPLE_A,EVT_SAMPLE_A_000537,ICICIBANK,NIFTY_BANK,2023-01-23,2023-01-23T15:30:00,NEUTRAL_BEAR,3,7,1,0,-0.576,0.0,DYNAMIC_CAPACITY,0.576,1432.08,1388.66,1595.06
SAMPLE_A,EVT_SAMPLE_A_000552,MARUTI,NIFTY_AUTO,2023-01-24,2023-01-24T15:30:00,CHOPPY_RANGE,,2,0,1,0.0,-0.667,VETO_PRUNING,-0.667,716.9,691.35,806.96
SAMPLE_A,EVT_SAMPLE_A_000565,SIEMENS,NIFTY_INFRA,2023-01-24,2023-01-24T15:30:00,CHOPPY_RANGE,1,5,1,0,0.324,0.0,DYNAMIC_CAPACITY,-0.324,1517.36,1477.09,1628.13
SAMPLE_A,EVT_SAMPLE_A_000568,ITC,NIFTY_FMCG,2023-01-24,2023-01-24T15:30:00,CHOPPY_RANGE,4,11,1,0,-0.882,0.0,DYNAMIC_CAPACITY,0.882,2960.64,2870.59,3255.04
SAMPLE_A,EVT_SAMPLE_A_000578,GODREJPROP,NIFTY_REALTY,2023-01-24,2023-01-24T15:30:00,CHOPPY_RANGE,2,3,1,0,3.875,0.0,DYNAMIC_CAPACITY,-3.875,3168.02,3106.06,3522.68
SAMPLE_A,EVT_SAMPLE_A_000597,TATAMOTORS,NIFTY_AUTO,2023-01-25,2023-01-25T15:30:00,NEUTRAL_BULL,5,13,1,0,-0.463,0.0,45M_CONFIRMATION,0.463,2997.75,2928.12,3238.78
SAMPLE_A,EVT_SAMPLE_A_000620,POWERGRID,NIFTY_ENERGY,2023-01-25,2023-01-25T15:30:00,NEUTRAL_BULL,,3,0,1,0.0,3.375,VETO_PRUNING,3.375,618.43,596.03,664.55
SAMPLE_A,EVT_SAMPLE_A_000623,BHARTIARTL,NIFTY_INFRA,2023-01-26,2023-01-26T15:30:00,SHARP_SELLOFF,3,7,1,0,0.579,0.0,DYNAMIC_CAPACITY,-0.579,2118.38,2058.34,2392.5
SAMPLE_A,EVT_SAMPLE_A_000625,ABB,NIFTY_INFRA,2023-01-26,2023-01-26T15:30:00,SHARP_SELLOFF,2,6,1,0,1.3,0.0,DYNAMIC_CAPACITY,-1.3,1673.98,1640.34,1777.04
SAMPLE_A,EVT_SAMPLE_A_000654,LTIM,NIFTY_IT,2023-01-27,2023-01-27T15:30:00,STRONG_BULL,3,7,1,0,-0.733,0.0,FOCUSED_MODEL_G,0.733,1378.76,1353.16,1467.09
SAMPLE_A,EVT_SAMPLE_A_000697,HINDALCO,NIFTY_METAL,2023-01-30,2023-01-30T15:30:00,STRONG_BULL,5,19,1,0,0.041,0.0,FOCUSED_MODEL_G,-0.041,1934.49,1893.86,2088.46
SAMPLE_A,EVT_SAMPLE_A_000703,OBEROIRLTY,NIFTY_REALTY,2023-01-30,2023-01-30T15:30:00,STRONG_BULL,,2,0,1,0.0,1.386,VETO_PRUNING,1.386,1227.73,1195.93,1388.0
SAMPLE_A,EVT_SAMPLE_A_000722,BEL,NIFTY_INFRA,2023-01-30,2023-01-30T15:30:00,STRONG_BULL,,5,0,1,0.0,0.765,VETO_PRUNING,0.765,911.87,880.2,976.68
SAMPLE_A,EVT_SAMPLE_A_000725,PIDILITIND,NIFTY_CONSUMPTION,2023-01-30,2023-01-30T15:30:00,STRONG_BULL,3,15,1,0,0.98,0.0,FOCUSED_MODEL_G,-0.98,2082.51,2035.0,2328.22
SAMPLE_A,EVT_SAMPLE_A_000732,ADANIENT,NIFTY_ENERGY,2023-01-31,2023-01-31T15:30:00,NEUTRAL_BULL,,2,0,1,0.0,3.928,VETO_PRUNING,3.928,1308.57,1266.31,1412.37
SAMPLE_A,EVT_SAMPLE_A_000739,PERSISTENT,NIFTY_IT,2023-01-31,2023-01-31T15:30:00,NEUTRAL_BULL,4,5,1,0,4.339,0.0,DYNAMIC_CAPACITY,-4.339,1545.98,1506.11,1739.72
SAMPLE_A,EVT_SAMPLE_A_000786,MARUTI,NIFTY_AUTO,2023-02-01,2023-02-01T15:30:00,STRONG_BULL,4,6,1,0,-0.575,0.0,FOCUSED_MODEL_G,0.575,2845.17,2797.32,3125.19
SAMPLE_A,EVT_SAMPLE_A_000793,OBEROIRLTY,NIFTY_REALTY,2023-02-01,2023-02-01T15:30:00,STRONG_BULL,,4,0,1,0.0,-0.72,VETO_PRUNING,-0.72,649.65,629.62,721.53
SAMPLE_A,EVT_SAMPLE_A_000809,ONGC,NIFTY_ENERGY,2023-02-02,2023-02-02T15:30:00,STRONG_BULL,,3,0,1,0.0,3.708,VETO_PRUNING,3.708,1448.83,1391.55,1638.67
SAMPLE_A,EVT_SAMPLE_A_000824,CHOLAFIN,NIFTY_FIN_SERVICE,2023-02-02,2023-02-02T15:30:00,STRONG_BULL,3,11,1,0,1.763,0.0,FOCUSED_MODEL_G,-1.763,1135.96,1104.43,1279.17
SAMPLE_A,EVT_SAMPLE_A_000835,SBIN,NIFTY_BANK,2023-02-02,2023-02-02T15:30:00,STRONG_BULL,4,10,1,0,0.872,0.0,FOCUSED_MODEL_G,-0.872,1581.24,1532.88,1771.97
SAMPLE_A,EVT_SAMPLE_A_000837,JSWSTEEL,NIFTY_METAL,2023-02-02,2023-02-02T15:30:00,STRONG_BULL,5,15,1,0,0.352,0.0,FOCUSED_MODEL_G,-0.352,1542.05,1516.02,1675.24
SAMPLE_A,EVT_SAMPLE_A_000850,POLYCAB,NIFTY_INFRA,2023-02-03,2023-02-03T15:30:00,CHOPPY_RANGE,2,4,1,0,1.216,0.0,DYNAMIC_CAPACITY,-1.216,2506.3,2448.67,2806.1
SAMPLE_A,EVT_SAMPLE_A_000853,JSWSTEEL,NIFTY_METAL,2023-02-03,2023-02-03T15:30:00,CHOPPY_RANGE,3,6,1,0,1.299,0.0,DYNAMIC_CAPACITY,-1.299,1079.19,1037.43,1201.69
SAMPLE_A,EVT_SAMPLE_A_000898,POWERGRID,NIFTY_ENERGY,2023-02-06,2023-02-06T15:30:00,STRONG_BULL,5,14,1,0,0.119,0.0,FOCUSED_MODEL_G,-0.119,1423.16,1394.19,1620.01
SAMPLE_A,EVT_SAMPLE_A_000900,KALYANKJIL,NIFTY_CONSUMPTION,2023-02-06,2023-02-06T15:30:00,STRONG_BULL,,1,0,1,0.0,0.649,VETO_PRUNING,0.649,2936.42,2871.76,3232.13
SAMPLE_A,EVT_SAMPLE_A_000925,JSWSTEEL,NIFTY_METAL,2023-02-07,2023-02-07T15:30:00,STRONG_BULL,,4,0,1,0.0,-0.309,VETO_PRUNING,-0.309,1364.78,1332.61,1511.57
SAMPLE_A,EVT_SAMPLE_A_000932,ADANIENT,NIFTY_ENERGY,2023-02-07,2023-02-07T15:30:00,STRONG_BULL,,3,0,1,0.0,-0.879,VETO_PRUNING,-0.879,2581.56,2515.24,2866.94
SAMPLE_A,EVT_SAMPLE_A_000939,RELIANCE,NIFTY_ENERGY,2023-02-07,2023-02-07T15:30:00,STRONG_BULL,5,11,1,0,0.767,0.0,FOCUSED_MODEL_G,-0.767,1359.91,1333.66,1444.92
SAMPLE_A,EVT_SAMPLE_A_000941,TITAN,NIFTY_CONSUMPTION,2023-02-07,2023-02-07T15:30:00,STRONG_BULL,4,7,1,0,0.034,0.0,FOCUSED_MODEL_G,-0.034,568.46,548.71,612.82
SAMPLE_A,EVT_SAMPLE_A_000950,COALINDIA,NIFTY_ENERGY,2023-02-08,2023-02-08T15:30:00,NEUTRAL_BULL,3,3,1,0,-0.792,0.0,45M_CONFIRMATION,0.792,2202.25,2140.91,2352.55
SAMPLE_A,EVT_SAMPLE_A_000958,BHARTIARTL,NIFTY_INFRA,2023-02-08,2023-02-08T15:30:00,NEUTRAL_BULL,,1,0,1,0.0,0.357,VETO_PRUNING,0.357,1058.1,1032.94,1169.42
SAMPLE_A,EVT_SAMPLE_A_000967,OBEROIRLTY,NIFTY_REALTY,2023-02-08,2023-02-08T15:30:00,NEUTRAL_BULL,5,9,1,0,-0.057,0.0,DYNAMIC_CAPACITY,0.057,2384.89,2313.81,2534.63
SAMPLE_A,EVT_SAMPLE_A_000985,GODREJPROP,NIFTY_REALTY,2023-02-09,2023-02-09T15:30:00,NEUTRAL_BEAR,5,5,1,0,-0.179,0.0,DYNAMIC_CAPACITY,0.179,2831.55,2732.52,3106.31
SAMPLE_A,EVT_SAMPLE_A_000991,CIPLA,NIFTY_PHARMA,2023-02-09,2023-02-09T15:30:00,NEUTRAL_BEAR,4,12,1,0,0.68,0.0,DYNAMIC_CAPACITY,-0.68,541.51,523.07,619.86
SAMPLE_A,EVT_SAMPLE_A_001002,BRITANNIA,NIFTY_FMCG,2023-02-09,2023-02-09T15:30:00,NEUTRAL_BEAR,3,11,1,0,-0.546,0.0,DYNAMIC_CAPACITY,0.546,1603.19,1546.16,1776.8
SAMPLE_A,EVT_SAMPLE_A_001010,NESTLEIND,NIFTY_FMCG,2023-02-09,2023-02-09T15:30:00,NEUTRAL_BEAR,1,2,1,0,0.486,0.0,DYNAMIC_CAPACITY,-0.486,1212.01,1176.42,1286.67
SAMPLE_A,EVT_SAMPLE_A_001023,GODREJPROP,NIFTY_REALTY,2023-02-10,2023-02-10T15:30:00,STRONG_BULL,,4,0,1,0.0,-0.065,VETO_PRUNING,-0.065,1522.58,1475.87,1691.92
SAMPLE_A,EVT_SAMPLE_A_001033,HAL,NIFTY_INFRA,2023-02-10,2023-02-10T15:30:00,STRONG_BULL,2,7,1,0,-0.618,0.0,45M_CONFIRMATION,0.618,3451.61,3359.42,3854.69
SAMPLE_A,EVT_SAMPLE_A_001035,PRESTIGE,NIFTY_REALTY,2023-02-10,2023-02-10T15:30:00,STRONG_BULL,4,13,1,0,0.52,0.0,FOCUSED_MODEL_G,-0.52,1420.31,1377.37,1535.35
SAMPLE_A,EVT_SAMPLE_A_001043,HDFCBANK,NIFTY_BANK,2023-02-10,2023-02-10T15:30:00,STRONG_BULL,5,15,1,0,-0.936,0.0,FOCUSED_MODEL_G,0.936,3200.72,3116.16,3412.67
SAMPLE_A,EVT_SAMPLE_A_001049,ITC,NIFTY_FMCG,2023-02-10,2023-02-10T15:30:00,STRONG_BULL,1,2,1,0,-0.379,0.0,45M_CONFIRMATION,0.379,1124.91,1085.02,1198.27
SAMPLE_A,EVT_SAMPLE_A_001059,VBL,NIFTY_FMCG,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,4,11,1,0,-1.0,0.0,45M_CONFIRMATION,1.0,2777.27,2723.56,3126.92
SAMPLE_A,EVT_SAMPLE_A_001064,COALINDIA,NIFTY_ENERGY,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,2,4,1,0,4.447,0.0,DYNAMIC_CAPACITY,-4.447,2883.33,2785.74,3085.93
SAMPLE_A,EVT_SAMPLE_A_001065,JIOFIN,NIFTY_FIN_SERVICE,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,,1,0,1,0.0,1.341,VETO_PRUNING,1.341,804.28,776.49,887.65
SAMPLE_A,EVT_SAMPLE_A_001067,ADANIPORTS,NIFTY_INFRA,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,3,7,1,0,1.034,0.0,DYNAMIC_CAPACITY,-1.034,2152.5,2090.06,2435.62
SAMPLE_A,EVT_SAMPLE_A_001073,CHOLAFIN,NIFTY_FIN_SERVICE,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,,2,0,1,0.0,1.787,VETO_PRUNING,1.787,2652.87,2608.12,3019.81
SAMPLE_A,EVT_SAMPLE_A_001075,MARUTI,NIFTY_AUTO,2023-02-13,2023-02-13T15:30:00,CHOPPY_RANGE,5,14,1,0,0.855,0.0,DYNAMIC_CAPACITY,-0.855,510.32,496.77,552.17
SAMPLE_A,EVT_SAMPLE_A_001148,DLF,NIFTY_REALTY,2023-02-16,2023-02-16T15:30:00,NEUTRAL_BULL,4,7,1,0,0.381,0.0,DYNAMIC_CAPACITY,-0.381,2625.77,2583.66,2900.92
SAMPLE_A,EVT_SAMPLE_A_001152,ADANIENT,NIFTY_ENERGY,2023-02-16,2023-02-16T15:30:00,NEUTRAL_BULL,3,5,1,0,-0.533,0.0,DYNAMIC_CAPACITY,0.533,2742.1,2700.33,2928.63
SAMPLE_A,EVT_SAMPLE_A_001154,RELIANCE,NIFTY_ENERGY,2023-02-16,2023-02-16T15:30:00,NEUTRAL_BULL,2,11,1,0,1.467,0.0,DYNAMIC_CAPACITY,-1.467,2255.59,2182.71,2455.08
SAMPLE_A,EVT_SAMPLE_A_001176,NTPC,NIFTY_ENERGY,2023-02-17,2023-02-17T15:30:00,STRONG_BULL,,4,0,1,0.0,2.319,VETO_PRUNING,2.319,1476.63,1448.88,1616.82
SAMPLE_A,EVT_SAMPLE_A_001187,SUNPHARMA,NIFTY_PHARMA,2023-02-17,2023-02-17T15:30:00,STRONG_BULL,,2,0,1,0.0,1.408,VETO_PRUNING,1.408,1067.55,1028.76,1172.01
SAMPLE_A,EVT_SAMPLE_A_001203,VEDL,NIFTY_METAL,2023-02-17,2023-02-17T15:30:00,STRONG_BULL,,3,0,1,0.0,-0.41,VETO_PRUNING,-0.41,686.46,673.76,735.39
SAMPLE_A,EVT_SAMPLE_A_001207,KALYANKJIL,NIFTY_CONSUMPTION,2023-02-17,2023-02-17T15:30:00,STRONG_BULL,4,10,1,0,-0.895,0.0,FOCUSED_MODEL_G,0.895,2372.51,2282.89,2591.43
SAMPLE_A,EVT_SAMPLE_A_001220,NESTLEIND,NIFTY_FMCG,2023-02-20,2023-02-20T15:30:00,STRONG_BULL,3,7,1,0,-0.488,0.0,45M_CONFIRMATION,0.488,609.93,599.23,653.2
SAMPLE_A,EVT_SAMPLE_A_001226,BHARTIARTL,NIFTY_INFRA,2023-02-20,2023-02-20T15:30:00,STRONG_BULL,2,8,1,0,0.375,0.0,FOCUSED_MODEL_G,-0.375,1428.22,1404.06,1627.02
SAMPLE_A,EVT_SAMPLE_A_001231,BEL,NIFTY_INFRA,2023-02-20,2023-02-20T15:30:00,STRONG_BULL,5,10,1,0,1.549,0.0,FOCUSED_MODEL_G,-1.549,3425.4,3321.4,3811.49
SAMPLE_A,EVT_SAMPLE_A_001237,TITAN,NIFTY_CONSUMPTION,2023-02-20,2023-02-20T15:30:00,STRONG_BULL,,4,0,1,0.0,0.864,VETO_PRUNING,0.864,2280.74,2234.66,2549.07
SAMPLE_A,EVT_SAMPLE_A_001240,HINDALCO,NIFTY_METAL,2023-02-20,2023-02-20T15:30:00,STRONG_BULL,,5,0,1,0.0,2.774,VETO_PRUNING,2.774,2764.78,2662.59,2978.02
SAMPLE_A,EVT_SAMPLE_A_001249,ITC,NIFTY_FMCG,2023-02-21,2023-02-21T15:30:00,NEUTRAL_BEAR,4,5,1,0,-0.357,0.0,DYNAMIC_CAPACITY,0.357,1622.1,1583.28,1767.55
SAMPLE_A,EVT_SAMPLE_A_001265,SBIN,NIFTY_BANK,2023-02-21,2023-02-21T15:30:00,NEUTRAL_BEAR,2,3,1,0,-0.454,0.0,DYNAMIC_CAPACITY,0.454,3372.29,3320.28,3675.67
SAMPLE_A,EVT_SAMPLE_A_001268,TITAN,NIFTY_CONSUMPTION,2023-02-21,2023-02-21T15:30:00,NEUTRAL_BEAR,5,7,1,0,1.403,0.0,DYNAMIC_CAPACITY,-1.403,2813.65,2763.59,3199.29
SAMPLE_A,EVT_SAMPLE_A_001271,KALYANKJIL,NIFTY_CONSUMPTION,2023-02-21,2023-02-21T15:30:00,NEUTRAL_BEAR,1,2,1,0,0.262,0.0,DYNAMIC_CAPACITY,-0.262,3125.6,3058.39,3583.33
SAMPLE_A,EVT_SAMPLE_A_001281,TECHM,NIFTY_IT,2023-02-22,2023-02-22T15:30:00,STRONG_BULL,3,17,1,0,1.534,0.0,FOCUSED_MODEL_G,-1.534,3194.71,3100.93,3581.26
SAMPLE_A,EVT_SAMPLE_A_001282,SIEMENS,NIFTY_INFRA,2023-02-22,2023-02-22T15:30:00,STRONG_BULL,5,22,1,0,0.958,0.0,FOCUSED_MODEL_G,-0.958,1252.98,1217.68,1335.81
SAMPLE_A,EVT_SAMPLE_A_001300,ADANIPORTS,NIFTY_INFRA,2023-02-22,2023-02-22T15:30:00,STRONG_BULL,,4,0,1,0.0,2.114,VETO_PRUNING,2.114,1002.21,970.62,1067.96
SAMPLE_A,EVT_SAMPLE_A_001305,SUNPHARMA,NIFTY_PHARMA,2023-02-23,2023-02-23T15:30:00,STRONG_BULL,5,10,1,0,3.087,0.0,FOCUSED_MODEL_G,-3.087,564.54,550.57,605.22
SAMPLE_A,EVT_SAMPLE_A_001324,PERSISTENT,NIFTY_IT,2023-02-23,2023-02-23T15:30:00,STRONG_BULL,,2,0,1,0.0,-0.944,VETO_PRUNING,-0.944,749.9,723.82,803.2
SAMPLE_A,EVT_SAMPLE_A_001333,MARUTI,NIFTY_AUTO,2023-02-23,2023-02-23T15:30:00,STRONG_BULL,,5,0,1,0.0,0.705,VETO_PRUNING,0.705,751.26,729.34,827.03
SAMPLE_A,EVT_SAMPLE_A_001354,BAJFINANCE,NIFTY_FIN_SERVICE,2023-02-24,2023-02-24T15:30:00,NEUTRAL_BEAR,2,5,1,0,-0.269,0.0,DYNAMIC_CAPACITY,0.269,2411.25,2367.44,2704.08
SAMPLE_A,EVT_SAMPLE_A_001357,PIDILITIND,NIFTY_CONSUMPTION,2023-02-24,2023-02-24T15:30:00,NEUTRAL_BEAR,3,4,1,0,1.116,0.0,DYNAMIC_CAPACITY,-1.116,1161.44,1138.27,1334.27
SAMPLE_A,EVT_SAMPLE_A_001358,OBEROIRLTY,NIFTY_REALTY,2023-02-24,2023-02-24T15:30:00,NEUTRAL_BEAR,,1,0,1,0.0,4.382,VETO_PRUNING,4.382,1658.05,1601.18,1796.11
SAMPLE_A,EVT_SAMPLE_A_001388,JIOFIN,NIFTY_FIN_SERVICE,2023-02-27,2023-02-27T15:30:00,STRONG_BULL,1,1,1,0,-0.541,0.0,45M_CONFIRMATION,0.541,2643.01,2552.72,3031.06
SAMPLE_A,EVT_SAMPLE_A_001402,BRITANNIA,NIFTY_FMCG,2023-02-27,2023-02-27T15:30:00,STRONG_BULL,5,8,1,0,1.016,0.0,FOCUSED_MODEL_G,-1.016,1694.87,1661.85,1866.45
SAMPLE_A,EVT_SAMPLE_A_001424,RELIANCE,NIFTY_ENERGY,2023-02-28,2023-02-28T15:30:00,NEUTRAL_BEAR,3,7,1,0,4.34,0.0,DYNAMIC_CAPACITY,-4.34,2911.1,2833.04,3092.4
SAMPLE_A,EVT_SAMPLE_A_001445,TCS,NIFTY_IT,2023-02-28,2023-02-28T15:30:00,NEUTRAL_BEAR,1,3,1,0,2.071,0.0,DYNAMIC_CAPACITY,-2.071,3193.31,3100.34,3465.59
SAMPLE_A,EVT_SAMPLE_A_001469,PRESTIGE,NIFTY_REALTY,2023-03-01,2023-03-01T15:30:00,NEUTRAL_BULL,,2,0,1,0.0,0.704,VETO_PRUNING,0.704,2111.22,2072.09,2292.95
SAMPLE_A,EVT_SAMPLE_A_001484,SIEMENS,NIFTY_INFRA,2023-03-01,2023-03-01T15:30:00,NEUTRAL_BULL,5,7,1,0,0.559,0.0,DYNAMIC_CAPACITY,-0.559,1070.46,1038.75,1178.91
