event_id,sample_name,session_date,symbol,sector,regime,primary_archetype,confidence,v530_eligible,arch_a_alerts,arch_a_r,arch_b_alerts,arch_b_r,arch_c_alerts,arch_c_r,delta_b_vs_a_r,delta_c_vs_a_r
EVT_V6_0000020,SAMPLE_A_EARLY,2023-01-02,BAJFINANCE,NIFTY_FIN_SERVICE,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.34,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000021,SAMPLE_A_EARLY,2023-01-02,DRREDDY,NIFTY_PHARMA,CHOPPY_RANGE,VCP_COIL,0.343,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000022,SAMPLE_A_EARLY,2023-01-02,PIDILITIND,NIFTY_CONSUMPTION,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.509,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000023,SAMPLE_A_EARLY,2023-01-02,PRESTIGE,NIFTY_REALTY,CHOPPY_RANGE,VCP_COIL,0.506,1,1,-0.094,1,-0.094,1,-0.094,0.0,0.0
EVT_V6_0000024,SAMPLE_A_EARLY,2023-01-02,COALINDIA,NIFTY_ENERGY,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.774,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000025,SAMPLE_A_EARLY,2023-01-02,POLYCAB,NIFTY_INFRA,CHOPPY_RANGE,CLEAN_MOMENTUM_BREAKOUT,0.432,1,1,-0.064,1,-0.064,1,-0.064,0.0,0.0
EVT_V6_0000026,SAMPLE_A_EARLY,2023-01-02,DMART,NIFTY_CONSUMPTION,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.512,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000027,SAMPLE_A_EARLY,2023-01-02,HAL,NIFTY_INFRA,CHOPPY_RANGE,VCP_COIL,0.647,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000028,SAMPLE_A_EARLY,2023-01-02,ABB,NIFTY_INFRA,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.366,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000029,SAMPLE_A_EARLY,2023-01-02,DLF,NIFTY_REALTY,CHOPPY_RANGE,CLEAN_MOMENTUM_BREAKOUT,0.501,1,1,-0.814,1,-0.814,1,-0.814,0.0,0.0
EVT_V6_0000030,SAMPLE_A_EARLY,2023-01-02,DIXON,NIFTY_IT,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.573,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000031,SAMPLE_A_EARLY,2023-01-02,VEDL,NIFTY_METAL,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.515,1,1,3.847,1,3.847,1,3.847,0.0,0.0
EVT_V6_0000032,SAMPLE_A_EARLY,2023-01-02,VBL,NIFTY_FMCG,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.566,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000033,SAMPLE_A_EARLY,2023-01-02,GODREJPROP,NIFTY_REALTY,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.487,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000034,SAMPLE_A_EARLY,2023-01-02,KALYANKJIL,NIFTY_CONSUMPTION,CHOPPY_RANGE,SQUEEZE_SHORT_COVERING,0.319,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000035,SAMPLE_A_EARLY,2023-01-02,WIPRO,NIFTY_IT,CHOPPY_RANGE,CLEAN_MOMENTUM_BREAKOUT,0.44,1,1,-0.644,1,-0.644,1,-0.644,0.0,0.0
EVT_V6_0000036,SAMPLE_A_EARLY,2023-01-02,BEL,NIFTY_INFRA,CHOPPY_RANGE,VCP_COIL,0.529,1,2,2.747,0,0.0,2,1.976,-2.747,-0.771
EVT_V6_0000037,SAMPLE_A_EARLY,2023-01-02,RELIANCE,NIFTY_ENERGY,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.342,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000038,SAMPLE_A_EARLY,2023-01-02,M&M,NIFTY_AUTO,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.406,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000039,SAMPLE_A_EARLY,2023-01-02,MARUTI,NIFTY_AUTO,CHOPPY_RANGE,VCP_COIL,0.634,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000040,SAMPLE_A_EARLY,2023-01-02,LTIM,NIFTY_IT,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.492,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000041,SAMPLE_A_EARLY,2023-01-02,SIEMENS,NIFTY_INFRA,CHOPPY_RANGE,PULLBACK_KEY_LEVEL,0.577,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000042,SAMPLE_A_EARLY,2023-01-02,ONGC,NIFTY_ENERGY,CHOPPY_RANGE,LONG_BASE_ACCUMULATION,0.438,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000043,SAMPLE_A_EARLY,2023-01-03,WIPRO,NIFTY_IT,STRONG_BULL,LONG_BASE_ACCUMULATION,0.485,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000044,SAMPLE_A_EARLY,2023-01-03,OBEROIRLTY,NIFTY_REALTY,STRONG_BULL,LONG_BASE_ACCUMULATION,0.397,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000045,SAMPLE_A_EARLY,2023-01-03,COFORGE,NIFTY_IT,STRONG_BULL,LONG_BASE_ACCUMULATION,0.372,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000046,SAMPLE_A_EARLY,2023-01-03,PERSISTENT,NIFTY_IT,STRONG_BULL,LONG_BASE_ACCUMULATION,0.412,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000047,SAMPLE_A_EARLY,2023-01-03,VBL,NIFTY_FMCG,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.601,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000048,SAMPLE_A_EARLY,2023-01-03,ZOMATO,NIFTY_CONSUMPTION,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.422,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000049,SAMPLE_A_EARLY,2023-01-03,TATASTEEL,NIFTY_METAL,STRONG_BULL,VCP_COIL,0.62,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000050,SAMPLE_A_EARLY,2023-01-03,ITC,NIFTY_FMCG,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.584,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000051,SAMPLE_A_EARLY,2023-01-03,HINDALCO,NIFTY_METAL,STRONG_BULL,LONG_BASE_ACCUMULATION,0.586,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000052,SAMPLE_A_EARLY,2023-01-03,GODREJPROP,NIFTY_REALTY,STRONG_BULL,VCP_COIL,0.459,1,1,0.286,0,0.0,1,0.143,-0.286,-0.143
EVT_V6_0000053,SAMPLE_A_EARLY,2023-01-03,POWERGRID,NIFTY_ENERGY,STRONG_BULL,LONG_BASE_ACCUMULATION,0.325,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000054,SAMPLE_A_EARLY,2023-01-03,SUNPHARMA,NIFTY_PHARMA,STRONG_BULL,LONG_BASE_ACCUMULATION,0.549,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000055,SAMPLE_A_EARLY,2023-01-03,COALINDIA,NIFTY_ENERGY,STRONG_BULL,LONG_BASE_ACCUMULATION,0.525,1,1,0.77,0,0.0,1,0.616,-0.77,-0.154
EVT_V6_0000056,SAMPLE_A_EARLY,2023-01-03,HDFCBANK,NIFTY_BANK,STRONG_BULL,LONG_BASE_ACCUMULATION,0.383,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000057,SAMPLE_A_EARLY,2023-01-03,RELIANCE,NIFTY_ENERGY,STRONG_BULL,PULLBACK_KEY_LEVEL,0.456,1,4,5.046,1,2.034,4,3.961,-3.012,-1.085
EVT_V6_0000058,SAMPLE_A_EARLY,2023-01-03,M&M,NIFTY_AUTO,STRONG_BULL,LONG_BASE_ACCUMULATION,0.744,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000059,SAMPLE_A_EARLY,2023-01-03,MARUTI,NIFTY_AUTO,STRONG_BULL,LONG_BASE_ACCUMULATION,0.456,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000060,SAMPLE_A_EARLY,2023-01-03,DRREDDY,NIFTY_PHARMA,STRONG_BULL,LONG_BASE_ACCUMULATION,0.65,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000061,SAMPLE_A_EARLY,2023-01-03,INFY,NIFTY_IT,STRONG_BULL,CLEAN_MOMENTUM_BREAKOUT,0.565,1,1,-0.244,0,0.0,1,-0.122,0.244,0.122
EVT_V6_0000062,SAMPLE_A_EARLY,2023-01-03,PIDILITIND,NIFTY_CONSUMPTION,STRONG_BULL,LONG_BASE_ACCUMULATION,0.358,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000063,SAMPLE_A_EARLY,2023-01-03,DMART,NIFTY_CONSUMPTION,STRONG_BULL,LONG_BASE_ACCUMULATION,0.367,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000064,SAMPLE_A_EARLY,2023-01-03,ADANIPORTS,NIFTY_INFRA,STRONG_BULL,LONG_BASE_ACCUMULATION,0.54,1,1,2.67,1,2.67,1,2.67,0.0,0.0
EVT_V6_0000065,SAMPLE_A_EARLY,2023-01-03,TCS,NIFTY_IT,STRONG_BULL,LONG_BASE_ACCUMULATION,0.601,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000066,SAMPLE_A_EARLY,2023-01-03,NTPC,NIFTY_ENERGY,STRONG_BULL,LONG_BASE_ACCUMULATION,0.382,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000067,SAMPLE_A_EARLY,2023-01-03,NESTLEIND,NIFTY_FMCG,STRONG_BULL,CLEAN_MOMENTUM_BREAKOUT,0.39,1,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000068,SAMPLE_A_EARLY,2023-01-03,SIEMENS,NIFTY_INFRA,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.493,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000069,SAMPLE_A_EARLY,2023-01-03,PRESTIGE,NIFTY_REALTY,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.483,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000070,SAMPLE_A_EARLY,2023-01-03,TECHM,NIFTY_IT,STRONG_BULL,LONG_BASE_ACCUMULATION,0.379,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000071,SAMPLE_A_EARLY,2023-01-03,ONGC,NIFTY_ENERGY,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.318,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000072,SAMPLE_A_EARLY,2023-01-03,CIPLA,NIFTY_PHARMA,STRONG_BULL,LONG_BASE_ACCUMULATION,0.434,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000073,SAMPLE_A_EARLY,2023-01-03,SBIN,NIFTY_BANK,STRONG_BULL,LONG_BASE_ACCUMULATION,0.558,1,1,3.739,1,3.739,1,3.739,0.0,0.0
EVT_V6_0000074,SAMPLE_A_EARLY,2023-01-03,JSWSTEEL,NIFTY_METAL,STRONG_BULL,LONG_BASE_ACCUMULATION,0.468,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000075,SAMPLE_A_EARLY,2023-01-03,POLYCAB,NIFTY_INFRA,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.503,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000076,SAMPLE_A_EARLY,2023-01-03,SWIGGY,NIFTY_CONSUMPTION,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.506,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000077,SAMPLE_A_EARLY,2023-01-03,TITAN,NIFTY_CONSUMPTION,STRONG_BULL,LONG_BASE_ACCUMULATION,0.609,1,4,6.438,1,3.835,4,5.325,-2.603,-1.113
EVT_V6_0000078,SAMPLE_A_EARLY,2023-01-03,HAL,NIFTY_INFRA,STRONG_BULL,VCP_COIL,0.382,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000079,SAMPLE_A_EARLY,2023-01-03,VEDL,NIFTY_METAL,STRONG_BULL,LONG_BASE_ACCUMULATION,0.592,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000080,SAMPLE_A_EARLY,2023-01-03,DIXON,NIFTY_IT,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.36,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000081,SAMPLE_A_EARLY,2023-01-03,BHARTIARTL,NIFTY_INFRA,STRONG_BULL,LONG_BASE_ACCUMULATION,0.315,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000082,SAMPLE_A_EARLY,2023-01-03,ICICIBANK,NIFTY_BANK,STRONG_BULL,CLEAN_MOMENTUM_BREAKOUT,0.31,1,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000083,SAMPLE_A_EARLY,2023-01-03,DLF,NIFTY_REALTY,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.342,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000084,SAMPLE_A_EARLY,2023-01-03,ABB,NIFTY_INFRA,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.631,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000085,SAMPLE_A_EARLY,2023-01-03,BRITANNIA,NIFTY_FMCG,STRONG_BULL,PULLBACK_KEY_LEVEL,0.569,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000086,SAMPLE_A_EARLY,2023-01-03,HINDUNILVR,NIFTY_FMCG,STRONG_BULL,LONG_BASE_ACCUMULATION,0.742,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000087,SAMPLE_A_EARLY,2023-01-03,ADANIENT,NIFTY_ENERGY,STRONG_BULL,SQUEEZE_SHORT_COVERING,0.365,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000088,SAMPLE_A_EARLY,2023-01-03,ASIANPAINT,NIFTY_CONSUMPTION,STRONG_BULL,VCP_COIL,0.591,1,3,1.973,0,0.0,3,1.249,-1.973,-0.724
EVT_V6_0000089,SAMPLE_A_EARLY,2023-01-03,TRENT,NIFTY_CONSUMPTION,STRONG_BULL,LONG_BASE_ACCUMULATION,0.906,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000090,SAMPLE_A_EARLY,2023-01-04,HDFCBANK,NIFTY_BANK,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.503,1,2,2.05,0,0.0,2,1.36,-2.05,-0.69
EVT_V6_0000091,SAMPLE_A_EARLY,2023-01-04,SUNPHARMA,NIFTY_PHARMA,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.447,1,2,-1.038,0,0.0,2,-0.786,1.038,0.252
EVT_V6_0000092,SAMPLE_A_EARLY,2023-01-04,TECHM,NIFTY_IT,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.605,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000093,SAMPLE_A_EARLY,2023-01-04,TATASTEEL,NIFTY_METAL,NEUTRAL_BEAR,CLEAN_MOMENTUM_BREAKOUT,0.525,1,1,3.378,1,3.378,1,3.378,0.0,0.0
EVT_V6_0000094,SAMPLE_A_EARLY,2023-01-04,HAL,NIFTY_INFRA,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.477,1,2,5.851,1,3.666,2,5.414,-2.185,-0.437
EVT_V6_0000095,SAMPLE_A_EARLY,2023-01-04,BAJFINANCE,NIFTY_FIN_SERVICE,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.511,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000096,SAMPLE_A_EARLY,2023-01-04,HINDUNILVR,NIFTY_FMCG,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.398,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000097,SAMPLE_A_EARLY,2023-01-04,BEL,NIFTY_INFRA,NEUTRAL_BEAR,VCP_COIL,0.527,1,1,1.671,0,0.0,1,1.337,-1.671,-0.334
EVT_V6_0000098,SAMPLE_A_EARLY,2023-01-04,TATAMOTORS,NIFTY_AUTO,NEUTRAL_BEAR,VCP_COIL,0.704,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000099,SAMPLE_A_EARLY,2023-01-04,PIDILITIND,NIFTY_CONSUMPTION,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.641,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000100,SAMPLE_A_EARLY,2023-01-04,M&M,NIFTY_AUTO,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.466,1,4,3.706,1,1.958,4,3.421,-1.748,-0.285
EVT_V6_0000101,SAMPLE_A_EARLY,2023-01-04,ADANIPORTS,NIFTY_INFRA,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.576,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000102,SAMPLE_A_EARLY,2023-01-04,BRITANNIA,NIFTY_FMCG,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.488,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000103,SAMPLE_A_EARLY,2023-01-04,JIOFIN,NIFTY_FIN_SERVICE,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.358,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000104,SAMPLE_A_EARLY,2023-01-04,BHARTIARTL,NIFTY_INFRA,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.341,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000105,SAMPLE_A_EARLY,2023-01-04,SWIGGY,NIFTY_CONSUMPTION,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.474,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000106,SAMPLE_A_EARLY,2023-01-04,RELIANCE,NIFTY_ENERGY,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.5,1,2,2.077,1,2.024,2,2.05,-0.053,-0.027
EVT_V6_0000107,SAMPLE_A_EARLY,2023-01-04,PRESTIGE,NIFTY_REALTY,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.395,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000108,SAMPLE_A_EARLY,2023-01-04,OBEROIRLTY,NIFTY_REALTY,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.401,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000109,SAMPLE_A_EARLY,2023-01-04,VBL,NIFTY_FMCG,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.416,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000110,SAMPLE_A_EARLY,2023-01-04,CIPLA,NIFTY_PHARMA,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.653,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000111,SAMPLE_A_EARLY,2023-01-04,NTPC,NIFTY_ENERGY,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.524,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000112,SAMPLE_A_EARLY,2023-01-04,SIEMENS,NIFTY_INFRA,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.437,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000113,SAMPLE_A_EARLY,2023-01-04,ASIANPAINT,NIFTY_CONSUMPTION,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.432,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000114,SAMPLE_A_EARLY,2023-01-04,DMART,NIFTY_CONSUMPTION,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.584,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000115,SAMPLE_A_EARLY,2023-01-04,POLYCAB,NIFTY_INFRA,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.35,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000116,SAMPLE_A_EARLY,2023-01-04,COFORGE,NIFTY_IT,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.839,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000117,SAMPLE_A_EARLY,2023-01-04,ZOMATO,NIFTY_CONSUMPTION,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.354,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000118,SAMPLE_A_EARLY,2023-01-04,CHOLAFIN,NIFTY_FIN_SERVICE,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.721,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000119,SAMPLE_A_EARLY,2023-01-04,ITC,NIFTY_FMCG,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.385,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000120,SAMPLE_A_EARLY,2023-01-04,JSWSTEEL,NIFTY_METAL,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.601,1,3,-1.992,1,-0.475,3,-1.234,1.517,0.758
EVT_V6_0000121,SAMPLE_A_EARLY,2023-01-04,ONGC,NIFTY_ENERGY,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.316,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000122,SAMPLE_A_EARLY,2023-01-04,VEDL,NIFTY_METAL,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.365,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000123,SAMPLE_A_EARLY,2023-01-04,POWERGRID,NIFTY_ENERGY,NEUTRAL_BEAR,SQUEEZE_SHORT_COVERING,0.579,0,0,0.0,0,0.0,0,0.0,0.0,0.0
EVT_V6_0000124,SAMPLE_A_EARLY,2023-01-04,SBIN,NIFTY_BANK,NEUTRAL_BEAR,LONG_BASE_ACCUMULATION,0.819,0,0,0.0,0,0.0,0,0.0,0.0,0.0
