scanner,symbol,alert_id,setup_id,decision_timestamp,decision_date,semantic_type,close_price,entry_price,stop_price,target_price,risk_distance,target_distance,rr_ratio,rsi,sma50,sma200,volume,sector_status,replay_status,data_quality_status,invalid_reason,is_production_valid_replay,gross_realized_R,net_realized_R,MFE_R,MAE_R,t1_hit,dataset_version
EOD,MCX,MCX_2026-08-19_EOD_10,MCX_2026-08-19_EOD,2026-08-19 09:02:03 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3040.0,3040.0,2898.67,3040.0,141.3309,0.0,2.0,65.9,2804.46,2556.97,3187586.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
EOD,BALUFORGE,BALUFORGE_2026-08-19_EOD_11,BALUFORGE_2026-08-19_EOD,2026-08-19 09:02:14 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,542.55,542.55,512.51,542.55,30.0437,0.0,2.0,74.44,454.88,499.45,4047514.0,NEUTRAL,REPLAY_INVALID_ZERO_TARGET_DISTANCE,MOCK_ZERO_DISTANCE,Target equals Entry or uninitialized,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
PULLBACK,HINDCOPPER,HINDCOPPER_2026-08-19_PULLBACK_12,HINDCOPPER_2026-08-19_PULLBACK,2026-08-19 09:03:28 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,541.5,541.5,513.88,610.55,27.62,69.05,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,PREMIERENE,PREMIERENE_2026-08-19_PULLBACK_13,PREMIERENE_2026-08-19_PULLBACK,2026-08-19 09:03:29 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1010.2,1010.2,958.68,1139.0,51.52,128.8,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,PRIVISCL,PRIVISCL_2026-08-19_PULLBACK_14,PRIVISCL_2026-08-19_PULLBACK,2026-08-19 09:03:29 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3468.2,3468.2,3327.74,3819.35,140.46,351.15,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,THYROCARE,THYROCARE_2026-08-19_PULLBACK_15,THYROCARE_2026-08-19_PULLBACK,2026-08-19 09:03:29 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,583.2,583.2,548.21,670.68,34.99,87.48,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,LUPIN,LUPIN_2026-08-19_PULLBACK_16,LUPIN_2026-08-19_PULLBACK,2026-08-19 09:03:29 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2167.0,2167.0,2036.98,2492.05,130.02,325.05,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,SOLARINDS,SOLARINDS_2026-08-19_PULLBACK_17,SOLARINDS_2026-08-19_PULLBACK,2026-08-19 09:03:29 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,20505.0,20505.0,19274.7,23580.75,1230.3,3075.75,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,MARSONS,MARSONS_2026-08-19_PULLBACK_18,MARSONS_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,125.1,125.1,118.77,140.92,6.33,15.82,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,WAAREERTL,WAAREERTL_2026-08-19_PULLBACK_19,WAAREERTL_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,873.0,873.0,820.62,1003.95,52.38,130.95,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,PERSISTENT,PERSISTENT_2026-08-19_PULLBACK_20,PERSISTENT_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,5661.5,5661.5,5321.81,6510.73,339.69,849.23,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,WAAREEENER,WAAREEENER_2026-08-19_PULLBACK_21,WAAREEENER_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2620.7,2620.7,2499.82,2922.9,120.88,302.2,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,POWERINDIA,POWERINDIA_2026-08-19_PULLBACK_22,POWERINDIA_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,33765.0,33765.0,31967.01,38259.97,1797.99,4494.97,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,SHAILY,SHAILY_2026-08-19_PULLBACK_23,SHAILY_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3317.7,3317.7,3136.06,3771.8,181.64,454.1,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,HBLENGINE,HBLENGINE_2026-08-19_PULLBACK_24,HBLENGINE_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,674.0,674.0,638.62,762.45,35.38,88.45,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,NEULANDLAB,NEULANDLAB_2026-08-19_PULLBACK_25,NEULANDLAB_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,23589.0,23589.0,22580.57,26110.08,1008.43,2521.08,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,GODFRYPHLP,GODFRYPHLP_2026-08-19_PULLBACK_26,GODFRYPHLP_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2128.6,2128.6,2004.88,2437.9,123.72,309.3,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,NAVINFLUOR,NAVINFLUOR_2026-08-19_PULLBACK_27,NAVINFLUOR_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,8559.5,8559.5,8045.93,9843.42,513.57,1283.92,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,HINDZINC,HINDZINC_2026-08-19_PULLBACK_28,HINDZINC_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,613.55,613.55,576.74,705.57,36.81,92.02,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,BAJAJ-AUTO,BAJAJ-AUTO_2026-08-19_PULLBACK_29,BAJAJ-AUTO_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,11706.0,11706.0,11296.29,12730.27,409.71,1024.27,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,JSLL,JSLL_2026-08-19_PULLBACK_30,JSLL_2026-08-19_PULLBACK,2026-08-19 09:03:30 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,507.0,507.0,488.56,553.1,18.44,46.1,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,TIMEX,TIMEX_2026-08-19_PULLBACK_31,TIMEX_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,621.2,621.2,583.93,714.38,37.27,93.18,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,BLS,BLS_2026-08-19_PULLBACK_32,BLS_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,238.03,238.03,227.94,263.25,10.09,25.22,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,POLYCAB,POLYCAB_2026-08-19_PULLBACK_33,POLYCAB_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,9031.0,9031.0,8658.47,9962.33,372.53,931.33,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,SJS,SJS_2026-08-19_PULLBACK_34,SJS_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2510.1,2510.1,2389.62,2811.3,120.48,301.2,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,GARUDA,GARUDA_2026-08-19_PULLBACK_35,GARUDA_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,177.81,177.81,169.54,198.49,8.27,20.68,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,RRKABEL,RRKABEL_2026-08-19_PULLBACK_36,RRKABEL_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2839.6,2839.6,2729.92,3113.8,109.68,274.2,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,TIPSMUSIC,TIPSMUSIC_2026-08-19_PULLBACK_37,TIPSMUSIC_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,655.5,655.5,632.56,712.85,22.94,57.35,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,SKMEGGPROD,SKMEGGPROD_2026-08-19_PULLBACK_38,SKMEGGPROD_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,269.7,269.7,255.24,305.85,14.46,36.15,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,LAURUSLABS,LAURUSLABS_2026-08-19_PULLBACK_39,LAURUSLABS_2026-08-19_PULLBACK,2026-08-19 09:03:31 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1912.8,1912.8,1802.34,2188.95,110.46,276.15,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,THANGAMAYL,THANGAMAYL_2026-08-19_PULLBACK_40,THANGAMAYL_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,5533.5,5533.5,5263.74,6207.9,269.76,674.4,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,MANORAMA,MANORAMA_2026-08-19_PULLBACK_41,MANORAMA_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1891.5,1891.5,1778.01,2175.22,113.49,283.72,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,SANDUMA,SANDUMA_2026-08-19_PULLBACK_42,SANDUMA_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,207.44,207.44,198.96,228.64,8.48,21.2,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,HEROMOTOCO,HEROMOTOCO_2026-08-19_PULLBACK_43,HEROMOTOCO_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,5560.0,5560.0,5236.82,6367.95,323.18,807.95,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,COFORGE,COFORGE_2026-08-19_PULLBACK_44,COFORGE_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1893.8,1893.8,1819.23,2080.22,74.57,186.42,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,CUMMINSIND,CUMMINSIND_2026-08-19_PULLBACK_45,CUMMINSIND_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,5162.0,5162.0,4877.44,5873.4,284.56,711.4,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,BSE,BSE_2026-08-19_PULLBACK_46,BSE_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3325.3,3325.3,3193.12,3655.75,132.18,330.45,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,ECLERX,ECLERX_2026-08-19_PULLBACK_47,ECLERX_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1954.1,1954.1,1852.24,2208.75,101.86,254.65,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,MUTHOOTFIN,MUTHOOTFIN_2026-08-19_PULLBACK_48,MUTHOOTFIN_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,3070.7,3070.7,2886.46,3531.3,184.24,460.6,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,INFOBEAN,INFOBEAN_2026-08-19_PULLBACK_49,INFOBEAN_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,155.02,155.02,145.72,178.27,9.3,23.25,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,SHARDACROP,SHARDACROP_2026-08-19_PULLBACK_50,SHARDACROP_2026-08-19_PULLBACK,2026-08-19 09:03:32 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,795.1,795.1,756.04,892.75,39.06,97.65,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,INFY,INFY_2026-08-19_PULLBACK_51,INFY_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1111.0,1111.0,1070.17,1213.08,40.83,102.08,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,MCX,MCX_2026-08-19_PULLBACK_52,MCX_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,NEUTRAL,REPLAY_INVALID_MISSING_PRICE,MISSING_TELEMETRY,Candidate trigger logged without entry price,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
PULLBACK,BANCOINDIA,BANCOINDIA_2026-08-19_PULLBACK_53,BANCOINDIA_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,624.2,624.2,600.79,682.73,23.41,58.53,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,JAMNAAUTO,JAMNAAUTO_2026-08-19_PULLBACK_54,JAMNAAUTO_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,120.37,120.37,113.15,138.42,7.22,18.05,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,QPOWER,QPOWER_2026-08-19_PULLBACK_55,QPOWER_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1363.1,1363.1,1281.31,1567.57,81.79,204.47,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,FORCEMOT,FORCEMOT_2026-08-19_PULLBACK_56,FORCEMOT_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,17340.0,17340.0,16722.26,18884.35,617.74,1544.35,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,OFSS,OFSS_2026-08-19_PULLBACK_57,OFSS_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,11730.0,11730.0,11276.93,12862.67,453.07,1132.67,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,GPPL,GPPL_2026-08-19_PULLBACK_58,GPPL_2026-08-19_PULLBACK,2026-08-19 09:03:33 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,169.2,169.2,163.17,184.27,6.03,15.07,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,TENNIND,TENNIND_2026-08-19_PULLBACK_59,TENNIND_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,NEUTRAL,REPLAY_INVALID_MISSING_PRICE,MISSING_TELEMETRY,Candidate trigger logged without entry price,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
PULLBACK,AVALON,AVALON_2026-08-19_PULLBACK_60,AVALON_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,2253.1,2253.1,2137.35,2542.47,115.75,289.37,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,-1.0,-1.05,0.4,1.0,False,1.0.0_REPAIRED
PULLBACK,HUDCO,HUDCO_2026-08-19_PULLBACK_61,HUDCO_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,NEUTRAL,REPLAY_INVALID_MISSING_PRICE,MISSING_TELEMETRY,Candidate trigger logged without entry price,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
PULLBACK,KPIGREEN,KPIGREEN_2026-08-19_PULLBACK_62,KPIGREEN_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,NEUTRAL,REPLAY_INVALID_MISSING_PRICE,MISSING_TELEMETRY,Candidate trigger logged without entry price,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
PULLBACK,SENORES,SENORES_2026-08-19_PULLBACK_63,SENORES_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,1479.3,1479.3,1406.63,1660.97,72.67,181.67,2.5,,,,,NEUTRAL,REPLAY_VALID,DATA_CLEAN,NONE,True,2.0,1.95,2.2,0.3,True,1.0.0_REPAIRED
PULLBACK,GILLETTE,GILLETTE_2026-08-19_PULLBACK_64,GILLETTE_2026-08-19_PULLBACK,2026-08-19 09:03:34 IST,2026-08-19,ACTIONABLE_TRADE_ALERT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,NEUTRAL,REPLAY_INVALID_MISSING_PRICE,MISSING_TELEMETRY,Candidate trigger logged without entry price,False,0.0,0.0,0.0,0.0,False,1.0.0_REPAIRED
