symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_trend_stack,gate_rsi_corridor,gate_atr_tightness,gate_rvol_floor,gate_52w_proximity,gate_obv_slope,gate_triple_fault_veto,naive_baseline_fired,data_source_flags
ACC,2025-10-17 15:30:00 IST,BEAR,2025-10-17 09:15:00 IST,2618.41,2487.49,2814.79,2880.25,2945.71,3011.17,2025-10-17 15:30:00 IST,2728.83,TIMEOUT,0.9217,15,82.0,True,True,True,True,True,True,True,True,NONE
ACC,2026-02-25 15:30:00 IST,BEAR,2026-02-25 09:15:00 IST,3356.03,3188.23,3607.73,3691.63,3775.54,3859.44,2026-02-25 15:30:00 IST,3736.58,TIMEOUT,1.6339,15,82.0,True,True,False,True,True,True,True,True,NONE
ACE,2026-06-22 15:30:00 IST,BULL,2026-06-22 09:15:00 IST,1011.7,961.12,1087.57,1112.86,1138.15,1163.44,2026-06-22 15:30:00 IST,985.7,TIMEOUT,-0.514,15,82.0,True,True,True,True,True,True,True,True,NONE
ACE,2026-08-18 15:30:00 IST,SIDEWAYS,2026-08-18 09:15:00 IST,1184.8,1125.56,1273.66,1303.28,1332.9,1362.52,2026-08-18 15:30:00 IST,1125.56,SL_HIT,-1.0,9,82.0,True,True,True,True,True,True,True,True,NONE
ACMESOLAR,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,304.65,289.42,327.49,335.11,342.72,350.34,2026-04-17 15:30:00 IST,289.42,SL_HIT,-1.0,15,82.0,True,True,True,True,True,True,True,True,NONE
ACMESOLAR,2026-06-02 15:30:00 IST,BULL,2026-06-02 09:15:00 IST,334.75,318.01,359.86,368.23,376.6,384.97,2026-06-02 15:30:00 IST,334.75,BE_EXIT,0.5,6,82.0,True,True,False,True,True,True,True,True,NONE
ACMESOLAR,2026-06-04 15:30:00 IST,BULL,2026-06-04 09:15:00 IST,345.85,328.56,371.79,380.43,389.08,397.72,2026-06-04 15:30:00 IST,345.85,BE_EXIT,0.5,4,82.0,True,True,True,True,True,True,True,True,NONE
ACMESOLAR,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,356.65,338.82,383.39,392.31,401.22,410.14,2026-06-05 15:30:00 IST,338.82,SL_HIT,-1.0,3,82.0,True,True,True,True,True,True,True,True,NONE
ACMESOLAR,2026-06-29 15:30:00 IST,BULL,2026-06-29 09:15:00 IST,379.25,360.29,407.69,417.17,426.65,436.13,2026-06-29 15:30:00 IST,379.25,BE_EXIT,0.5,14,82.0,True,True,True,True,True,True,True,True,NONE
ACUTAAS,2025-09-03 15:30:00 IST,BEAR,2025-09-03 09:15:00 IST,2533.58,2406.91,2723.6,2786.93,2850.27,2913.61,2025-09-03 15:30:00 IST,2585.25,TIMEOUT,0.4079,15,82.0,True,True,True,True,True,True,True,True,NONE
ACUTAAS,2026-09-10 15:30:00 IST,SIDEWAYS,2026-09-10 09:15:00 IST,3451.4,3278.83,3710.25,3796.54,3882.82,3969.11,2026-09-10 15:30:00 IST,3383.7,TIMEOUT,-0.3923,1,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2025-10-29 15:30:00 IST,BEAR,2025-10-29 09:15:00 IST,967.55,919.17,1040.12,1064.31,1088.5,1112.69,2025-10-29 15:30:00 IST,993.6,TIMEOUT,0.7692,15,82.0,True,True,False,True,True,True,True,True,NONE
ADANIENSOL,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,1073.3,1019.64,1153.79,1180.62,1207.45,1234.28,2026-04-08 15:30:00 IST,1207.45,FULL_TARGET,1.75,5,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,1157.9,1100.01,1244.74,1273.68,1302.63,1331.57,2026-04-10 15:30:00 IST,1302.63,FULL_TARGET,1.75,7,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-04-13 15:30:00 IST,BULL,2026-04-13 09:15:00 IST,1175.3,1116.54,1263.44,1292.82,1322.2,1351.58,2026-04-13 15:30:00 IST,1322.2,FULL_TARGET,1.75,6,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,1259.8,1196.81,1354.29,1385.78,1417.28,1448.77,2026-04-17 15:30:00 IST,1417.28,FULL_TARGET,1.75,5,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-04-22 15:30:00 IST,BULL,2026-04-22 09:15:00 IST,1368.1,1299.69,1470.71,1504.92,1539.12,1573.33,2026-04-22 15:30:00 IST,1299.69,SL_HIT,-1.0,2,82.0,True,True,False,True,True,True,False,True,NONE
ADANIENSOL,2026-04-24 15:30:00 IST,BULL,2026-04-24 09:15:00 IST,1411.95,1341.35,1517.85,1553.15,1588.45,1623.75,2026-04-24 15:30:00 IST,1336.0,SL_HIT,-1.0758,4,82.0,True,True,False,True,True,True,True,True,NONE
ADANIENSOL,2026-04-27 15:30:00 IST,BULL,2026-04-27 09:15:00 IST,1435.8,1364.01,1543.49,1579.38,1615.28,1651.17,2026-04-27 15:30:00 IST,1336.0,SL_HIT,-1.3902,3,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-05-27 15:30:00 IST,BULL,2026-05-27 09:15:00 IST,1540.1,1463.09,1655.61,1694.12,1732.62,1771.13,2026-05-27 15:30:00 IST,1463.09,SL_HIT,-1.0,5,82.0,True,True,False,True,True,True,True,True,NONE
ADANIENSOL,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,1579.0,1500.05,1697.42,1736.9,1776.38,1815.85,2026-06-05 15:30:00 IST,1500.05,SL_HIT,-1.0,4,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENSOL,2026-07-07 15:30:00 IST,BULL,2026-07-07 09:15:00 IST,1651.0,1568.45,1774.83,1816.1,1857.38,1898.65,2026-07-07 15:30:00 IST,1651.0,BE_EXIT,0.5,15,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENT,2026-04-28 15:30:00 IST,BULL,2026-04-28 09:15:00 IST,2411.32,2290.76,2592.16,2652.45,2712.73,2773.01,2026-04-28 15:30:00 IST,2411.32,BE_EXIT,0.5,10,82.0,True,True,True,True,True,True,True,True,NONE
ADANIENT,2026-05-14 15:30:00 IST,BULL,2026-05-14 09:15:00 IST,2711.69,2576.1,2915.07,2982.86,3050.66,3118.45,2026-05-14 15:30:00 IST,2971.47,TIMEOUT,1.458,15,82.0,True,True,False,True,True,True,True,True,NONE
ADANIENT,2026-05-26 15:30:00 IST,BULL,2026-05-26 09:15:00 IST,2967.97,2819.57,3190.58,3264.78,3338.98,3413.18,2026-05-26 15:30:00 IST,2943.6,TIMEOUT,-0.1642,15,82.0,True,True,False,True,True,True,True,True,NONE
ADANIENT,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,3046.84,2894.5,3275.34,3351.51,3427.68,3503.85,2026-06-05 15:30:00 IST,2893.81,SL_HIT,-1.0046,4,82.0,True,True,True,True,True,True,True,True,NONE
ADANIGREEN,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,1029.65,978.17,1106.87,1132.61,1158.35,1184.09,2026-04-08 15:30:00 IST,1158.35,FULL_TARGET,1.75,7,82.0,True,True,True,True,True,True,True,True,NONE
ADANIGREEN,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,1085.35,1031.08,1166.75,1193.89,1221.02,1248.16,2026-04-10 15:30:00 IST,1221.02,FULL_TARGET,1.75,8,82.0,True,True,False,True,True,True,True,True,NONE
ADANIGREEN,2026-07-14 15:30:00 IST,BULL,2026-07-14 09:15:00 IST,1604.5,1524.28,1724.83,1764.94,1805.05,1845.16,2026-07-14 15:30:00 IST,1524.28,SL_HIT,-1.0,3,82.0,True,True,True,True,True,True,True,True,NONE
ADANIPORTS,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,1566.8,1488.46,1684.3,1723.47,1762.64,1801.81,2026-04-17 15:30:00 IST,1762.64,FULL_TARGET,1.75,15,82.0,True,True,True,True,True,True,True,True,NONE
ADANIPORTS,2026-07-02 15:30:00 IST,BULL,2026-07-02 09:15:00 IST,1883.2,1789.04,2024.44,2071.52,2118.6,2165.68,2026-07-02 15:30:00 IST,1789.04,SL_HIT,-1.0,4,82.0,True,True,False,True,True,True,True,True,NONE
ADANIPOWER,2025-04-01 15:30:00 IST,BULL,2025-04-01 09:15:00 IST,1885.84,1791.55,2027.28,2074.42,2121.57,2168.71,2025-04-01 15:30:00 IST,1791.55,SL_HIT,-1.0,13,82.0,True,True,True,True,True,True,True,True,NONE
ADFFOODS,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,226.94,215.59,243.97,249.64,255.32,260.99,2026-04-17 15:30:00 IST,215.59,SL_HIT,-1.0,2,82.0,True,True,False,True,True,True,False,True,NONE
ADFFOODS,2026-04-24 15:30:00 IST,BULL,2026-04-24 09:15:00 IST,260.15,247.14,279.66,286.17,292.67,299.18,2026-04-24 15:30:00 IST,260.15,BE_EXIT,0.5,3,82.0,True,True,False,True,True,True,True,True,NONE
ADFFOODS,2026-06-16 15:30:00 IST,BULL,2026-06-16 09:15:00 IST,301.25,286.19,323.84,331.37,338.9,346.43,2026-06-16 15:30:00 IST,301.25,BE_EXIT,0.5,5,82.0,True,True,True,True,True,True,True,True,NONE
ADVAIT,2026-06-04 15:30:00 IST,BULL,2026-06-04 09:15:00 IST,2215.4,2104.63,2381.55,2436.94,2492.32,2547.71,2026-06-04 15:30:00 IST,2215.4,BE_EXIT,0.5,5,82.0,True,True,True,True,True,True,True,True,NONE
ADVAIT,2026-06-09 15:30:00 IST,BULL,2026-06-09 09:15:00 IST,2346.2,2228.89,2522.16,2580.82,2639.47,2698.13,2026-06-09 15:30:00 IST,2228.89,SL_HIT,-1.0,2,82.0,True,True,False,True,True,True,False,True,NONE
ADVENZYMES,2026-04-27 15:30:00 IST,BULL,2026-04-27 09:15:00 IST,329.13,312.67,353.82,362.05,370.28,378.51,2026-04-27 15:30:00 IST,370.28,FULL_TARGET,1.75,9,82.0,True,True,False,True,True,True,True,True,NONE
ADVENZYMES,2026-04-30 15:30:00 IST,BULL,2026-04-30 09:15:00 IST,346.21,328.9,372.17,380.82,389.47,398.13,2026-04-30 15:30:00 IST,389.47,FULL_TARGET,1.75,7,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-02-17 15:30:00 IST,BEAR,2026-02-17 09:15:00 IST,206.49,196.17,221.98,227.14,232.3,237.47,2026-02-17 15:30:00 IST,232.3,FULL_TARGET,1.75,2,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-02-18 15:30:00 IST,BEAR,2026-02-18 09:15:00 IST,226.5,215.18,243.49,249.15,254.82,260.48,2026-02-18 15:30:00 IST,215.18,SL_HIT,-1.0,4,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-03-16 15:30:00 IST,BEAR,2026-03-16 09:15:00 IST,246.68,234.34,265.18,271.35,277.51,283.68,2026-03-16 15:30:00 IST,241.77,BE_EXIT,0.3012,3,82.0,True,True,False,True,True,True,True,True,NONE
AEROFLEX,2026-05-06 15:30:00 IST,BULL,2026-05-06 09:15:00 IST,344.37,327.15,370.21,378.82,387.43,396.04,2026-05-06 15:30:00 IST,387.43,FULL_TARGET,1.75,1,82.0,True,True,False,True,True,True,True,True,NONE
AEROFLEX,2026-05-07 15:30:00 IST,BULL,2026-05-07 09:15:00 IST,413.21,392.55,444.19,454.52,464.85,475.18,2026-05-07 15:30:00 IST,413.21,BE_EXIT,0.5,2,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-06-12 15:30:00 IST,BULL,2026-06-12 09:15:00 IST,447.67,425.29,481.25,492.44,503.64,514.83,2026-06-12 15:30:00 IST,503.64,FULL_TARGET,1.75,3,82.0,True,True,False,True,True,True,True,True,NONE
AEROFLEX,2026-06-15 15:30:00 IST,BULL,2026-06-15 09:15:00 IST,477.55,453.67,513.36,525.3,537.24,549.18,2026-06-15 15:30:00 IST,477.55,BE_EXIT,0.5,7,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-06-17 15:30:00 IST,BULL,2026-06-17 09:15:00 IST,510.42,484.89,548.7,561.47,574.23,586.99,2026-06-17 15:30:00 IST,484.89,SL_HIT,-1.0,1,82.0,True,True,False,True,True,True,False,True,NONE
AEROFLEX,2026-08-18 15:30:00 IST,SIDEWAYS,2026-08-18 09:15:00 IST,485.85,461.56,522.29,534.43,546.58,558.72,2026-08-18 15:30:00 IST,546.58,FULL_TARGET,1.75,8,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-08-21 15:30:00 IST,SIDEWAYS,2026-08-21 09:15:00 IST,503.0,477.85,540.73,553.3,565.88,578.45,2026-08-21 15:30:00 IST,565.88,FULL_TARGET,1.75,7,82.0,True,True,True,True,True,True,True,True,NONE
AEROFLEX,2026-08-26 15:30:00 IST,SIDEWAYS,2026-08-26 09:15:00 IST,536.35,509.53,576.58,589.99,603.4,616.81,2026-08-26 15:30:00 IST,536.35,BE_EXIT,0.5,5,82.0,True,True,False,True,True,True,True,True,NONE
AEROFLEX,2026-08-28 15:30:00 IST,SIDEWAYS,2026-08-28 09:15:00 IST,542.1,514.99,582.76,596.32,609.87,623.43,2026-08-28 15:30:00 IST,542.1,BE_EXIT,0.5,3,82.0,True,True,False,True,True,True,True,True,NONE
AEROFLEX,2026-09-08 15:30:00 IST,SIDEWAYS,2026-09-08 09:15:00 IST,573.5,544.82,616.52,630.86,645.2,659.54,2026-09-08 15:30:00 IST,563.95,TIMEOUT,-0.333,3,82.0,True,True,False,True,True,True,True,True,NONE
AETHER,2025-11-18 15:30:00 IST,SIDEWAYS,2025-11-18 09:15:00 IST,876.55,832.72,942.29,964.21,986.12,1008.04,2025-11-18 15:30:00 IST,876.55,BE_EXIT,0.5,7,82.0,True,True,False,True,True,True,True,True,NONE
AETHER,2025-11-21 15:30:00 IST,SIDEWAYS,2025-11-21 09:15:00 IST,919.35,873.38,988.3,1011.29,1034.27,1057.26,2025-11-21 15:30:00 IST,873.38,SL_HIT,-1.0,4,82.0,True,True,False,True,True,True,True,True,NONE
AETHER,2026-03-12 15:30:00 IST,BEAR,2026-03-12 09:15:00 IST,1047.65,995.27,1126.22,1152.41,1178.6,1204.79,2026-03-12 15:30:00 IST,995.27,SL_HIT,-1.0,1,82.0,True,True,True,True,True,True,False,True,NONE
AETHER,2026-03-18 15:30:00 IST,BEAR,2026-03-18 09:15:00 IST,1068.55,1015.12,1148.7,1175.41,1202.13,1228.84,2026-03-18 15:30:00 IST,1202.13,FULL_TARGET,1.75,4,82.0,True,True,False,True,True,True,True,True,NONE
AETHER,2026-03-20 15:30:00 IST,BEAR,2026-03-20 09:15:00 IST,1155.55,1097.77,1242.22,1271.11,1300.0,1328.89,2026-03-20 15:30:00 IST,1097.77,SL_HIT,-1.0,1,82.0,True,True,False,True,True,True,False,True,NONE
AETHER,2026-05-04 15:30:00 IST,BULL,2026-05-04 09:15:00 IST,1252.0,1189.4,1345.9,1377.2,1408.5,1439.8,2026-05-04 15:30:00 IST,1189.4,SL_HIT,-1.0,1,82.0,True,True,True,True,True,True,False,True,NONE
AETHER,2026-07-08 15:30:00 IST,BULL,2026-07-08 09:15:00 IST,1413.4,1342.73,1519.41,1554.74,1590.08,1625.41,2026-07-08 15:30:00 IST,1413.4,BE_EXIT,0.5,11,82.0,True,True,True,True,True,True,True,True,NONE
AETHER,2026-07-09 15:30:00 IST,BULL,2026-07-09 09:15:00 IST,1485.8,1411.51,1597.24,1634.38,1671.53,1708.67,2026-07-09 15:30:00 IST,1411.51,SL_HIT,-1.0,10,82.0,True,True,True,True,True,True,True,True,NONE
AFCONS,2025-07-21 15:30:00 IST,BEAR,2025-07-21 09:15:00 IST,649.15,616.69,697.84,714.07,730.3,746.53,2025-07-21 15:30:00 IST,708.87,TIMEOUT,1.4199,15,82.0,True,True,False,True,True,True,True,True,NONE
AFCONS,2026-02-20 15:30:00 IST,BEAR,2026-02-20 09:15:00 IST,768.23,729.82,825.86,845.06,864.27,883.48,2026-02-20 15:30:00 IST,839.78,TIMEOUT,1.4313,15,82.0,True,True,False,True,True,True,True,True,NONE
AGIIL,2026-02-25 15:30:00 IST,BEAR,2026-02-25 09:15:00 IST,307.35,291.98,330.41,338.09,345.78,353.46,2026-02-25 15:30:00 IST,291.98,SL_HIT,-1.0,6,82.0,True,True,False,True,True,True,True,True,NONE
AGIIL,2026-04-09 15:30:00 IST,BULL,2026-04-09 09:15:00 IST,361.7,343.62,388.82,397.86,406.9,415.94,2026-04-09 15:30:00 IST,359.0,BE_EXIT,0.4253,2,82.0,True,True,True,True,True,True,True,True,NONE
AGIIL,2026-04-29 15:30:00 IST,BULL,2026-04-29 09:15:00 IST,393.95,374.25,423.5,433.35,443.2,453.05,2026-04-29 15:30:00 IST,374.25,SL_HIT,-1.0,1,82.0,True,True,False,True,True,True,False,True,NONE
AHLUCONT,2025-07-07 15:30:00 IST,BEAR,2025-07-07 09:15:00 IST,2148.88,2041.44,2310.04,2363.76,2417.48,2471.2,2025-07-07 15:30:00 IST,2122.15,TIMEOUT,-0.2488,15,82.0,True,True,True,True,True,True,True,True,NONE
AIAENG,2026-05-27 15:30:00 IST,BULL,2026-05-27 09:15:00 IST,4428.1,4206.7,4760.2,4870.9,4981.6,5092.3,2026-05-27 15:30:00 IST,4428.1,BE_EXIT,0.5,10,82.0,True,True,True,True,True,True,True,True,NONE
AIAENG,2026-06-22 15:30:00 IST,BULL,2026-06-22 09:15:00 IST,4848.0,4605.6,5211.6,5332.8,5454.0,5575.2,2026-06-22 15:30:00 IST,4848.0,BE_EXIT,0.5,7,82.0,True,True,True,True,True,True,True,True,NONE
AIIL,2025-05-26 15:30:00 IST,BULL,2025-05-26 09:15:00 IST,1248.23,1185.82,1341.84,1373.05,1404.25,1435.46,2025-05-26 15:30:00 IST,1234.9,BE_EXIT,0.3932,11,82.0,True,True,True,True,True,True,True,True,NONE
AJANTPHARM,2026-02-25 15:30:00 IST,BEAR,2026-02-25 09:15:00 IST,3021.3,2870.24,3247.89,3323.42,3398.95,3474.48,2026-02-25 15:30:00 IST,2830.0,SL_HIT,-1.2664,3,82.0,True,True,True,True,True,True,True,True,NONE
AJANTPHARM,2026-03-12 15:30:00 IST,BEAR,2026-03-12 09:15:00 IST,3119.5,2963.52,3353.47,3431.46,3509.45,3587.44,2026-03-12 15:30:00 IST,2963.52,SL_HIT,-1.0,2,82.0,True,True,False,True,True,True,False,True,NONE
AJANTPHARM,2026-07-21 15:30:00 IST,BULL,2026-07-21 09:15:00 IST,3575.3,3396.54,3843.44,3932.82,4022.2,4111.58,2026-07-21 15:30:00 IST,3396.54,SL_HIT,-1.0,2,82.0,True,True,True,True,True,True,False,True,NONE
AKUMS,2026-04-13 15:30:00 IST,BULL,2026-04-13 09:15:00 IST,521.93,495.84,561.07,574.12,587.16,600.21,2026-04-13 15:30:00 IST,521.93,BE_EXIT,0.5,8,82.0,True,True,True,True,True,True,True,True,NONE
AKUMS,2026-05-04 15:30:00 IST,BULL,2026-05-04 09:15:00 IST,556.52,528.69,598.26,612.18,626.09,640.0,2026-05-04 15:30:00 IST,528.69,SL_HIT,-1.0,6,82.0,True,True,False,True,True,True,True,True,NONE
AKUMS,2026-06-10 15:30:00 IST,BULL,2026-06-10 09:15:00 IST,589.31,559.85,633.51,648.24,662.97,677.7,2026-06-10 15:30:00 IST,589.31,BE_EXIT,0.5,4,82.0,True,True,True,True,True,True,True,True,NONE
AKUMS,2026-07-07 15:30:00 IST,BULL,2026-07-07 09:15:00 IST,649.85,617.36,698.58,714.83,731.07,747.32,2026-07-07 15:30:00 IST,662.15,TIMEOUT,0.6893,15,82.0,True,True,True,True,True,True,True,True,NONE
AKUMS,2026-08-11 15:30:00 IST,SIDEWAYS,2026-08-11 09:15:00 IST,760.95,722.9,818.03,837.05,856.08,875.1,2026-08-11 15:30:00 IST,722.9,SL_HIT,-1.0,4,82.0,True,True,False,True,True,True,True,True,NONE
ALIVUS,2026-05-06 15:30:00 IST,BULL,2026-05-06 09:15:00 IST,1125.0,1068.75,1209.38,1237.5,1265.62,1293.75,2026-05-06 15:30:00 IST,1068.75,SL_HIT,-1.0,6,82.0,True,True,True,True,True,True,True,True,NONE
ALIVUS,2026-08-04 15:30:00 IST,SIDEWAYS,2026-08-04 09:15:00 IST,1335.8,1269.01,1435.99,1469.38,1502.78,1536.17,2026-08-04 15:30:00 IST,1335.8,BE_EXIT,0.5,13,82.0,True,True,True,True,True,True,True,True,NONE
ALKYLAMINE,2025-08-19 15:30:00 IST,BEAR,2025-08-19 09:15:00 IST,2226.49,2115.17,2393.47,2449.13,2504.79,2560.45,2025-08-19 15:30:00 IST,2346.78,TIMEOUT,1.0403,15,82.0,True,True,True,True,True,True,True,True,NONE
ANANDRATHI,2026-03-12 15:30:00 IST,BEAR,2026-03-12 09:15:00 IST,1840.75,1748.71,1978.8,2024.82,2070.84,2116.86,2026-03-12 15:30:00 IST,1734.9,SL_HIT,-1.1501,10,82.0,True,True,False,True,True,True,True,True,NONE
ANANTRAJ,2025-08-28 15:30:00 IST,BEAR,2025-08-28 09:15:00 IST,773.41,734.74,831.41,850.75,870.08,889.42,2025-08-28 15:30:00 IST,772.14,TIMEOUT,-0.0328,15,82.0,True,True,True,True,True,True,True,True,NONE
ANANTRAJ,2025-11-06 15:30:00 IST,SIDEWAYS,2025-11-06 09:15:00 IST,853.92,811.22,917.97,939.32,960.67,982.02,2025-11-06 15:30:00 IST,852.02,TIMEOUT,-0.0446,15,82.0,True,True,False,True,True,True,True,True,NONE
ANANTRAJ,2025-12-04 15:30:00 IST,SIDEWAYS,2025-12-04 09:15:00 IST,890.84,846.3,957.64,979.91,1002.18,1024.45,2025-12-04 15:30:00 IST,846.21,SL_HIT,-1.0021,14,82.0,True,True,True,True,True,True,True,True,NONE
ANGELONE,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,266.79,253.46,286.8,293.46,300.13,306.8,2026-04-08 15:30:00 IST,300.13,FULL_TARGET,1.75,5,82.0,True,True,True,True,True,True,True,True,NONE
ANGELONE,2026-04-09 15:30:00 IST,BULL,2026-04-09 09:15:00 IST,280.93,266.88,302.01,309.03,316.06,323.08,2026-04-09 15:30:00 IST,316.06,FULL_TARGET,1.75,5,82.0,True,True,False,True,True,True,True,True,NONE
