scanner,evaluation_type,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_details,naive_baseline_fired,data_source_flags
EOD,HISTORICAL_REPLAY,ABB,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,7000.87,6650.82,7525.94,7700.96,7875.99,8051.01,2026-04-17 15:30:00 IST,7000.87,BE_EXIT,0.5,14.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABCAPITAL,2025-08-27 15:30:00 IST,BEAR,2025-08-27 09:15:00 IST,1834.04,1742.34,1971.59,2017.44,2063.29,2109.13,2025-08-27 15:30:00 IST,1897.16,TIMEOUT,0.8442,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABDL,2025-05-13 15:30:00 IST,BULL,2025-05-13 09:15:00 IST,1765.6,1677.32,1898.02,1942.17,1986.31,2030.45,2025-05-13 15:30:00 IST,1751.54,TIMEOUT,-0.1593,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABSLAMC,2026-02-18 15:30:00 IST,BEAR,2026-02-18 09:15:00 IST,884.68,840.45,951.03,973.14,995.26,1017.37,2026-02-18 15:30:00 IST,833.51,SL_HIT,-1.1568,8.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABSLAMC,2026-04-15 15:30:00 IST,BULL,2026-04-15 09:15:00 IST,1022.14,971.03,1098.8,1124.35,1149.9,1175.46,2026-04-15 15:30:00 IST,1040.62,TIMEOUT,0.3617,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABSLAMC,2026-06-10 15:30:00 IST,BULL,2026-06-10 09:15:00 IST,1083.16,1029.0,1164.39,1191.47,1218.55,1245.63,2026-06-10 15:30:00 IST,1083.16,BE_EXIT,0.5,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ABSLAMC,2026-06-15 15:30:00 IST,BULL,2026-06-15 09:15:00 IST,1118.08,1062.18,1201.94,1229.89,1257.84,1285.79,2026-06-15 15:30:00 IST,1118.08,BE_EXIT,0.5,8.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACC,2025-07-22 15:30:00 IST,BEAR,2025-07-22 09:15:00 IST,2132.82,2026.17,2292.78,2346.11,2399.43,2452.75,2025-07-22 15:30:00 IST,2131.78,TIMEOUT,-0.0097,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACC,2025-10-17 15:30:00 IST,BEAR,2025-10-17 09:15:00 IST,2618.41,2487.49,2814.79,2880.25,2945.71,3011.17,2025-10-17 15:30:00 IST,2728.83,TIMEOUT,0.9217,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACC,2026-02-25 15:30:00 IST,BEAR,2026-02-25 09:15:00 IST,3356.03,3188.23,3607.73,3691.63,3775.54,3859.44,2026-02-25 15:30:00 IST,3736.58,TIMEOUT,1.6339,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACE,2026-06-22 15:30:00 IST,BULL,2026-06-22 09:15:00 IST,1011.7,961.12,1087.57,1112.86,1138.15,1163.44,2026-06-22 15:30:00 IST,985.7,TIMEOUT,-0.514,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACE,2026-08-18 15:30:00 IST,SIDEWAYS,2026-08-18 09:15:00 IST,1184.8,1125.56,1273.66,1303.28,1332.9,1362.52,2026-08-18 15:30:00 IST,1125.56,SL_HIT,-1.0,9.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACMESOLAR,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,304.65,289.42,327.49,335.11,342.72,350.34,2026-04-17 15:30:00 IST,289.42,SL_HIT,-1.0,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACMESOLAR,2026-06-02 15:30:00 IST,BULL,2026-06-02 09:15:00 IST,334.75,318.01,359.86,368.23,376.6,384.97,2026-06-02 15:30:00 IST,334.75,BE_EXIT,0.5,6.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACMESOLAR,2026-06-04 15:30:00 IST,BULL,2026-06-04 09:15:00 IST,345.85,328.56,371.79,380.43,389.08,397.72,2026-06-04 15:30:00 IST,345.85,BE_EXIT,0.5,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACMESOLAR,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,356.65,338.82,383.39,392.31,401.22,410.14,2026-06-05 15:30:00 IST,338.82,SL_HIT,-1.0,3.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACMESOLAR,2026-06-29 15:30:00 IST,BULL,2026-06-29 09:15:00 IST,379.25,360.29,407.69,417.17,426.65,436.13,2026-06-29 15:30:00 IST,379.25,BE_EXIT,0.5,14.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACUTAAS,2025-09-03 15:30:00 IST,BEAR,2025-09-03 09:15:00 IST,2533.58,2406.91,2723.6,2786.93,2850.27,2913.61,2025-09-03 15:30:00 IST,2585.25,TIMEOUT,0.4079,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ACUTAAS,2026-09-10 15:30:00 IST,SIDEWAYS,2026-09-10 09:15:00 IST,3451.4,3278.83,3710.25,3796.54,3882.82,3969.11,2026-09-10 15:30:00 IST,3383.7,TIMEOUT,-0.3923,1.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2025-10-29 15:30:00 IST,BEAR,2025-10-29 09:15:00 IST,967.55,919.17,1040.12,1064.31,1088.5,1112.69,2025-10-29 15:30:00 IST,993.6,TIMEOUT,0.7692,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,1073.3,1019.64,1153.79,1180.62,1207.45,1234.28,2026-04-08 15:30:00 IST,1207.45,FULL_TARGET,1.75,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,1157.9,1100.01,1244.74,1273.68,1302.63,1331.57,2026-04-10 15:30:00 IST,1302.63,FULL_TARGET,1.75,7.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-13 15:30:00 IST,BULL,2026-04-13 09:15:00 IST,1175.3,1116.54,1263.44,1292.82,1322.2,1351.58,2026-04-13 15:30:00 IST,1322.2,FULL_TARGET,1.75,6.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,1259.8,1196.81,1354.29,1385.78,1417.28,1448.77,2026-04-17 15:30:00 IST,1417.28,FULL_TARGET,1.75,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-22 15:30:00 IST,BULL,2026-04-22 09:15:00 IST,1368.1,1299.69,1470.71,1504.92,1539.12,1573.33,2026-04-22 15:30:00 IST,1299.69,SL_HIT,-1.0,2.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": false}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-24 15:30:00 IST,BULL,2026-04-24 09:15:00 IST,1411.95,1341.35,1517.85,1553.15,1588.45,1623.75,2026-04-24 15:30:00 IST,1336.0,SL_HIT,-1.0758,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-04-27 15:30:00 IST,BULL,2026-04-27 09:15:00 IST,1435.8,1364.01,1543.49,1579.38,1615.28,1651.17,2026-04-27 15:30:00 IST,1336.0,SL_HIT,-1.3902,3.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-05-27 15:30:00 IST,BULL,2026-05-27 09:15:00 IST,1540.1,1463.09,1655.61,1694.12,1732.62,1771.13,2026-05-27 15:30:00 IST,1463.09,SL_HIT,-1.0,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,1579.0,1500.05,1697.42,1736.9,1776.38,1815.85,2026-06-05 15:30:00 IST,1500.05,SL_HIT,-1.0,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENSOL,2026-07-07 15:30:00 IST,BULL,2026-07-07 09:15:00 IST,1651.0,1568.45,1774.83,1816.1,1857.38,1898.65,2026-07-07 15:30:00 IST,1651.0,BE_EXIT,0.5,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENT,2026-04-28 15:30:00 IST,BULL,2026-04-28 09:15:00 IST,2411.32,2290.76,2592.16,2652.45,2712.73,2773.01,2026-04-28 15:30:00 IST,2411.32,BE_EXIT,0.5,10.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENT,2026-05-14 15:30:00 IST,BULL,2026-05-14 09:15:00 IST,2711.69,2576.1,2915.07,2982.86,3050.66,3118.45,2026-05-14 15:30:00 IST,2971.47,TIMEOUT,1.458,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENT,2026-05-26 15:30:00 IST,BULL,2026-05-26 09:15:00 IST,2967.97,2819.57,3190.58,3264.78,3338.98,3413.18,2026-05-26 15:30:00 IST,2943.6,TIMEOUT,-0.1642,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIENT,2026-06-05 15:30:00 IST,BULL,2026-06-05 09:15:00 IST,3046.84,2894.5,3275.34,3351.51,3427.68,3503.85,2026-06-05 15:30:00 IST,2893.81,SL_HIT,-1.0046,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIGREEN,2026-04-08 15:30:00 IST,BULL,2026-04-08 09:15:00 IST,1029.65,978.17,1106.87,1132.61,1158.35,1184.09,2026-04-08 15:30:00 IST,1158.35,FULL_TARGET,1.75,7.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIGREEN,2026-04-10 15:30:00 IST,BULL,2026-04-10 09:15:00 IST,1085.35,1031.08,1166.75,1193.89,1221.02,1248.16,2026-04-10 15:30:00 IST,1221.02,FULL_TARGET,1.75,8.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIGREEN,2026-07-14 15:30:00 IST,BULL,2026-07-14 09:15:00 IST,1604.5,1524.28,1724.83,1764.94,1805.05,1845.16,2026-07-14 15:30:00 IST,1524.28,SL_HIT,-1.0,3.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIPORTS,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,1566.8,1488.46,1684.3,1723.47,1762.64,1801.81,2026-04-17 15:30:00 IST,1762.64,FULL_TARGET,1.75,15.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIPORTS,2026-07-02 15:30:00 IST,BULL,2026-07-02 09:15:00 IST,1883.2,1789.04,2024.44,2071.52,2118.6,2165.68,2026-07-02 15:30:00 IST,1789.04,SL_HIT,-1.0,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADANIPOWER,2025-04-01 15:30:00 IST,BULL,2025-04-01 09:15:00 IST,1885.84,1791.55,2027.28,2074.42,2121.57,2168.71,2025-04-01 15:30:00 IST,1791.55,SL_HIT,-1.0,13.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADFFOODS,2026-04-17 15:30:00 IST,BULL,2026-04-17 09:15:00 IST,226.94,215.59,243.97,249.64,255.32,260.99,2026-04-17 15:30:00 IST,215.59,SL_HIT,-1.0,2.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": false}",True,NONE
EOD,HISTORICAL_REPLAY,ADFFOODS,2026-04-24 15:30:00 IST,BULL,2026-04-24 09:15:00 IST,260.15,247.14,279.66,286.17,292.67,299.18,2026-04-24 15:30:00 IST,260.15,BE_EXIT,0.5,3.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADFFOODS,2026-06-16 15:30:00 IST,BULL,2026-06-16 09:15:00 IST,301.25,286.19,323.84,331.37,338.9,346.43,2026-06-16 15:30:00 IST,301.25,BE_EXIT,0.5,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADVAIT,2026-06-04 15:30:00 IST,BULL,2026-06-04 09:15:00 IST,2215.4,2104.63,2381.55,2436.94,2492.32,2547.71,2026-06-04 15:30:00 IST,2215.4,BE_EXIT,0.5,5.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADVAIT,2026-06-09 15:30:00 IST,BULL,2026-06-09 09:15:00 IST,2346.2,2228.89,2522.16,2580.82,2639.47,2698.13,2026-06-09 15:30:00 IST,2228.89,SL_HIT,-1.0,2.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": false}",True,NONE
EOD,HISTORICAL_REPLAY,ADVENZYMES,2026-04-27 15:30:00 IST,BULL,2026-04-27 09:15:00 IST,329.13,312.67,353.82,362.05,370.28,378.51,2026-04-27 15:30:00 IST,370.28,FULL_TARGET,1.75,9.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,ADVENZYMES,2026-04-30 15:30:00 IST,BULL,2026-04-30 09:15:00 IST,346.21,328.9,372.17,380.82,389.47,398.13,2026-04-30 15:30:00 IST,389.47,FULL_TARGET,1.75,7.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,AEROFLEX,2026-02-17 15:30:00 IST,BEAR,2026-02-17 09:15:00 IST,206.49,196.17,221.98,227.14,232.3,237.47,2026-02-17 15:30:00 IST,232.3,FULL_TARGET,1.75,2.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,AEROFLEX,2026-02-18 15:30:00 IST,BEAR,2026-02-18 09:15:00 IST,226.5,215.18,243.49,249.15,254.82,260.48,2026-02-18 15:30:00 IST,215.18,SL_HIT,-1.0,4.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": true, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,AEROFLEX,2026-03-16 15:30:00 IST,BEAR,2026-03-16 09:15:00 IST,246.68,234.34,265.18,271.35,277.51,283.68,2026-03-16 15:30:00 IST,241.77,BE_EXIT,0.3012,3.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
EOD,HISTORICAL_REPLAY,AEROFLEX,2026-05-06 15:30:00 IST,BULL,2026-05-06 09:15:00 IST,344.37,327.15,370.21,378.82,387.43,396.04,2026-05-06 15:30:00 IST,387.43,FULL_TARGET,1.75,1.0,82.0,"{""trend_stack"": true, ""rsi_corridor"": true, ""atr_tightness"": false, ""rvol_floor"": true, ""52w_proximity"": true, ""obv_slope"": true, ""triple_fault_veto"": true}",True,NONE
